player_id,player_name,team_name,competition_name,season,xg,npxg,games,goals,assists,minutes,pens_att,position,xg_per90,cards_red,pens_made,xg_assist,goals_pens,npxg_per90,goals_per90,minutes_90s,nationality,cards_yellow,games_starts,assists_per90,goals_assists,npxg_xg_assist,xg_assist_per90,goals_pens_per90,progressive_passes,xg_xg_assist_per90,goals_assists_per90,progressive_carries,npxg_xg_assist_per90,goals_assists_pens_per90,progressive_passes_received,gk_ties,gk_wins,gk_games,gk_saves,gk_losses,gk_minutes,gk_pens_att,gk_save_pct,gk_pens_saved,gk_pens_missed,gk_clean_sheets,gk_games_starts,gk_pens_allowed,gk_goals_against,gk_pens_save_pct,gk_clean_sheets_pct,gk_goals_against_per90,gk_shots_on_target_against,gk_psxg,gk_passes,gk_crosses,gk_psxg_net,gk_goal_kicks,gk_passes_throws,gk_psxg_net_per90,gk_crosses_stopped,gk_passes_launched,gk_own_goals_against,gk_passes_length_avg,gk_crosses_stopped_pct,gk_passes_pct_launched,gk_pct_passes_launched,gk_goal_kick_length_avg,gk_free_kick_goals_against,gk_pct_goal_kicks_launched,gk_avg_distance_def_actions,gk_corner_kick_goals_against,gk_passes_completed_launched,gk_def_actions_outside_pen_area,gk_psnpxg_per_shot_on_target_against,gk_def_actions_outside_pen_area_per90,shots,xg_net,npxg_net,shots_per90,npxg_per_shot,goals_per_shot,shots_on_target,shots_free_kicks,shots_on_target_pct,average_shot_distance,shots_on_target_per90,goals_per_shot_on_target,gca,sca,gca_per90,gca_shots,sca_per90,sca_shots,gca_fouled,sca_fouled,gca_defense,sca_defense,gca_take_ons,sca_take_ons,gca_passes_dead,gca_passes_live,sca_passes_dead,sca_passes_live,passes,pass_xa,passes_pct,passes_long,passes_short,passes_medium,xg_assist_net,assisted_shots,passes_pct_long,passes_completed,passes_pct_short,passes_pct_medium,passes_completed_long,passes_total_distance,passes_completed_short,passes_completed_medium,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_progressive_distance,crosses,throw_ins,passes_dead,passes_live,corner_kicks,through_balls,passes_blocked,corner_kicks_in,passes_offsides,passes_switches,corner_kicks_out,passes_free_kicks,corner_kicks_straight,blocks,errors,tackles,challenges,clearances,tackles_won,blocked_shots,interceptions,blocked_passes,challenges_lost,tackles_att_3rd,tackles_def_3rd,tackles_mid_3rd,challenge_tackles,challenge_tackles_pct,tackles_interceptions,fouls,fouled,offsides,pens_won,own_goals,aerials_won,aerials_lost,pens_conceded,aerials_won_pct,ball_recoveries,cards_yellow_red,carries,touches,take_ons,miscontrols,dispossessed,take_ons_won,passes_received,touches_att_3rd,touches_def_3rd,touches_mid_3rd,carries_distance,take_ons_tackled,take_ons_won_pct,touches_live_ball,take_ons_tackled_pct,touches_att_pen_area,touches_def_pen_area,carries_into_final_third,carries_into_penalty_area,carries_progressive_distance,on_xg_for,games_subs,plus_minus,minutes_pct,unused_subs,on_goals_for,on_xg_against,xg_plus_minus,games_complete,minutes_per_sub,plus_minus_wowy,points_per_game,minutes_per_game,on_goals_against,plus_minus_per90,minutes_per_start,xg_plus_minus_wowy,xg_plus_minus_per90
774cf58b,Max Aarons,Bournemouth,Premier-League,2024-2025,0.0,0.0,3,0,0,86,0,DF,0.00,0,0,0.0,0,0.00,0.00,1.0,ENG,0,1,0.00,0,0.0,0.00,0.00,8,0.00,0.00,1,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.00,,,0,0,,,0.00,,0,2,0.00,0,2.09,0,0,0,0,0,0,0,0,0,0,2,63,0.0,79.4,7,25,29,0.0,0,57.1,50,84.0,82.8,4,887,21,24,8,0,0,361,2,10,12,51,0,0,1,0,0,0,0,2,0,3,0,2,1,0,2,1,1,2,0,0,1,1,1,100.0,3,0,2,0,0,0,0,0,0,,7,0,41,73,2,1,0,0,40,15,19,40,152,1,0.0,73,50.0,0,2,0,0,68,2.3,2,+2,3.2,11,2,0.3,+2.0,0,13,+1.78,0.67,29,0,+2.09,61,+1.68,+2.12
b7e62e1d,Joshua Acheampong,Chelsea,Premier-League,2024-2025,0.2,0.2,4,0,0,170,0,DF,0.12,0,0,0.0,0,0.12,0.00,1.9,ENG,1,2,0.00,0,0.2,0.00,0.00,8,0.12,0.00,0,0.12,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-0.2,-0.2,1.06,0.11,0.00,0,0,0.0,8.9,0.00,,0,2,0.00,0,1.06,0,0,0,0,0,0,0,0,0,0,2,124,0.0,83.9,20,32,68,0.0,0,55.0,104,90.6,92.6,11,2025,29,63,6,0,0,705,0,1,3,121,0,0,2,0,0,0,0,2,0,1,0,2,2,2,1,0,1,1,0,0,2,0,2,100.0,3,0,1,0,0,0,1,6,0,14.3,7,0,106,137,2,2,0,1,111,8,48,81,709,0,50.0,137,0.0,3,7,2,0,409,3.6,2,-1,6.3,11,2,2.1,+1.5,1,5,-1.17,2.00,43,3,-0.53,80,+0.28,+0.82
2b09d998,Tyler Adams,Bournemouth,Premier-League,2024-2025,1.2,1.2,20,0,3,"1,290",0,MF,0.08,0,0,0.8,0,0.08,0.00,14.3,USA,4,13,0.21,3,2.0,0.06,0.00,50,0.14,0.21,10,0.14,0.21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-1.2,-1.2,0.42,0.19,0.00,1,0,16.7,18.7,0.07,0.00,4,30,0.28,0,2.09,0,0,0,1,4,0,0,0,3,0,26,684,0.4,83.8,43,307,293,+2.2,13,53.5,573,89.6,87.7,23,9128,275,257,46,2,1,2167,3,3,32,649,0,1,9,0,3,0,0,29,0,23,0,66,53,29,42,6,28,17,24,6,22,38,29,54.7,94,30,14,0,0,0,21,15,1,58.3,74,0,424,886,13,21,9,2,478,156,226,512,1884,8,15.4,886,61.5,12,37,14,1,854,27.2,7,+10,47.8,1,32,20.6,+6.7,9,26,+0.63,1.45,65,22,+0.70,85,-0.06,+0.46
c81d773d,Tosin Adarabioyo,Chelsea,Premier-League,2024-2025,0.9,0.9,17,1,1,"1,092",0,DF,0.07,0,0,0.2,1,0.07,0.08,12.1,ENG,2,11,0.08,2,1.1,0.02,0.08,30,0.09,0.16,5,0.09,0.16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,+0.1,+0.1,0.91,0.08,0.09,2,0,18.2,12.3,0.16,0.50,1,10,0.08,1,0.82,5,0,0,0,0,0,0,0,0,0,5,960,0.2,91.1,88,349,512,+0.8,1,60.2,875,95.4,95.1,53,16057,333,487,48,0,0,5863,0,4,25,933,0,2,3,0,2,1,0,15,0,7,0,14,12,52,10,6,9,1,4,0,10,4,8,66.7,23,7,4,1,0,0,33,22,0,60.0,30,0,642,1063,2,3,0,2,823,19,509,536,2646,0,100.0,1063,0.0,12,137,1,0,1509,26.6,6,+13,40.4,13,25,16.0,+10.6,10,23,+0.85,1.76,64,12,+1.07,87,+0.54,+0.87
4dcec659,Simon Adingra,Brighton,Premier-League,2024-2025,1.6,1.6,21,2,1,715,0,"FW,MF",0.20,0,0,1.4,2,0.20,0.25,7.9,CIV,0,7,0.13,3,3.0,0.18,0.25,11,0.38,0.38,25,0.38,0.38,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,+0.4,+0.4,2.27,0.09,0.11,5,0,27.8,16.6,0.63,0.40,4,28,0.50,0,3.52,4,0,0,0,0,1,4,0,3,0,20,242,1.9,75.2,20,134,68,-0.4,10,50.0,182,86.6,73.5,10,2522,116,50,3,9,3,542,23,5,5,236,0,1,7,0,1,0,0,0,0,7,1,14,18,4,7,0,7,7,12,2,7,5,6,33.3,21,9,1,2,0,0,3,1,0,75.0,33,0,231,354,33,29,8,14,246,196,52,111,1535,19,42.4,354,57.6,45,6,15,13,718,11.4,14,-4,26.5,6,12,12.6,-1.2,1,17,-0.82,1.52,34,16,-0.50,68,-0.31,-0.15
75f1ed80,Emmanuel Agbadou,Wolves,Premier-League,2024-2025,0.1,0.1,8,0,0,690,0,DF,0.01,0,0,0.0,0,0.01,0.00,7.7,CIV,2,8,0.00,0,0.1,0.00,0.00,16,0.01,0.00,1,0.01,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.1,-0.1,0.39,0.02,0.00,1,1,33.3,34.9,0.13,0.00,0,5,0.00,0,0.65,0,0,0,0,0,0,0,0,0,1,4,446,0.0,82.7,82,135,215,0.0,0,58.5,369,92.6,89.8,48,7394,125,193,11,0,0,2502,0,0,22,422,0,0,3,0,2,9,0,15,0,8,0,17,13,49,11,6,8,2,5,0,12,5,8,61.5,25,1,3,1,0,0,14,12,0,53.8,43,0,320,537,7,2,3,6,346,13,298,230,1643,1,85.7,537,14.3,0,91,2,0,719,8.2,0,-4,25.6,0,7,12.2,-4.0,7,,+0.06,1.25,86,11,-0.52,86,-0.03,-0.52
6a10efb3,Asher Agbinone,Crystal Palace,Premier-League,2024-2025,0.0,0.0,2,0,0,6,0,MF,0.29,0,0,0.0,0,0.29,0.00,0.1,ENG,0,0,0.00,0,0.1,0.50,0.00,0,0.79,0.00,2,0.79,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,15.00,0.02,0.00,0,0,0.0,26.3,0.00,,0,1,0.00,0,15.00,0,0,0,0,0,0,0,0,0,0,1,3,0.0,66.7,0,1,2,0.0,1,,2,100.0,50.0,0,32,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,,2,0,0,0,0,0,0,1,0,0.0,0,0,5,8,2,0,1,0,5,6,0,2,53,1,0.0,8,50.0,0,0,0,0,23,0.1,2,0,0.2,10,0,0.0,+0.1,0,3,-0.10,0.00,3,0,0.00,,+1.41,+1.71
246d153b,Ola Aina,Nott'ham Forest,Premier-League,2024-2025,0.6,0.6,30,2,1,"2,569",0,DF,0.02,0,0,0.7,2,0.02,0.07,28.5,NGA,2,30,0.04,3,1.3,0.03,0.07,91,0.05,0.11,54,0.05,0.11,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,+1.4,+1.4,0.32,0.07,0.22,2,0,22.2,24.8,0.07,1.00,3,50,0.11,0,1.75,1,0,1,1,1,0,2,0,2,5,40,1145,1.5,73.3,144,506,423,+0.3,11,36.1,839,88.1,72.8,52,12948,446,308,78,15,7,5391,42,219,234,909,0,0,35,0,2,3,0,15,0,32,3,53,58,95,40,12,30,20,24,1,39,13,34,58.6,83,21,32,2,0,0,12,18,1,40.0,160,0,629,1462,64,39,21,29,691,338,539,610,4026,24,45.3,1462,37.5,21,138,35,10,2328,36.1,0,+18,95.1,0,50,32.7,+3.4,25,,+2.69,1.90,86,32,+0.63,86,+1.48,+0.12
9b398aea,Rayan Aït-Nouri,Wolves,Premier-League,2024-2025,1.9,1.9,29,3,5,"2,462",0,DF,0.07,1,0,2.8,3,0.07,0.11,27.4,ALG,6,29,0.18,8,4.7,0.10,0.11,94,0.17,0.29,64,0.17,0.29,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,+1.1,+1.1,0.88,0.08,0.13,6,0,25.0,15.7,0.22,0.50,9,58,0.33,0,2.12,4,0,1,1,1,0,5,1,7,10,37,1341,1.9,84.4,89,742,404,+2.2,27,39.3,1132,93.7,87.1,35,15688,695,352,64,23,5,4595,63,182,231,1106,15,3,35,12,4,4,1,34,0,37,1,75,61,60,47,6,21,31,24,5,47,23,37,60.7,96,26,30,3,0,0,15,24,0,38.5,125,1,872,1668,94,35,36,46,1010,500,461,728,4778,35,48.9,1668,37.2,64,79,50,18,2495,29.3,0,-21,91.2,0,36,43.9,-14.6,15,,-2.28,0.90,85,57,-0.77,85,-0.48,-0.54
a8c0acb7,Kristoffer Ajer,Brentford,Premier-League,2024-2025,0.7,0.7,17,0,0,"1,213",0,DF,0.05,0,0,1.2,0,0.05,0.00,13.5,NOR,4,15,0.00,0,1.9,0.09,0.00,48,0.14,0.00,25,0.14,0.00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-0.7,-0.7,0.52,0.10,0.00,2,0,28.6,10.1,0.15,0.00,2,17,0.15,0,1.26,2,0,0,0,0,0,1,0,2,0,14,550,0.5,78.7,49,258,211,-1.2,7,51.0,433,86.4,80.6,25,6821,223,170,38,6,4,2474,13,51,53,496,0,0,13,0,1,3,0,2,0,14,0,20,22,41,14,3,11,11,12,1,10,9,10,45.5,31,10,6,1,0,0,26,20,0,56.5,33,0,337,674,14,12,11,7,435,143,220,316,1899,6,50.0,674,42.9,33,42,9,2,1092,18.6,2,0,44.9,2,19,18.2,+0.5,5,12,-0.24,1.18,71,19,0.00,79,+0.08,+0.04
