rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,054efa67,/en/squads/054efa67/2016-2017/Bayern-Munich-Stats,Bayern Munich,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.054efa67.png,17,13,4,0,55,9,+46,43,2.53,17,12,3,2,34,13,+21,39,2.29,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
2,acbb6a5b,/en/squads/acbb6a5b/2016-2017/RB-Leipzig-Stats,RB Leipzig,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.acbb6a5b.png,17,12,2,3,35,16,+19,38,2.24,17,8,5,4,31,23,+8,29,1.71,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
3,add600ae,/en/squads/add600ae/2016-2017/Dortmund-Stats,Dortmund,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.add600ae.png,17,13,4,0,41,12,+29,43,2.53,17,5,6,6,31,28,+3,21,1.24,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
4,033ea6b8,/en/squads/033ea6b8/2016-2017/Hoffenheim-Stats,Hoffenheim,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.033ea6b8.png,17,11,6,0,35,14,+21,39,2.29,17,5,8,4,29,23,+6,23,1.35,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
5,bc357bf7,/en/squads/bc357bf7/2016-2017/Koln-Stats,Köln,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bc357bf7.png,17,9,6,2,29,17,+12,33,1.94,17,3,7,7,22,25,-3,16,0.94,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
6,2818f8bc,/en/squads/2818f8bc/2016-2017/Hertha-BSC-Stats,Hertha BSC,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2818f8bc.png,17,12,1,4,28,19,+9,37,2.18,17,3,3,11,15,28,-13,12,0.71,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
7,a486e511,/en/squads/a486e511/2016-2017/Freiburg-Stats,Freiburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a486e511.png,17,10,2,5,23,24,-1,32,1.88,17,4,4,9,19,36,-17,16,0.94,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
8,62add3bf,/en/squads/62add3bf/2016-2017/Werder-Bremen-Stats,Werder Bremen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.62add3bf.png,17,8,1,8,28,24,+4,25,1.47,17,5,5,7,33,40,-7,20,1.18,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
9,32f3ee20,/en/squads/32f3ee20/2016-2017/Monchengladbach-Stats,Gladbach,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.32f3ee20.png,17,7,5,5,26,18,+8,26,1.53,17,5,4,8,19,31,-12,19,1.12,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
10,c539e393,/en/squads/c539e393/2016-2017/Schalke-04-Stats,Schalke 04,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c539e393.png,17,8,5,4,29,15,+14,29,1.71,17,3,5,9,16,25,-9,14,0.82,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
11,f0ac8ee6,/en/squads/f0ac8ee6/2016-2017/Eintracht-Frankfurt-Stats,Eint Frankfurt,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f0ac8ee6.png,17,7,7,3,24,18,+6,28,1.65,17,4,2,11,12,25,-13,14,0.82,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
12,c7a9f859,/en/squads/c7a9f859/2016-2017/Bayer-Leverkusen-Stats,Leverkusen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c7a9f859.png,17,5,6,6,27,28,-1,21,1.24,17,6,2,9,26,27,-1,20,1.18,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
13,0cdc4311,/en/squads/0cdc4311/2016-2017/Augsburg-Stats,Augsburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.0cdc4311.png,17,5,6,6,22,25,-3,21,1.24,17,4,5,8,13,26,-13,17,1.00,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
14,26790c6a,/en/squads/26790c6a/2016-2017/Hamburger-SV-Stats,Hamburger SV,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.26790c6a.png,17,8,4,5,21,25,-4,28,1.65,17,2,4,11,12,36,-24,10,0.59,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
15,a224b06a,/en/squads/a224b06a/2016-2017/Mainz-05-Stats,Mainz 05,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a224b06a.png,17,7,4,6,30,26,+4,25,1.47,17,3,3,11,14,29,-15,12,0.71,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
16,4eaa11d7,/en/squads/4eaa11d7/2016-2017/Wolfsburg-Stats,Wolfsburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4eaa11d7.png,17,5,3,9,15,25,-10,18,1.06,17,5,4,8,19,27,-8,19,1.12,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
17,12eb2039,/en/squads/12eb2039/2016-2017/Ingolstadt-04-Stats,Ingolstadt 04,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.12eb2039.png,17,4,5,8,21,30,-9,17,1.00,17,4,3,10,15,27,-12,15,0.88,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
18,6a6967fc,/en/squads/6a6967fc/2016-2017/Darmstadt-98-Stats,Darmstadt 98,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.6a6967fc.png,17,6,3,8,18,25,-7,21,1.24,17,1,1,15,10,38,-28,4,0.24,20,2016-2017,8fa840fe-1174-4aa0-853c-497114d0c33b
