rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,054efa67,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats,Bayern Munich,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.054efa67.png,17,14,2,1,53,16,+37,44,2.59,47.4,13.0,+34.4,+2.02,17,11,5,1,46,16,+30,38,2.24,34.3,12.5,+21.8,+1.28,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
2,c7a9f859,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats,Leverkusen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c7a9f859.png,17,10,4,3,36,22,+14,34,2.00,32.7,16.3,+16.3,+0.96,17,9,8,0,36,21,+15,35,2.06,24.2,19.9,+4.3,+0.25,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
3,f0ac8ee6,/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats,Eint Frankfurt,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f0ac8ee6.png,17,10,4,3,41,22,+19,34,2.00,36.8,19.1,+17.8,+1.04,17,7,5,5,27,24,+3,26,1.53,28.3,28.9,-0.7,-0.04,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
4,add600ae,/en/squads/add600ae/2024-2025/Dortmund-Stats,Dortmund,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.add600ae.png,17,11,3,3,44,19,+25,36,2.12,33.2,16.3,+16.9,+1.00,17,6,3,8,27,32,-5,21,1.24,28.0,26.5,+1.4,+0.08,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
5,squads,/en/squads/a486e511/Freiburg-Stats,Freiburg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a486e511.png,17,9,3,5,32,26,+6,30,1.76,22.7,20.9,+1.8,+0.10,17,7,4,6,17,27,-10,25,1.47,21.6,21.5,+0.1,+0.01,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
6,squads,/en/squads/a224b06a/Mainz-05-Stats,Mainz 05,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a224b06a.png,17,6,8,3,24,18,+6,26,1.53,27.0,19.8,+7.2,+0.42,17,8,2,7,31,25,+6,26,1.53,23.1,28.3,-5.2,-0.31,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
7,squads,/en/squads/acbb6a5b/RB-Leipzig-Stats,RB Leipzig,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.acbb6a5b.png,17,8,6,3,33,23,+10,30,1.76,26.5,24.1,+2.4,+0.14,17,5,6,6,20,25,-5,21,1.24,20.1,29.2,-9.2,-0.54,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
8,squads,/en/squads/62add3bf/Werder-Bremen-Stats,Werder Bremen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.62add3bf.png,17,5,6,6,21,26,-5,21,1.24,25.4,21.8,+3.5,+0.21,17,9,3,5,33,31,+2,30,1.76,23.8,26.3,-2.5,-0.15,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
9,squads,/en/squads/598bc722/Stuttgart-Stats,Stuttgart,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.598bc722.png,17,7,2,8,35,27,+8,23,1.35,36.1,20.8,+15.3,+0.90,17,7,6,4,29,26,+3,27,1.59,26.2,26.1,+0.1,+0.01,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
10,squads,/en/squads/32f3ee20/Monchengladbach-Stats,Gladbach,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.32f3ee20.png,17,7,3,7,29,26,+3,24,1.41,26.3,28.4,-2.1,-0.13,17,6,3,8,26,31,-5,21,1.24,24.3,34.9,-10.6,-0.62,20,2024-2025,b0589346-7a16-42da-af96-7135cff2dfd9
