team_id,team_url,team,players_used_away,minutes_90s_away,tackles_away,tackles_won_away,tackles_def_3rd_away,tackles_mid_3rd_away,tackles_att_3rd_away,challenge_tackles_away,challenges_away,challenge_tackles_pct_away,challenges_lost_away,blocks_away,blocked_shots_away,blocked_passes_away,interceptions_away,tackles_interceptions_away,clearances_away,errors_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2017-2018/Augsburg-Stats,vs Augsburg,27,34.0,576,427,282,242,52,256,441,58.0,185,400,93,307,342,918,844,14,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
054efa67,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats,vs Bayern Munich,28,34.0,621,472,358,213,50,402,679,59.2,277,425,123,302,411,1032,922,14,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
add600ae,/en/squads/add600ae/2017-2018/Dortmund-Stats,vs Dortmund,30,34.0,696,513,355,290,51,375,679,55.2,304,422,122,300,446,1142,843,18,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
f0ac8ee6,/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,28,34.0,658,477,356,245,57,304,550,55.3,246,454,83,371,369,1027,749,23,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
a486e511,/en/squads/a486e511/2017-2018/Freiburg-Stats,vs Freiburg,29,34.0,627,473,258,291,78,235,454,51.8,219,449,96,353,359,986,650,11,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
32f3ee20,/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats,vs Gladbach,27,34.0,739,527,362,322,55,357,669,53.4,312,484,116,368,425,1164,664,13,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
26790c6a,/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats,vs Hamburger SV,29,34.0,771,552,385,308,78,406,671,60.5,265,473,99,374,385,1156,937,13,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
60b5e41f,/en/squads/60b5e41f/2017-2018/Hannover-96-Stats,vs Hannover 96,26,34.0,641,491,277,284,80,254,484,52.5,230,462,97,365,378,1019,777,9,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
2818f8bc,/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats,vs Hertha BSC,25,34.0,619,460,288,278,53,313,553,56.6,240,390,66,324,391,1010,654,10,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
033ea6b8,/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats,vs Hoffenheim,26,34.0,692,504,312,305,75,319,552,57.8,233,454,120,334,435,1127,755,15,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
bc357bf7,/en/squads/bc357bf7/2017-2018/Koln-Stats,vs Köln,31,34.0,585,447,274,248,63,327,558,58.6,231,427,93,334,367,952,865,16,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
c7a9f859,/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats,vs Leverkusen,24,34.0,708,491,322,307,79,325,633,51.3,308,524,130,394,427,1135,752,14,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
a224b06a,/en/squads/a224b06a/2017-2018/Mainz-05-Stats,vs Mainz 05,27,34.0,751,555,342,327,82,361,634,56.9,273,387,78,309,381,1132,712,19,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
acbb6a5b,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats,vs RB Leipzig,23,34.0,826,590,400,349,77,405,769,52.7,364,486,102,384,448,1274,844,17,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
c539e393,/en/squads/c539e393/2017-2018/Schalke-04-Stats,vs Schalke 04,24,34.0,714,541,334,324,56,423,738,57.3,315,375,77,298,378,1092,630,9,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
598bc722,/en/squads/598bc722/2017-2018/Stuttgart-Stats,vs Stuttgart,26,34.0,576,452,297,228,51,302,539,56.0,237,387,86,301,372,948,695,16,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
62add3bf,/en/squads/62add3bf/2017-2018/Werder-Bremen-Stats,vs Werder Bremen,25,34.0,614,471,296,271,47,273,477,57.2,204,498,114,384,357,971,799,10,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
4eaa11d7,/en/squads/4eaa11d7/2017-2018/Wolfsburg-Stats,vs Wolfsburg,29,34.0,614,460,272,278,64,231,451,51.2,220,373,85,288,399,1013,618,9,20,2017-2018,d5a13c07-1679-4733-b1c4-fba359be3d02
