team_id,team_url,team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,competition_id,season_id,id
squads,/en/squads/0cdc4311/Augsburg-Stats,Augsburg,29,34.0,464,300,198,202,64,233,430,54.2,197,417,121,296,341,805,971,16,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
054efa67,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats,Bayern Munich,29,34.0,506,300,166,233,107,250,450,55.6,200,318,52,266,232,738,518,23,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
b42c6323,/en/squads/b42c6323/2024-2025/Bochum-Stats,Bochum,27,34.0,600,360,318,207,75,306,572,53.5,266,475,142,333,294,894,906,23,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
add600ae,/en/squads/add600ae/2024-2025/Dortmund-Stats,Dortmund,28,34.0,523,319,232,196,95,261,492,53.0,231,375,100,275,249,772,726,18,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
f0ac8ee6,/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats,Eint Frankfurt,26,34.0,566,341,267,219,80,280,508,55.1,228,425,128,297,287,853,994,26,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/a486e511/Freiburg-Stats,Freiburg,26,34.0,511,317,225,222,64,235,457,51.4,222,400,112,288,276,787,811,21,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/32f3ee20/Monchengladbach-Stats,Gladbach,26,34.0,504,284,278,177,49,240,473,50.7,233,445,166,279,317,821,1067,23,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/18d9d2a7/Heidenheim-Stats,Heidenheim,27,34.0,614,356,322,235,57,294,558,52.7,264,435,109,326,312,926,952,15,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/033ea6b8/Hoffenheim-Stats,Hoffenheim,35,34.0,570,336,266,236,68,269,511,52.6,242,450,139,311,291,861,922,22,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
2ac661d9,/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats,Holstein Kiel,27,34.0,541,328,292,174,75,277,530,52.3,253,409,155,254,294,835,1126,22,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
c7a9f859,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats,Leverkusen,23,34.0,395,259,153,163,79,184,357,51.5,173,302,77,225,234,629,676,26,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/a224b06a/Mainz-05-Stats,Mainz 05,25,34.0,564,325,234,247,83,236,448,52.7,212,419,128,291,352,916,947,22,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/acbb6a5b/RB-Leipzig-Stats,RB Leipzig,29,34.0,543,333,248,222,73,258,525,49.1,267,500,156,344,268,811,990,29,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/54864664/St-Pauli-Stats,St. Pauli,28,34.0,537,315,256,217,64,266,511,52.1,245,391,87,304,257,794,915,21,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/598bc722/Stuttgart-Stats,Stuttgart,29,34.0,477,282,197,199,81,254,476,53.4,222,401,104,297,298,775,777,20,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/7a41008f/Union-Berlin-Stats,Union Berlin,28,34.0,537,318,266,223,48,270,507,53.3,237,409,110,299,312,849,1046,13,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/62add3bf/Werder-Bremen-Stats,Werder Bremen,23,34.0,551,321,245,240,66,276,521,53.0,245,454,144,310,315,866,851,27,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
squads,/en/squads/4eaa11d7/Wolfsburg-Stats,Wolfsburg,27,34.0,491,301,257,175,59,246,540,45.6,294,435,133,302,312,803,977,19,20,2024-2025,6cbf2e93-6d3e-4d58-ad27-69d95688b2cc
