team_id,team_url,team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2019-2020/Augsburg-Stats,Augsburg,28,34.0,599,17.62,391,71,42,34,49,12,68,2.00,43,4,7,4,8,2,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
054efa67,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats,Bayern Munich,29,34.0,1108,32.59,862,72,70,56,34,14,176,5.18,140,7,11,7,9,2,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
add600ae,/en/squads/add600ae/2019-2020/Dortmund-Stats,Dortmund,27,34.0,794,23.35,598,59,57,43,29,8,155,4.56,129,5,13,6,2,0,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
b1278397,/en/squads/b1278397/2019-2020/Dusseldorf-Stats,Düsseldorf,28,34.0,747,21.97,491,89,52,41,59,15,64,1.88,45,7,4,4,4,0,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
f0ac8ee6,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats,Eint Frankfurt,27,34.0,878,25.82,611,95,63,60,39,10,100,2.94,61,16,6,13,2,2,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
a486e511,/en/squads/a486e511/2019-2020/Freiburg-Stats,Freiburg,26,34.0,784,23.06,517,89,50,56,67,5,75,2.21,38,9,5,8,15,0,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
32f3ee20,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats,Gladbach,25,34.0,827,24.32,589,66,56,47,56,13,114,3.35,82,8,10,5,8,1,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
2818f8bc,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats,Hertha BSC,32,34.0,636,18.71,446,63,46,39,34,8,83,2.44,52,8,11,8,4,0,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
033ea6b8,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats,Hoffenheim,31,34.0,797,23.44,538,83,56,55,55,10,91,2.68,60,6,7,12,4,2,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
bc357bf7,/en/squads/bc357bf7/2019-2020/Koln-Stats,Köln,29,34.0,723,21.26,500,73,44,47,45,14,83,2.44,54,7,7,9,6,0,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
c7a9f859,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats,Leverkusen,24,34.0,853,25.09,614,91,59,53,25,11,108,3.18,80,8,9,4,5,2,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
a224b06a,/en/squads/a224b06a/2019-2020/Mainz-05-Stats,Mainz 05,25,34.0,795,23.38,552,81,66,41,44,11,76,2.24,51,5,9,6,4,1,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
d9f93f02,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats,Paderborn 07,27,34.0,730,21.47,487,76,61,43,47,16,59,1.74,40,3,5,9,2,0,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
acbb6a5b,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats,RB Leipzig,29,34.0,981,28.85,726,73,65,61,42,14,138,4.06,92,9,17,11,8,1,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
c539e393,/en/squads/c539e393/2019-2020/Schalke-04-Stats,Schalke 04,29,34.0,639,18.79,431,69,44,42,37,16,58,1.71,43,5,4,1,5,0,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
7a41008f,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats,Union Berlin,26,34.0,659,19.38,424,86,41,49,49,10,66,1.94,37,8,3,8,8,2,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
62add3bf,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats,Werder Bremen,30,34.0,756,22.24,536,68,44,52,37,19,69,2.03,43,4,6,11,2,3,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
4eaa11d7,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats,Wolfsburg,26,34.0,814,23.94,542,94,50,59,57,12,80,2.35,49,6,9,7,9,0,20,2019-2020,12371db5-8c2d-4203-9dda-0ceba54888d1
