team_id,team_url,team,players_used_away,minutes_90s_away,gk_goals_against_away,gk_pens_allowed_away,gk_free_kick_goals_against_away,gk_corner_kick_goals_against_away,gk_own_goals_against_away,gk_psxg_away,gk_psnpxg_per_shot_on_target_against_away,gk_psxg_net_away,gk_psxg_net_per90_away,gk_passes_completed_launched_away,gk_passes_launched_away,gk_passes_pct_launched_away,gk_passes_away,gk_passes_throws_away,gk_pct_passes_launched_away,gk_passes_length_avg_away,gk_goal_kicks_away,gk_pct_goal_kicks_launched_away,gk_goal_kick_length_avg_away,gk_crosses_away,gk_crosses_stopped_away,gk_crosses_stopped_pct_away,gk_def_actions_outside_pen_area_away,gk_def_actions_outside_pen_area_per90_away,gk_avg_distance_def_actions_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2019-2020/Augsburg-Stats,vs Augsburg,2,34.0,45,3,4,2,0,45.7,0.31,+0.7,+0.02,208,476,43.7,1288,196,28.4,31.3,249,44.2,39.7,362,13,3.6,68,2.00,18.4,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
054efa67,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats,vs Bayern Munich,2,34.0,100,6,2,7,3,90.3,0.34,-6.7,-0.20,262,687,38.1,1081,207,44.0,37.0,398,53.0,41.7,647,20,3.1,32,0.94,12.0,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
add600ae,/en/squads/add600ae/2019-2020/Dortmund-Stats,vs Dortmund,2,34.0,84,2,0,8,0,76.4,0.40,-7.6,-0.22,180,471,38.2,956,136,38.3,34.9,233,45.1,40.5,391,9,2.3,38,1.12,16.0,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
b1278397,/en/squads/b1278397/2019-2020/Dusseldorf-Stats,vs Düsseldorf,2,34.0,36,4,1,6,0,34.9,0.27,-1.1,-0.03,179,463,38.7,983,154,32.9,32.2,302,46.4,41.0,537,26,4.8,40,1.18,15.2,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
f0ac8ee6,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,3,34.0,59,2,0,13,2,52.5,0.30,-4.5,-0.13,232,608,38.2,1149,183,36.5,34.6,304,62.2,47.0,709,36,5.1,45,1.32,14.9,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
a486e511,/en/squads/a486e511/2019-2020/Freiburg-Stats,vs Freiburg,3,34.0,48,5,3,3,2,44.6,0.28,-1.4,-0.04,225,521,43.2,1031,158,37.0,34.3,267,52.4,42.9,505,20,4.0,34,1.00,14.9,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
32f3ee20,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats,vs Gladbach,1,34.0,66,4,1,4,2,67.0,0.33,+3.0,+0.09,234,576,40.6,1225,177,38.0,34.3,227,48.5,41.1,442,23,5.2,39,1.15,14.8,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
2818f8bc,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats,vs Hertha BSC,3,34.0,48,3,0,6,3,42.0,0.32,-3.0,-0.09,122,354,34.5,890,145,31.6,31.7,221,33.0,35.3,413,16,3.9,44,1.29,16.9,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
033ea6b8,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats,vs Hoffenheim,2,34.0,53,3,1,8,1,53.2,0.32,+1.2,+0.04,192,473,40.6,962,140,37.4,34.9,243,46.5,41.1,445,16,3.6,56,1.65,17.2,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
bc357bf7,/en/squads/bc357bf7/2019-2020/Koln-Stats,vs Köln,1,34.0,51,2,1,12,1,47.3,0.30,-2.7,-0.08,181,509,35.6,1073,179,32.1,32.5,267,61.8,47.4,551,27,4.9,50,1.47,15.6,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
c7a9f859,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats,vs Leverkusen,1,34.0,61,2,0,4,4,54.6,0.29,-2.4,-0.07,250,637,39.2,987,130,45.6,37.3,271,69.0,50.1,528,16,3.0,38,1.12,13.5,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
a224b06a,/en/squads/a224b06a/2019-2020/Mainz-05-Stats,vs Mainz 05,2,34.0,44,3,0,5,2,43.8,0.29,+1.8,+0.05,210,457,46.0,1090,197,30.8,32.2,264,45.8,40.5,504,18,3.6,42,1.24,16.5,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
d9f93f02,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats,vs Paderborn 07,2,34.0,37,2,0,5,0,33.5,0.24,-3.5,-0.10,204,475,42.9,1156,142,31.8,32.6,283,37.8,36.6,414,22,5.3,54,1.59,16.5,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
acbb6a5b,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats,vs RB Leipzig,2,34.0,81,5,2,9,0,62.7,0.29,-18.3,-0.54,228,526,43.3,1140,176,32.4,32.5,311,50.5,42.7,456,23,5.0,51,1.50,14.7,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
c539e393,/en/squads/c539e393/2019-2020/Schalke-04-Stats,vs Schalke 04,2,34.0,38,2,0,4,3,33.9,0.26,-1.1,-0.03,185,467,39.6,985,151,34.1,33.9,269,48.7,41.8,362,8,2.2,30,0.88,15.6,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
7a41008f,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats,vs Union Berlin,2,34.0,41,4,1,11,3,37.0,0.25,-1.0,-0.03,181,533,34.0,1182,214,33.8,32.1,249,53.8,43.3,495,29,5.9,44,1.29,16.2,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
62add3bf,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats,vs Werder Bremen,2,34.0,42,3,0,4,2,39.9,0.26,-0.1,0.00,224,467,48.0,993,167,34.7,33.9,233,52.4,43.9,473,22,4.7,45,1.32,16.8,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
4eaa11d7,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats,vs Wolfsburg,2,34.0,48,4,2,5,0,49.5,0.29,+1.5,+0.04,208,565,36.8,1130,213,37.9,34.2,285,48.1,40.5,465,19,4.1,48,1.41,16.2,20,2019-2020,c86bbbd2-d389-41c7-971d-41d9a433788e
