team_id,team_url,team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,competition_id,season_id,id
247c4b67,/en/squads/247c4b67/2021-2022/Arminia-Stats,Arminia,2,34.0,53,7,1,6,2,56.9,0.28,+5.9,+0.17,419,918,45.6,1464,94,49.6,37.3,332,57.8,46.5,559,12,2.1,48,1.41,18.4,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
0cdc4311,/en/squads/0cdc4311/2021-2022/Augsburg-Stats,Augsburg,1,34.0,56,5,1,2,2,52.3,0.31,-1.7,-0.05,233,579,40.2,949,145,41.9,36.5,289,62.6,47.5,532,24,4.5,51,1.50,16.7,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
054efa67,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats,Bayern Munich,3,34.0,37,2,1,2,1,32.6,0.27,-3.4,-0.10,121,256,47.3,1285,194,18.3,27.6,205,10.2,24.2,316,12,3.8,105,3.09,26.2,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
b42c6323,/en/squads/b42c6323/2021-2022/Bochum-Stats,Bochum,2,34.0,52,5,1,4,4,49.9,0.27,+1.9,+0.06,484,1069,45.3,1457,109,60.5,36.1,273,68.5,48.5,463,28,6.0,72,2.12,10.7,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
add600ae,/en/squads/add600ae/2021-2022/Dortmund-Stats,Dortmund,3,34.0,52,6,2,6,2,46.9,0.31,-3.1,-0.09,93,279,33.3,996,176,20.4,27.5,225,33.8,33.8,402,20,5.0,63,1.85,16.1,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
f0ac8ee6,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats,Eint Frankfurt,3,34.0,49,4,0,3,1,52.4,0.30,+4.4,+0.13,162,557,29.1,1055,157,40.8,21.9,266,47.7,42.2,460,23,5.0,46,1.35,10.8,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
a486e511,/en/squads/a486e511/2021-2022/Freiburg-Stats,Freiburg,2,34.0,46,2,1,5,1,42.7,0.27,-2.3,-0.07,267,684,39.0,1145,126,42.0,34.4,273,74.4,58.1,496,18,3.6,36,1.06,6.3,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
32f3ee20,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats,Gladbach,2,34.0,61,3,1,5,0,57.3,0.29,-3.7,-0.11,153,452,33.8,1243,166,29.0,29.5,238,38.2,36.2,446,19,4.3,53,1.56,8.0,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
12192a4c,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats,Greuther Fürth,3,34.0,82,6,1,12,5,66.9,0.33,-10.1,-0.30,248,719,34.5,1120,144,46.5,41.1,289,68.5,49.4,546,28,5.1,53,1.56,17.2,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
2818f8bc,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats,Hertha BSC,2,34.0,71,8,1,10,0,56.0,0.29,-15.0,-0.44,189,521,36.3,880,172,38.8,39.7,280,64.3,48.9,548,30,5.5,42,1.24,12.1,20,2021-2022,5aa41672-ce2d-4ed6-85ed-e25507c26d7d
