team_id,team_url,team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2018-2019/Augsburg-Stats,Augsburg,3,34,34,"3,060",34.0,71,2.09,190,120,63.2,8,8,18,5,14.7,2,1,1,0,50.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
054efa67,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats,Bayern Munich,2,34,34,"3,060",34.0,32,0.94,79,48,65.8,24,6,4,12,35.3,6,5,0,1,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
add600ae,/en/squads/add600ae/2018-2019/Dortmund-Stats,Dortmund,2,34,34,"3,060",34.0,44,1.29,134,90,70.1,23,7,4,10,29.4,5,4,0,1,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
b1278397,/en/squads/b1278397/2018-2019/Dusseldorf-Stats,Düsseldorf,2,34,34,"3,060",34.0,65,1.91,179,114,67.6,13,5,16,5,14.7,7,7,0,0,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
f0ac8ee6,/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats,Eint Frankfurt,2,34,34,"3,060",34.0,48,1.41,165,118,71.5,15,9,10,9,26.5,1,1,0,0,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
a486e511,/en/squads/a486e511/2018-2019/Freiburg-Stats,Freiburg,2,34,34,"3,060",34.0,61,1.79,175,114,69.1,8,12,14,5,14.7,7,7,0,0,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
32f3ee20,/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats,Gladbach,1,34,34,"3,060",34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
60b5e41f,/en/squads/60b5e41f/2018-2019/Hannover-96-Stats,Hannover 96,3,34,34,"3,060",34.0,71,2.09,226,155,71.2,5,6,23,5,14.7,7,6,1,0,14.3,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
2818f8bc,/en/squads/2818f8bc/2018-2019/Hertha-BSC-Stats,Hertha BSC,2,34,34,"3,060",34.0,57,1.68,159,103,66.7,11,10,13,9,26.5,6,4,1,1,20.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
033ea6b8,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats,Hoffenheim,2,34,34,"3,060",34.0,52,1.53,173,122,74.0,13,12,9,5,14.7,7,7,0,0,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
c7a9f859,/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats,Leverkusen,2,34,34,"3,060",34.0,52,1.53,139,88,65.5,18,4,12,9,26.5,6,4,2,0,33.3,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
a224b06a,/en/squads/a224b06a/2018-2019/Mainz-05-Stats,Mainz 05,2,34,34,"3,060",34.0,57,1.68,173,116,68.8,12,7,15,7,20.6,4,3,0,1,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
6f2c108c,/en/squads/6f2c108c/2018-2019/Nurnberg-Stats,Nürnberg,2,34,34,"3,060",34.0,68,2.00,179,112,63.1,3,10,21,4,11.8,4,2,1,1,33.3,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
acbb6a5b,/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats,RB Leipzig,2,34,34,"3,060",34.0,29,0.85,121,93,80.2,19,9,6,16,47.1,6,5,0,1,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
c539e393,/en/squads/c539e393/2018-2019/Schalke-04-Stats,Schalke 04,2,34,34,"3,057",34.0,55,1.62,166,111,69.9,8,9,17,7,20.6,6,5,1,0,16.7,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
598bc722,/en/squads/598bc722/2018-2019/Stuttgart-Stats,Stuttgart,1,34,34,"3,060",34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
62add3bf,/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats,Werder Bremen,3,34,34,"3,060",34.0,49,1.44,157,108,71.3,14,11,9,5,14.7,5,4,0,1,0.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
4eaa11d7,/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats,Wolfsburg,2,34,34,"3,060",34.0,50,1.47,159,108,71.1,16,7,11,9,26.5,6,4,1,1,20.0,20,2018-2019,bb9c6646-c9da-4aaf-b034-054f70d0562e
