team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2015-2016/Augsburg-Stats,vs Augsburg,27,34.0,66,3,3,460,519,58,529,586,444,5,7,2,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
054efa67,/en/squads/054efa67/2015-2016/Bayern-Munich-Stats,vs Bayern Munich,25,34.0,51,0,0,434,377,90,270,732,553,1,9,1,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
6a6967fc,/en/squads/6a6967fc/2015-2016/Darmstadt-98-Stats,vs Darmstadt 98,23,34.0,62,3,1,549,531,82,514,447,349,4,4,0,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
add600ae,/en/squads/add600ae/2015-2016/Dortmund-Stats,vs Dortmund,26,34.0,65,3,1,472,380,82,335,795,518,4,6,2,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
f0ac8ee6,/en/squads/f0ac8ee6/2015-2016/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,30,34.0,81,3,2,527,502,122,452,681,498,4,2,2,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
32f3ee20,/en/squads/32f3ee20/2015-2016/Monchengladbach-Stats,vs Gladbach,26,34.0,72,1,0,483,445,86,473,765,505,8,4,3,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
26790c6a,/en/squads/26790c6a/2015-2016/Hamburger-SV-Stats,vs Hamburger SV,28,34.0,72,3,3,483,556,85,542,639,467,5,3,3,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
60b5e41f,/en/squads/60b5e41f/2015-2016/Hannover-96-Stats,vs Hannover 96,33,34.0,49,1,0,461,502,81,544,617,515,5,3,1,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
2818f8bc,/en/squads/2818f8bc/2015-2016/Hertha-BSC-Stats,vs Hertha BSC,26,34.0,71,3,2,536,464,64,470,617,508,4,3,1,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
033ea6b8,/en/squads/033ea6b8/2015-2016/Hoffenheim-Stats,vs Hoffenheim,26,34.0,69,1,1,513,467,115,627,734,500,0,6,0,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
12eb2039,/en/squads/12eb2039/2015-2016/Ingolstadt-04-Stats,vs Ingolstadt 04,25,34.0,85,3,2,601,501,109,459,618,483,4,10,0,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
bc357bf7,/en/squads/bc357bf7/2015-2016/Koln-Stats,vs Köln,23,34.0,70,3,1,477,426,43,576,597,420,4,4,0,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
c7a9f859,/en/squads/c7a9f859/2015-2016/Bayer-Leverkusen-Stats,vs Leverkusen,27,34.0,73,3,1,520,499,61,390,786,617,5,3,5,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
a224b06a,/en/squads/a224b06a/2015-2016/Mainz-05-Stats,vs Mainz 05,29,34.0,70,4,3,509,503,76,471,706,581,5,1,0,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
c539e393,/en/squads/c539e393/2015-2016/Schalke-04-Stats,vs Schalke 04,28,34.0,64,2,1,463,489,55,500,656,572,3,5,4,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
598bc722,/en/squads/598bc722/2015-2016/Stuttgart-Stats,vs Stuttgart,31,34.0,67,1,1,449,489,131,384,675,494,5,4,2,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
62add3bf,/en/squads/62add3bf/2015-2016/Werder-Bremen-Stats,vs Werder Bremen,30,34.0,74,2,2,531,503,96,485,650,511,5,9,1,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
4eaa11d7,/en/squads/4eaa11d7/2015-2016/Wolfsburg-Stats,vs Wolfsburg,29,34.0,59,1,1,465,439,97,399,641,484,2,3,1,20,2015-2016,2d8725d7-3450-475f-8670-76c6e5eeb265
