team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,ball_recoveries_away,aerials_won_away,aerials_lost_away,aerials_won_pct_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2018-2019/Augsburg-Stats,vs Augsburg,30,34.0,53,1,1,376,433,63,596,394,328,2,5,1,1776,699,654,51.7,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
054efa67,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats,vs Bayern Munich,24,34.0,56,6,3,364,284,54,317,382,366,3,4,2,1614,444,522,46.0,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
add600ae,/en/squads/add600ae/2018-2019/Dortmund-Stats,vs Dortmund,23,34.0,68,3,1,399,277,80,575,395,442,3,4,1,1800,472,461,50.6,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
b1278397,/en/squads/b1278397/2018-2019/Dusseldorf-Stats,vs Düsseldorf,24,34.0,57,4,2,435,409,53,672,332,316,4,7,1,1864,608,609,50.0,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
f0ac8ee6,/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,30,34.0,63,3,3,368,394,106,584,440,348,0,4,0,2008,712,819,46.5,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
a486e511,/en/squads/a486e511/2018-2019/Freiburg-Stats,vs Freiburg,28,34.0,56,3,1,433,387,48,685,339,335,5,6,2,1773,669,553,54.7,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
32f3ee20,/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats,vs Gladbach,22,34.0,59,2,1,375,309,76,581,370,318,3,7,2,1677,548,427,56.2,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
60b5e41f,/en/squads/60b5e41f/2018-2019/Hannover-96-Stats,vs Hannover 96,32,34.0,53,1,0,446,394,56,681,361,396,4,3,1,1936,716,617,53.7,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
2818f8bc,/en/squads/2818f8bc/2018-2019/Hertha-BSC-Stats,vs Hertha BSC,26,34.0,38,1,0,403,419,69,676,368,318,4,4,0,1894,640,693,48.0,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
033ea6b8,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats,vs Hoffenheim,29,34.0,54,3,1,375,449,63,597,428,354,7,7,1,1728,531,521,50.5,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
c7a9f859,/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats,vs Leverkusen,21,34.0,70,2,1,411,347,75,520,490,379,4,5,1,1906,554,541,50.6,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
a224b06a,/en/squads/a224b06a/2018-2019/Mainz-05-Stats,vs Mainz 05,28,34.0,49,2,2,384,405,55,638,351,397,0,3,2,1863,627,658,48.8,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
6f2c108c,/en/squads/6f2c108c/2018-2019/Nurnberg-Stats,vs Nürnberg,27,34.0,56,1,0,404,371,41,766,358,317,3,6,1,1794,669,621,51.9,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
acbb6a5b,/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats,vs RB Leipzig,23,34.0,58,2,1,415,440,131,497,496,381,5,7,0,1957,603,743,44.8,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
c539e393,/en/squads/c539e393/2018-2019/Schalke-04-Stats,vs Schalke 04,32,34.0,66,4,2,432,424,44,539,392,383,3,9,0,1822,559,600,48.2,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
598bc722,/en/squads/598bc722/2018-2019/Stuttgart-Stats,vs Stuttgart,26,34.0,55,2,2,429,348,69,657,358,282,3,1,0,1779,691,723,48.9,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
62add3bf,/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats,vs Werder Bremen,24,34.0,57,1,0,364,406,103,631,416,324,1,4,1,1875,661,606,52.2,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
4eaa11d7,/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats,vs Wolfsburg,25,34.0,67,2,1,464,334,44,680,393,321,6,5,3,1790,573,610,48.4,20,2018-2019,04d366dc-7614-43a7-b38d-581946769081
