team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2016-2017/Augsburg-Stats,Augsburg,28,34.0,71,2,2,481,441,68,426,794,512,4,4,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
054efa67,/en/squads/054efa67/2016-2017/Bayern-Munich-Stats,Bayern Munich,22,34.0,47,0,0,351,411,92,661,686,421,4,3,0,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
6a6967fc,/en/squads/6a6967fc/2016-2017/Darmstadt-98-Stats,Darmstadt 98,31,34.0,76,5,5,496,450,87,446,688,484,6,8,2,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
add600ae,/en/squads/add600ae/2016-2017/Dortmund-Stats,Dortmund,27,34.0,57,,1,334,550,81,468,566,432,5,2,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
f0ac8ee6,/en/squads/f0ac8ee6/2016-2017/Eintracht-Frankfurt-Stats,Eint Frankfurt,26,34.0,86,1,1,527,468,69,518,849,436,5,4,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
a486e511,/en/squads/a486e511/2016-2017/Freiburg-Stats,Freiburg,25,34.0,56,0,0,429,468,58,351,566,471,8,6,0,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
32f3ee20,/en/squads/32f3ee20/2016-2017/Monchengladbach-Stats,Gladbach,24,34.0,50,2,2,411,445,88,396,655,518,2,5,0,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
26790c6a,/en/squads/26790c6a/2016-2017/Hamburger-SV-Stats,Hamburger SV,29,34.0,77,2,2,549,456,79,501,737,553,2,6,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
2818f8bc,/en/squads/2818f8bc/2016-2017/Hertha-BSC-Stats,Hertha BSC,26,34.0,67,2,2,471,482,55,426,676,457,5,5,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
033ea6b8,/en/squads/033ea6b8/2016-2017/Hoffenheim-Stats,Hoffenheim,23,34.0,63,0,0,502,518,84,417,676,424,5,3,2,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
12eb2039,/en/squads/12eb2039/2016-2017/Ingolstadt-04-Stats,Ingolstadt 04,22,34.0,75,3,3,538,549,77,559,733,500,7,9,2,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
bc357bf7,/en/squads/bc357bf7/2016-2017/Koln-Stats,Köln,26,34.0,74,1,1,466,472,95,410,729,484,4,4,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
c7a9f859,/en/squads/c7a9f859/2016-2017/Bayer-Leverkusen-Stats,Leverkusen,24,34.0,56,3,3,462,399,78,407,708,516,7,3,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
a224b06a,/en/squads/a224b06a/2016-2017/Mainz-05-Stats,Mainz 05,28,34.0,73,3,3,480,477,107,491,787,472,7,4,0,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
acbb6a5b,/en/squads/acbb6a5b/2016-2017/RB-Leipzig-Stats,RB Leipzig,23,34.0,68,1,1,508,471,120,429,770,582,4,5,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
c539e393,/en/squads/c539e393/2016-2017/Schalke-04-Stats,Schalke 04,29,34.0,69,0,0,494,441,96,566,805,450,4,10,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
62add3bf,/en/squads/62add3bf/2016-2017/Werder-Bremen-Stats,Werder Bremen,31,34.0,67,0,0,452,515,58,371,718,438,6,11,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
4eaa11d7,/en/squads/4eaa11d7/2016-2017/Wolfsburg-Stats,Wolfsburg,31,34.0,69,2,2,498,486,61,548,701,438,3,5,1,20,2016-2017,f6622aad-e5b4-4606-be98-29b46f2ae948
