team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,competition_id,season_id,id
247c4b67,/en/squads/247c4b67/2021-2022/Arminia-Stats,Arminia,26,34.0,55,2,1,433,307,54,487,421,311,2,7,2,1907,658,734,47.3,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
0cdc4311,/en/squads/0cdc4311/2021-2022/Augsburg-Stats,Augsburg,26,34.0,74,0,0,448,357,73,592,363,335,4,5,2,1927,557,604,48.0,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
054efa67,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats,Bayern Munich,30,34.0,36,2,0,305,354,76,656,349,338,1,2,1,2220,422,394,51.7,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
b42c6323,/en/squads/b42c6323/2021-2022/Bochum-Stats,Bochum,28,34.0,55,2,0,424,391,75,600,429,353,4,8,4,2088,609,599,50.4,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
add600ae,/en/squads/add600ae/2021-2022/Dortmund-Stats,Dortmund,33,34.0,63,1,1,362,398,73,491,347,322,6,6,2,2052,419,363,53.6,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
f0ac8ee6,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats,Eint Frankfurt,27,34.0,61,1,1,422,299,53,697,377,330,1,4,1,2251,552,644,46.2,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
a486e511,/en/squads/a486e511/2021-2022/Freiburg-Stats,Freiburg,26,34.0,34,0,0,392,375,58,633,355,299,4,2,1,1920,675,638,51.4,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
32f3ee20,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats,Gladbach,26,34.0,67,1,0,359,472,73,440,326,345,6,5,0,1850,464,419,52.5,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
12192a4c,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats,Greuther Fürth,29,34.0,61,0,0,437,434,69,478,374,336,3,6,5,1878,468,602,43.7,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
2818f8bc,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats,Hertha BSC,36,34.0,62,2,0,421,430,73,505,406,321,3,8,0,1830,556,575,49.2,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
033ea6b8,/en/squads/033ea6b8/2021-2022/Hoffenheim-Stats,Hoffenheim,32,34.0,75,0,0,429,348,70,703,285,291,0,4,1,1905,485,574,45.8,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
bc357bf7,/en/squads/bc357bf7/2021-2022/Koln-Stats,Köln,26,34.0,68,1,1,419,459,67,829,426,361,1,1,2,2137,597,590,50.3,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
c7a9f859,/en/squads/c7a9f859/2021-2022/Bayer-Leverkusen-Stats,Leverkusen,29,34.0,66,2,1,364,329,64,537,360,281,5,4,1,2009,442,415,51.6,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
a224b06a,/en/squads/a224b06a/2021-2022/Mainz-05-Stats,Mainz 05,28,34.0,62,4,2,495,386,63,598,439,305,3,6,1,2097,606,580,51.1,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
acbb6a5b,/en/squads/acbb6a5b/2021-2022/RB-Leipzig-Stats,RB Leipzig,29,34.0,49,0,0,360,426,66,523,349,289,5,3,1,1994,504,420,54.5,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
598bc722,/en/squads/598bc722/2021-2022/Stuttgart-Stats,Stuttgart,34,34.0,64,2,1,371,419,53,550,342,307,1,4,1,2021,586,451,56.5,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
7a41008f,/en/squads/7a41008f/2021-2022/Union-Berlin-Stats,Union Berlin,28,34.0,62,1,1,423,333,64,663,376,296,2,2,4,1975,584,681,46.2,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
4eaa11d7,/en/squads/4eaa11d7/2021-2022/Wolfsburg-Stats,Wolfsburg,30,34.0,61,3,1,411,415,74,619,388,298,3,7,1,1984,621,522,54.3,20,2021-2022,27c57075-1416-4449-a7f0-30edac5136d6
