team_id,team_url,team,players_used_away,minutes_90s_away,passes_completed_away,passes_away,passes_pct_away,passes_total_distance_away,passes_progressive_distance_away,passes_completed_short_away,passes_short_away,passes_pct_short_away,passes_completed_medium_away,passes_medium_away,passes_pct_medium_away,passes_completed_long_away,passes_long_away,passes_pct_long_away,assists_away,xg_assist_away,pass_xa_away,xg_assist_net_away,assisted_shots_away,passes_into_final_third_away,passes_into_penalty_area_away,crosses_into_penalty_area_away,progressive_passes_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2018-2019/Augsburg-Stats,vs Augsburg,30,34.0,13895,17792,78.1,260292,96997,5671,6655,85.2,5919,6977,84.8,1850,3100,59.7,50,47.6,42.9,+2.4,399,1064,278,68,1445,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
054efa67,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats,vs Bayern Munich,24,34.0,9169,12463,73.6,170858,69464,3950,4723,83.6,3691,4476,82.5,1226,2463,49.8,22,16.5,16.4,+5.5,181,603,104,31,766,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
add600ae,/en/squads/add600ae/2018-2019/Dortmund-Stats,vs Dortmund,23,34.0,12337,15855,77.8,229458,82942,5093,5936,85.8,5192,6138,84.6,1628,2763,58.9,25,25.1,29.6,-0.1,243,890,260,74,1290,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
b1278397,/en/squads/b1278397/2018-2019/Dusseldorf-Stats,vs Düsseldorf,24,34.0,16201,19758,82.0,288352,101712,7299,8193,89.1,6772,7770,87.2,1718,2807,61.2,35,42.7,43.0,-7.7,350,1296,277,80,1654,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
f0ac8ee6,/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,30,34.0,12853,17072,75.3,237692,94270,5600,6624,84.5,5134,6187,83.0,1709,3056,55.9,38,39.9,39.5,-1.9,347,968,280,82,1370,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
a486e511,/en/squads/a486e511/2018-2019/Freiburg-Stats,vs Freiburg,28,34.0,15522,19165,81.0,291096,100095,6311,7140,88.4,6852,7875,87.0,1947,3172,61.4,46,44.6,44.8,+1.4,386,1209,320,86,1537,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
32f3ee20,/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats,vs Gladbach,22,34.0,13859,17142,80.8,252277,89380,5918,6643,89.1,5840,6701,87.2,1646,2757,59.7,27,37.4,40.4,-10.4,339,963,254,69,1334,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
60b5e41f,/en/squads/60b5e41f/2018-2019/Hannover-96-Stats,vs Hannover 96,32,34.0,13724,17626,77.9,251328,93519,5969,6900,86.5,5565,6618,84.1,1739,2985,58.3,50,48.5,52.5,+1.5,443,1149,359,101,1533,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
2818f8bc,/en/squads/2818f8bc/2018-2019/Hertha-BSC-Stats,vs Hertha BSC,26,34.0,13672,17667,77.4,242323,91389,6142,7093,86.6,5525,6608,83.6,1524,2818,54.1,43,46.6,46.8,-3.6,376,1105,291,69,1493,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
033ea6b8,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats,vs Hoffenheim,29,34.0,11999,15611,76.9,222155,88924,5155,5996,86.0,4942,5896,83.8,1528,2699,56.6,31,35.3,37.1,-4.3,359,933,302,76,1348,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
c7a9f859,/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats,vs Leverkusen,21,34.0,10756,14540,74.0,200012,78888,4585,5480,83.7,4361,5366,81.3,1435,2648,54.2,35,32.8,28.7,+2.2,294,794,214,61,1187,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
a224b06a,/en/squads/a224b06a/2018-2019/Mainz-05-Stats,vs Mainz 05,28,34.0,14350,18311,78.4,263472,99606,6188,7107,87.1,5943,7052,84.3,1790,3045,58.8,46,45.2,44.2,+0.8,385,1000,291,84,1439,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
6f2c108c,/en/squads/6f2c108c/2018-2019/Nurnberg-Stats,vs Nürnberg,27,34.0,16091,19664,81.8,294074,101869,6746,7568,89.1,6987,8026,87.1,1883,3024,62.3,45,39.1,44.1,+5.9,393,1339,334,91,1862,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
acbb6a5b,/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats,vs RB Leipzig,23,34.0,12788,17249,74.1,241968,89922,5204,6144,84.7,5416,6602,82.0,1769,3324,53.2,16,27.3,28.6,-11.3,224,761,193,54,1158,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
c539e393,/en/squads/c539e393/2018-2019/Schalke-04-Stats,vs Schalke 04,32,34.0,13754,17542,78.4,248708,90373,5706,6632,86.0,5865,6872,85.3,1627,2786,58.4,35,32.6,30.2,+2.4,324,871,239,60,1317,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
598bc722,/en/squads/598bc722/2018-2019/Stuttgart-Stats,vs Stuttgart,26,34.0,14307,18252,78.4,258925,95081,6123,7064,86.7,6026,7078,85.1,1683,2936,57.3,48,39.4,42.0,+8.6,375,1105,294,82,1461,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
62add3bf,/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats,vs Werder Bremen,24,34.0,12854,16798,76.5,241207,90221,5408,6315,85.6,5050,6067,83.2,1869,3156,59.2,36,40.5,38.6,-4.5,341,919,258,67,1322,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
4eaa11d7,/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats,vs Wolfsburg,25,34.0,11248,15131,74.3,205089,81906,5038,5941,84.8,4444,5554,80.0,1407,2662,52.9,36,34.8,35.2,+1.2,335,994,244,71,1369,20,2018-2019,6eec33e4-fd87-440f-abc8-7a4b8cffd924
