team_id,team_url,team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,competition_id,season_id,id
247c4b67,/en/squads/247c4b67/2021-2022/Arminia-Stats,Arminia,26,34.0,9382,13511,69.4,182069,82699,3765,4741,79.4,4031,5156,78.2,1305,2712,48.1,18,17.2,22.4,+0.8,247,763,195,55,887,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
0cdc4311,/en/squads/0cdc4311/2021-2022/Augsburg-Stats,Augsburg,26,34.0,9181,13035,70.4,181255,75935,3586,4449,80.6,3892,4935,78.9,1455,2827,51.5,26,23.9,25.8,+2.1,264,657,218,85,895,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
054efa67,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats,Bayern Munich,30,34.0,20087,23780,84.5,342875,124219,9343,10393,89.9,8473,9518,89.0,1747,2675,65.3,70,66.7,80.3,+3.3,516,1677,500,71,2164,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
b42c6323,/en/squads/b42c6323/2021-2022/Bochum-Stats,Bochum,28,34.0,9624,13679,70.4,200296,84521,3445,4288,80.3,4176,5235,79.8,1764,3334,52.9,22,26.7,28.2,-4.7,276,761,179,66,926,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
add600ae,/en/squads/add600ae/2021-2022/Dortmund-Stats,Dortmund,33,34.0,17410,21052,82.7,292376,101965,8010,8996,89.0,7168,8170,87.7,1495,2454,60.9,57,45.0,46.0,+12.0,331,1091,301,48,1468,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
f0ac8ee6,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats,Eint Frankfurt,27,34.0,12628,17023,74.2,229563,88663,5346,6380,83.8,5660,6861,82.5,1313,2783,47.2,33,32.0,33.1,+1.0,331,908,223,78,1255,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
a486e511,/en/squads/a486e511/2021-2022/Freiburg-Stats,Freiburg,26,34.0,11641,15652,74.4,219063,88322,4842,5855,82.7,4953,5947,83.3,1504,2875,52.3,37,34.5,39.9,+2.5,333,919,293,73,1229,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
32f3ee20,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats,Gladbach,26,34.0,14537,17978,80.9,251602,93864,6542,7467,87.6,6272,7138,87.9,1318,2354,56.0,38,37.8,39.2,+0.2,357,920,250,46,1291,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
12192a4c,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats,Greuther Fürth,29,34.0,10180,13971,72.9,187432,77521,4297,5107,84.1,4428,5407,81.9,1187,2565,46.3,15,18.8,19.8,-3.8,208,737,150,43,976,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
2818f8bc,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats,Hertha BSC,36,34.0,10314,14077,73.3,185733,76968,4615,5523,83.6,4151,5105,81.3,1226,2478,49.5,23,25.0,26.4,-2.0,271,650,181,56,975,20,2021-2022,0ab836c4-b988-4c80-a62a-03dc38f80c66
