team_id,team_url,team,players_used_away,minutes_90s_away,passes_away,passes_live_away,passes_dead_away,passes_free_kicks_away,through_balls_away,passes_switches_away,crosses_away,throw_ins_away,corner_kicks_away,corner_kicks_in_away,corner_kicks_out_away,corner_kicks_straight_away,passes_completed_away,passes_offsides_away,passes_blocked_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2023-2024/Augsburg-Stats,vs Augsburg,29,34.0,18656,16854,1744,514,43,156,658,678,179,95,53,4,14958,58,331,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
054efa67,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats,vs Bayern Munich,30,34.0,14634,13184,1400,346,45,86,463,527,96,38,40,1,11673,50,325,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
b42c6323,/en/squads/b42c6323/2023-2024/Bochum-Stats,vs Bochum,25,34.0,16555,14631,1865,506,51,101,668,755,198,87,85,2,12224,59,367,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
6a6967fc,/en/squads/6a6967fc/2023-2024/Darmstadt-98-Stats,vs Darmstadt 98,32,34.0,18463,16773,1631,453,76,70,622,709,182,73,79,0,14988,59,299,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
add600ae,/en/squads/add600ae/2023-2024/Dortmund-Stats,vs Dortmund,32,34.0,14962,13401,1471,330,54,83,602,623,172,74,66,0,11645,90,350,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
f0ac8ee6,/en/squads/f0ac8ee6/2023-2024/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,34,34.0,17532,15912,1535,378,48,85,619,679,155,47,74,3,13799,85,373,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
a486e511,/en/squads/a486e511/2023-2024/Freiburg-Stats,vs Freiburg,25,34.0,18560,17024,1492,399,49,69,601,611,190,82,78,1,15011,44,316,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
32f3ee20,/en/squads/32f3ee20/2023-2024/Monchengladbach-Stats,vs Gladbach,27,34.0,19590,17982,1562,355,65,81,710,668,208,87,79,0,16078,46,352,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
18d9d2a7,/en/squads/18d9d2a7/2023-2024/Heidenheim-Stats,vs Heidenheim,22,34.0,19659,17901,1702,450,67,83,637,739,170,76,81,3,15688,56,384,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
033ea6b8,/en/squads/033ea6b8/2023-2024/Hoffenheim-Stats,vs Hoffenheim,30,34.0,17443,15782,1609,363,50,99,697,699,193,61,78,0,13823,52,310,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
bc357bf7,/en/squads/bc357bf7/2023-2024/Koln-Stats,vs Köln,26,34.0,18354,16589,1725,447,41,101,629,742,203,85,87,3,14756,40,392,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
c7a9f859,/en/squads/c7a9f859/2023-2024/Bayer-Leverkusen-Stats,vs Leverkusen,24,34.0,14960,13528,1394,371,35,58,405,504,112,63,43,0,11820,38,280,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
a224b06a,/en/squads/a224b06a/2023-2024/Mainz-05-Stats,vs Mainz 05,30,34.0,17869,16094,1732,511,39,72,546,749,142,42,62,0,13806,43,359,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
acbb6a5b,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats,vs RB Leipzig,26,34.0,15867,14271,1546,405,31,60,539,623,140,70,49,0,12519,50,388,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
598bc722,/en/squads/598bc722/2023-2024/Stuttgart-Stats,vs Stuttgart,27,34.0,14991,13405,1527,356,39,70,522,652,143,67,58,0,11590,59,311,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
7a41008f,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats,vs Union Berlin,30,34.0,19979,18270,1661,435,40,100,734,721,175,85,65,1,16055,48,393,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
62add3bf,/en/squads/62add3bf/2023-2024/Werder-Bremen-Stats,vs Werder Bremen,30,34.0,18711,17015,1623,435,48,69,634,667,199,91,80,1,15028,73,324,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
4eaa11d7,/en/squads/4eaa11d7/2023-2024/Wolfsburg-Stats,vs Wolfsburg,28,34.0,18266,16558,1613,426,41,107,616,716,171,58,72,1,14716,95,375,20,2023-2024,ee9cc7af-b62d-49b6-814a-c77a08fd1830
