team_id,team_url,team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,competition_id,season_id,id
squads,/en/squads/0cdc4311/Augsburg-Stats,Augsburg,29,34.0,14936,13228,1649,415,32,48,578,699,156,63,61,1,11577,59,362,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
054efa67,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats,Bayern Munich,29,34.0,25733,24287,1390,366,129,125,612,588,220,127,25,1,22755,56,335,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
b42c6323,/en/squads/b42c6323/2024-2025/Bochum-Stats,Bochum,27,34.0,14230,12544,1623,348,40,38,679,711,165,106,53,0,10281,63,368,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
add600ae,/en/squads/add600ae/2024-2025/Dortmund-Stats,Dortmund,28,34.0,20321,18695,1583,431,67,93,698,659,191,105,51,3,17077,43,320,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
f0ac8ee6,/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats,Eint Frankfurt,26,34.0,17138,15585,1496,398,48,64,539,582,168,103,46,0,13925,57,305,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/a486e511/Freiburg-Stats,Freiburg,26,34.0,16460,14973,1426,362,34,56,589,597,132,79,39,0,12892,61,317,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/32f3ee20/Monchengladbach-Stats,Gladbach,26,34.0,17507,15877,1565,385,80,69,617,632,158,67,71,0,14148,65,362,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/18d9d2a7/Heidenheim-Stats,Heidenheim,27,34.0,14684,12981,1653,413,20,77,581,703,140,69,47,0,11127,50,330,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/033ea6b8/Hoffenheim-Stats,Hoffenheim,35,34.0,16506,14841,1595,405,38,65,732,702,157,57,62,3,12827,70,337,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
2ac661d9,/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats,Holstein Kiel,27,34.0,13961,12298,1619,409,30,58,482,667,120,58,46,1,10537,44,293,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
c7a9f859,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats,Leverkusen,23,34.0,21589,19979,1546,409,67,114,735,622,216,115,47,0,18301,64,320,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/a224b06a/Mainz-05-Stats,Mainz 05,25,34.0,16434,14771,1585,378,43,73,658,716,165,58,74,6,12478,78,379,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/acbb6a5b/RB-Leipzig-Stats,RB Leipzig,29,34.0,18207,16606,1518,394,80,50,563,630,161,61,66,1,14698,83,358,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/54864664/St-Pauli-Stats,St. Pauli,28,34.0,15300,13659,1575,421,31,60,600,692,148,66,55,2,11751,66,303,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/598bc722/Stuttgart-Stats,Stuttgart,29,34.0,19767,18113,1592,488,63,72,637,623,180,72,47,3,16513,62,289,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/7a41008f/Union-Berlin-Stats,Union Berlin,28,34.0,13705,12135,1503,353,16,53,608,655,152,66,71,4,9960,67,335,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/62add3bf/Werder-Bremen-Stats,Werder Bremen,23,34.0,17550,15860,1618,468,57,87,667,660,161,63,77,1,13999,72,355,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
squads,/en/squads/4eaa11d7/Wolfsburg-Stats,Wolfsburg,27,34.0,15088,13434,1605,424,46,120,574,644,165,99,63,1,11590,49,336,20,2024-2025,dece4164-39ae-49bd-aba4-2acb9b6fee0e
