team_id,team_url,team,players_used_away,avg_age_away,games_away,minutes_away,minutes_per_game_away,minutes_pct_away,minutes_90s_away,games_starts_away,minutes_per_start_away,games_complete_away,games_subs_away,minutes_per_sub_away,unused_subs_away,points_per_game_away,on_goals_for_away,on_goals_against_away,plus_minus_away,plus_minus_per90_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2016-2017/Augsburg-Stats,vs Augsburg,28,25.7,34,"3,060",90,100,34.0,374,,,97,23,141,1.56,51,35,+16,+0.47,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
054efa67,/en/squads/054efa67/2016-2017/Bayern-Munich-Stats,vs Bayern Munich,22,25.9,34,"3,060",90,100,34.0,374,,,101,21,136,0.38,22,89,-67,-1.97,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
6a6967fc,/en/squads/6a6967fc/2016-2017/Darmstadt-98-Stats,vs Darmstadt 98,31,25.8,34,"3,060",90,100,34.0,374,,,98,19,140,2.15,63,28,+35,+1.03,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
add600ae,/en/squads/add600ae/2016-2017/Dortmund-Stats,vs Dortmund,27,26.0,34,"3,060",90,100,34.0,374,,,99,20,138,0.82,40,72,-32,-0.94,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
f0ac8ee6,/en/squads/f0ac8ee6/2016-2017/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,26,26.0,34,"3,060",90,100,34.0,374,,,98,19,139,1.50,43,36,+7,+0.21,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
a486e511,/en/squads/a486e511/2016-2017/Freiburg-Stats,vs Freiburg,25,26.1,34,"3,060",90,100,34.0,374,,,100,19,139,1.41,60,42,+18,+0.53,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
32f3ee20,/en/squads/32f3ee20/2016-2017/Monchengladbach-Stats,vs Gladbach,24,25.9,34,"3,060",90,100,34.0,374,,,99,18,139,1.41,49,45,+4,+0.12,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
26790c6a,/en/squads/26790c6a/2016-2017/Hamburger-SV-Stats,vs Hamburger SV,29,25.9,34,"3,060",90,100,34.0,374,,,100,19,138,1.65,61,33,+28,+0.82,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
2818f8bc,/en/squads/2818f8bc/2016-2017/Hertha-BSC-Stats,vs Hertha BSC,26,25.9,34,"3,060",90,100,34.0,374,,,97,19,141,1.44,47,43,+4,+0.12,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
033ea6b8,/en/squads/033ea6b8/2016-2017/Hoffenheim-Stats,vs Hoffenheim,23,26.0,34,"3,060",90,100,34.0,374,,,100,18,138,0.76,37,64,-27,-0.79,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
12eb2039,/en/squads/12eb2039/2016-2017/Ingolstadt-04-Stats,vs Ingolstadt 04,22,25.9,34,"3,060",90,100,34.0,374,,,99,20,139,1.82,57,36,+21,+0.62,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
bc357bf7,/en/squads/bc357bf7/2016-2017/Koln-Stats,vs Köln,26,25.9,34,"3,060",90,100,34.0,374,,,98,21,140,1.18,42,51,-9,-0.26,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
c7a9f859,/en/squads/c7a9f859/2016-2017/Bayer-Leverkusen-Stats,vs Leverkusen,24,25.9,34,"3,060",90,100,34.0,374,,,98,20,139,1.56,55,53,+2,+0.06,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
a224b06a,/en/squads/a224b06a/2016-2017/Mainz-05-Stats,vs Mainz 05,28,25.8,34,"3,060",90,100,34.0,374,,,98,19,141,1.71,55,44,+11,+0.32,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
acbb6a5b,/en/squads/acbb6a5b/2016-2017/RB-Leipzig-Stats,vs RB Leipzig,23,26.0,34,"3,060",90,100,34.0,374,,,101,23,137,0.82,39,66,-27,-0.79,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
c539e393,/en/squads/c539e393/2016-2017/Schalke-04-Stats,vs Schalke 04,29,25.9,34,"3,060",90,100,34.0,374,,,98,20,140,1.44,40,45,-5,-0.15,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
62add3bf,/en/squads/62add3bf/2016-2017/Werder-Bremen-Stats,vs Werder Bremen,31,25.8,34,"3,060",90,100,34.0,374,,,97,21,141,1.50,64,61,+3,+0.09,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
4eaa11d7,/en/squads/4eaa11d7/2016-2017/Wolfsburg-Stats,vs Wolfsburg,31,25.8,34,"3,060",90,100,34.0,374,,,99,19,138,1.71,52,34,+18,+0.53,20,2016-2017,6603f49a-cc98-41e5-a99f-58887ac23cb8
