team_id,team_url,team,players_used_away,possession_away,minutes_90s_away,touches_away,touches_def_pen_area_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,touches_att_pen_area_away,touches_live_ball_away,take_ons_away,take_ons_won_away,take_ons_won_pct_away,take_ons_tackled_away,take_ons_tackled_pct_away,carries_away,carries_distance_away,carries_progressive_distance_away,progressive_carries_away,carries_into_final_third_away,carries_into_penalty_area_away,miscontrols_away,dispossessed_away,passes_received_away,progressive_passes_received_away,competition_id,season_id,id
squads,/en/squads/0cdc4311/Augsburg-Stats,vs Augsburg,29,55.7,34.0,22943,2360,7467,10398,5239,816,22938,469,197,42.0,233,49.7,12814,62501,31296,604,405,140,479,231,15364,1429,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
054efa67,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats,vs Bayern Munich,29,32.1,34.0,16085,2998,7592,6086,2581,425,16083,476,200,42.0,250,52.5,7861,36733,16041,286,200,81,453,256,9050,664,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
b42c6323,/en/squads/b42c6323/2024-2025/Bochum-Stats,vs Bochum,27,54.5,34.0,22119,2332,7245,9965,5100,898,22113,619,266,43.0,306,49.4,11590,58190,29503,599,420,182,526,294,13929,1435,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
add600ae,/en/squads/add600ae/2024-2025/Dortmund-Stats,vs Dortmund,28,41.1,34.0,18251,2382,6828,7494,4124,694,18247,539,231,42.9,261,48.4,9340,47128,23088,473,355,138,498,262,10851,1045,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
f0ac8ee6,/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,26,50.3,34.0,21445,2319,6565,9663,5361,799,21442,544,228,41.9,280,51.5,11276,56986,28875,547,422,143,447,286,14035,1273,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/a486e511/Freiburg-Stats,vs Freiburg,26,51.3,34.0,21416,2280,7469,9517,4592,727,21412,478,222,46.4,235,49.2,12223,56939,27259,471,354,120,539,276,13965,1167,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/32f3ee20/Monchengladbach-Stats,vs Gladbach,26,50.4,34.0,21784,2032,5968,9969,6055,1000,21776,514,233,45.3,240,46.7,11945,60720,30982,607,463,171,501,264,14355,1509,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/18d9d2a7/Heidenheim-Stats,vs Heidenheim,27,56.5,34.0,23335,1995,6152,11630,5773,847,23329,607,264,43.5,294,48.4,13152,67306,34543,643,489,154,523,320,15686,1610,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/033ea6b8/Hoffenheim-Stats,vs Hoffenheim,35,51.3,34.0,21736,2361,6905,9596,5414,898,21730,556,242,43.5,269,48.4,11712,57227,27547,529,428,143,550,301,13877,1336,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
2ac661d9,/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats,vs Holstein Kiel,27,56.4,34.0,22214,1790,5535,10403,6454,987,22207,589,253,43.0,277,47.0,12764,60246,29565,549,409,172,548,264,14660,1558,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
c7a9f859,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats,vs Leverkusen,23,40.8,34.0,18556,2562,7087,7890,3728,560,18552,384,173,45.1,184,47.9,10192,49152,23558,403,333,99,438,211,11490,972,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/a224b06a/Mainz-05-Stats,vs Mainz 05,25,49.6,34.0,20500,2395,7086,8870,4721,774,20495,491,212,43.2,236,48.1,10118,47298,22409,436,329,132,534,328,12192,1107,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/acbb6a5b/RB-Leipzig-Stats,vs RB Leipzig,29,47.8,34.0,20820,2272,6842,9156,4982,889,20817,574,267,46.5,258,44.9,10832,52648,25250,530,354,154,510,285,12947,1256,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/54864664/St-Pauli-Stats,vs St. Pauli,28,55.8,34.0,23319,2172,6856,12047,4560,704,23314,554,245,44.2,266,48.0,12880,63001,31468,484,352,117,554,271,15848,1374,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/598bc722/Stuttgart-Stats,vs Stuttgart,29,42.8,34.0,18607,2476,6977,7887,3903,669,18604,515,222,43.1,254,49.3,9866,48935,22980,443,320,128,464,223,11303,1014,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/7a41008f/Union-Berlin-Stats,vs Union Berlin,28,60.0,34.0,24274,2285,6987,12081,5341,764,24268,553,237,42.9,270,48.8,13550,66402,33786,595,435,123,486,267,16348,1484,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/62add3bf/Werder-Bremen-Stats,vs Werder Bremen,23,50.1,34.0,21849,2259,6824,10158,5066,781,21846,563,245,43.5,276,49.0,11625,56447,27051,540,396,157,499,275,14179,1323,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
squads,/en/squads/4eaa11d7/Wolfsburg-Stats,vs Wolfsburg,27,53.9,34.0,21657,2121,6793,9608,5447,789,21654,580,294,50.7,246,42.4,11549,57655,29055,549,414,145,493,245,14111,1340,20,2024-2025,ff4aaaee-19d9-43e9-92ea-f84749e51b82
