team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2015-2016/Augsburg-Stats,vs Augsburg,27,25.8,53.1,34,374,"3,060",34.0,51,38,89,46,5,7,66,3,1.50,1.12,2.62,1.35,2.47,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
054efa67,/en/squads/054efa67/2015-2016/Bayern-Munich-Stats,vs Bayern Munich,25,25.9,29.9,34,374,"3,060",34.0,16,13,29,15,1,2,51,0,0.47,0.38,0.85,0.44,0.82,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
6a6967fc,/en/squads/6a6967fc/2015-2016/Darmstadt-98-Stats,vs Darmstadt 98,23,25.8,66.8,34,374,"3,060",34.0,50,37,87,47,3,4,62,3,1.47,1.09,2.56,1.38,2.47,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
add600ae,/en/squads/add600ae/2015-2016/Dortmund-Stats,vs Dortmund,26,26.0,36.1,34,374,"3,060",34.0,33,22,55,29,4,4,65,3,0.97,0.65,1.62,0.85,1.50,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
f0ac8ee6,/en/squads/f0ac8ee6/2015-2016/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,30,26.0,52.0,34,374,"3,060",34.0,52,34,86,49,3,5,81,3,1.53,1.00,2.53,1.44,2.44,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
32f3ee20,/en/squads/32f3ee20/2015-2016/Monchengladbach-Stats,vs Gladbach,26,25.9,44.0,34,374,"3,060",34.0,47,32,79,40,7,8,72,1,1.38,0.94,2.32,1.18,2.12,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
26790c6a,/en/squads/26790c6a/2015-2016/Hamburger-SV-Stats,vs Hamburger SV,28,26.0,51.3,34,374,"3,060",34.0,44,34,78,40,4,5,72,3,1.29,1.00,2.29,1.18,2.18,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
60b5e41f,/en/squads/60b5e41f/2015-2016/Hannover-96-Stats,vs Hannover 96,33,26.0,54.1,34,374,"3,060",34.0,61,42,103,54,7,7,49,1,1.79,1.24,3.03,1.59,2.82,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
2818f8bc,/en/squads/2818f8bc/2015-2016/Hertha-BSC-Stats,vs Hertha BSC,26,26.0,50.3,34,374,"3,060",34.0,42,32,74,38,4,4,71,3,1.24,0.94,2.18,1.12,2.06,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
033ea6b8,/en/squads/033ea6b8/2015-2016/Hoffenheim-Stats,vs Hoffenheim,26,26.0,53.9,34,374,"3,060",34.0,51,41,92,49,2,2,69,1,1.50,1.21,2.71,1.44,2.65,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
12eb2039,/en/squads/12eb2039/2015-2016/Ingolstadt-04-Stats,vs Ingolstadt 04,25,25.9,54.8,34,374,"3,060",34.0,42,31,73,39,3,4,85,3,1.24,0.91,2.15,1.15,2.06,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
bc357bf7,/en/squads/bc357bf7/2015-2016/Koln-Stats,vs Köln,23,26.0,54.8,34,374,"3,060",34.0,42,27,69,39,3,4,70,3,1.24,0.79,2.03,1.15,1.94,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
c7a9f859,/en/squads/c7a9f859/2015-2016/Bayer-Leverkusen-Stats,vs Leverkusen,27,26.0,46.9,34,374,"3,060",34.0,39,24,63,33,6,7,73,3,1.15,0.71,1.85,0.97,1.68,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
a224b06a,/en/squads/a224b06a/2015-2016/Mainz-05-Stats,vs Mainz 05,29,26.1,53.9,34,374,"3,060",34.0,41,33,74,38,3,7,70,4,1.21,0.97,2.18,1.12,2.09,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
c539e393,/en/squads/c539e393/2015-2016/Schalke-04-Stats,vs Schalke 04,28,26.0,47.8,34,374,"3,060",34.0,48,36,84,46,2,3,64,2,1.41,1.06,2.47,1.35,2.41,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
598bc722,/en/squads/598bc722/2015-2016/Stuttgart-Stats,vs Stuttgart,31,25.8,52.1,34,374,"3,060",34.0,68,44,112,64,4,5,67,1,2.00,1.29,3.29,1.88,3.18,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
62add3bf,/en/squads/62add3bf/2015-2016/Werder-Bremen-Stats,vs Werder Bremen,30,26.0,55.1,34,374,"3,060",34.0,62,46,108,56,6,6,74,2,1.82,1.35,3.18,1.65,3.00,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
4eaa11d7,/en/squads/4eaa11d7/2015-2016/Wolfsburg-Stats,vs Wolfsburg,29,25.9,42.4,34,374,"3,060",34.0,49,34,83,48,1,2,59,1,1.44,1.00,2.44,1.41,2.41,20,2015-2016,62053e23-4bfd-4ddd-be66-6bddf65bedd0
