team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2015-2016/Augsburg-Stats,Augsburg,27,27.4,46.9,34,374,"3,060",34.0,40,20,60,33,7,7,82,0,1.18,0.59,1.76,0.97,1.56,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
054efa67,/en/squads/054efa67/2015-2016/Bayern-Munich-Stats,Bayern Munich,25,26.8,70.1,34,374,"3,060",34.0,79,54,133,71,8,9,50,0,2.32,1.59,3.91,2.09,3.68,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
6a6967fc,/en/squads/6a6967fc/2015-2016/Darmstadt-98-Stats,Darmstadt 98,23,27.5,33.2,34,374,"3,060",34.0,38,30,68,36,2,4,88,0,1.12,0.88,2.00,1.06,1.94,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
add600ae,/en/squads/add600ae/2015-2016/Dortmund-Stats,Dortmund,26,25.6,63.9,34,374,"3,060",34.0,80,64,144,76,4,6,39,,2.35,1.88,4.24,2.24,4.12,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
f0ac8ee6,/en/squads/f0ac8ee6/2015-2016/Eintracht-Frankfurt-Stats,Eint Frankfurt,30,26.7,48.0,34,374,"3,060",34.0,32,25,57,30,2,2,99,0,0.94,0.74,1.68,0.88,1.62,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
32f3ee20,/en/squads/32f3ee20/2015-2016/Monchengladbach-Stats,Gladbach,26,24.9,56.0,34,374,"3,060",34.0,64,47,111,60,4,5,49,0,1.88,1.38,3.26,1.76,3.15,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
26790c6a,/en/squads/26790c6a/2015-2016/Hamburger-SV-Stats,Hamburger SV,28,27.1,48.7,34,374,"3,060",34.0,37,26,63,34,3,3,75,0,1.09,0.76,1.85,1.00,1.76,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
60b5e41f,/en/squads/60b5e41f/2015-2016/Hannover-96-Stats,Hannover 96,33,25.6,45.9,34,374,"3,060",34.0,30,21,51,28,2,3,66,0,0.88,0.62,1.50,0.82,1.44,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
2818f8bc,/en/squads/2818f8bc/2015-2016/Hertha-BSC-Stats,Hertha BSC,26,26.1,49.7,34,374,"3,060",34.0,41,31,72,38,3,3,71,0,1.21,0.91,2.12,1.12,2.03,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
033ea6b8,/en/squads/033ea6b8/2015-2016/Hoffenheim-Stats,Hoffenheim,26,24.1,46.1,34,374,"3,060",34.0,39,26,65,36,3,6,63,0,1.15,0.76,1.91,1.06,1.82,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
12eb2039,/en/squads/12eb2039/2015-2016/Ingolstadt-04-Stats,Ingolstadt 04,25,26.3,45.2,34,374,"3,060",34.0,33,20,53,24,9,10,83,0,0.97,0.59,1.56,0.71,1.29,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
bc357bf7,/en/squads/bc357bf7/2015-2016/Koln-Stats,Köln,23,25.1,45.2,34,374,"3,060",34.0,38,30,68,35,3,4,56,0,1.12,0.88,2.00,1.03,1.91,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
c7a9f859,/en/squads/c7a9f859/2015-2016/Bayer-Leverkusen-Stats,Leverkusen,27,24.1,53.1,34,374,"3,060",34.0,51,36,87,49,2,3,70,0,1.50,1.06,2.56,1.44,2.50,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
a224b06a,/en/squads/a224b06a/2015-2016/Mainz-05-Stats,Mainz 05,29,25.0,46.1,34,374,"3,060",34.0,46,31,77,45,1,1,54,0,1.35,0.91,2.26,1.32,2.24,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
c539e393,/en/squads/c539e393/2015-2016/Schalke-04-Stats,Schalke 04,28,24.9,52.2,34,374,"3,060",34.0,47,37,84,44,3,5,64,0,1.38,1.09,2.47,1.29,2.38,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
598bc722,/en/squads/598bc722/2015-2016/Stuttgart-Stats,Stuttgart,31,26.0,47.9,34,374,"3,060",34.0,48,34,82,44,4,4,72,0,1.41,1.00,2.41,1.29,2.29,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
62add3bf,/en/squads/62add3bf/2015-2016/Werder-Bremen-Stats,Werder Bremen,30,26.6,44.9,34,374,"3,060",34.0,49,32,81,43,6,9,80,0,1.44,0.94,2.38,1.26,2.21,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
4eaa11d7,/en/squads/4eaa11d7/2015-2016/Wolfsburg-Stats,Wolfsburg,29,27.0,57.6,34,374,"3,060",34.0,46,39,85,43,3,3,59,0,1.35,1.15,2.50,1.26,2.41,20,2015-2016,50e73d4e-c460-4100-bec9-0190bc7585d6
