team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2019-2020/Augsburg-Stats,Augsburg,28,26.2,38.6,34,374,"3,060",34.0,45,29,74,42,3,5,68,2,43.1,39.1,29.7,68.8,411,815,1.32,0.85,2.18,1.24,2.09,1.27,0.87,2.14,1.15,2.02,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
054efa67,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats,Bayern Munich,29,26.7,65.1,34,374,"3,060",34.0,97,75,172,91,6,6,54,3,89.5,84.8,73.1,157.9,930,2300,2.85,2.21,5.06,2.68,4.88,2.63,2.15,4.78,2.49,4.64,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
add600ae,/en/squads/add600ae/2019-2020/Dortmund-Stats,Dortmund,27,25.8,60.4,34,374,"3,060",34.0,84,74,158,82,2,2,49,1,61.0,59.5,50.6,110.1,792,1736,2.47,2.18,4.65,2.41,4.59,1.80,1.49,3.28,1.75,3.24,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
b1278397,/en/squads/b1278397/2019-2020/Dusseldorf-Stats,Düsseldorf,28,27.1,45.6,34,374,"3,060",34.0,36,26,62,32,4,4,78,0,35.9,32.7,24.2,56.9,487,1268,1.06,0.76,1.82,0.94,1.71,1.06,0.71,1.77,0.96,1.67,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
f0ac8ee6,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats,Eint Frankfurt,27,27.0,50.9,34,374,"3,060",34.0,57,45,102,55,2,2,71,4,59.5,58.0,44.8,102.8,677,1389,1.68,1.32,3.00,1.62,2.94,1.75,1.32,3.07,1.71,3.02,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
a486e511,/en/squads/a486e511/2019-2020/Freiburg-Stats,Freiburg,26,26.4,48.1,34,374,"3,060",34.0,46,27,73,41,5,6,43,2,46.7,42.0,33.0,75.0,537,1128,1.35,0.79,2.15,1.21,2.00,1.37,0.97,2.34,1.24,2.21,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
32f3ee20,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats,Gladbach,25,26.3,52.4,34,374,"3,060",34.0,64,53,117,60,4,6,77,3,72.0,67.2,53.6,120.8,650,1305,1.88,1.56,3.44,1.76,3.32,2.12,1.58,3.69,1.98,3.55,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
2818f8bc,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats,Hertha BSC,32,26.2,44.7,34,374,"3,060",34.0,45,35,80,42,3,3,78,4,43.1,40.7,32.7,73.4,546,1073,1.32,1.03,2.35,1.24,2.26,1.27,0.96,2.23,1.20,2.16,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
033ea6b8,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats,Hoffenheim,31,26.0,51.6,34,374,"3,060",34.0,52,36,88,49,3,4,66,2,56.1,53.0,40.2,93.2,598,1261,1.53,1.06,2.59,1.44,2.50,1.65,1.18,2.83,1.56,2.74,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
bc357bf7,/en/squads/bc357bf7/2019-2020/Koln-Stats,Köln,29,25.6,46.7,34,374,"3,060",34.0,50,38,88,48,2,4,79,4,48.9,46.3,35.6,81.9,494,1158,1.47,1.12,2.59,1.41,2.53,1.44,1.05,2.49,1.36,2.41,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
c7a9f859,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats,Leverkusen,24,26.1,63.2,34,374,"3,060",34.0,57,48,105,55,2,2,61,6,59.1,57.5,48.6,106.1,761,1471,1.68,1.41,3.09,1.62,3.03,1.74,1.43,3.17,1.69,3.12,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
a224b06a,/en/squads/a224b06a/2019-2020/Mainz-05-Stats,Mainz 05,25,24.6,43.2,34,374,"3,060",34.0,42,34,76,39,3,3,75,3,48.2,45.8,37.4,83.2,524,1146,1.24,1.00,2.24,1.15,2.15,1.42,1.10,2.52,1.35,2.45,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
d9f93f02,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats,Paderborn 07,27,25.7,45.9,34,374,"3,060",34.0,37,26,63,35,2,4,84,3,39.2,36.1,26.8,62.9,682,1009,1.09,0.76,1.85,1.03,1.79,1.15,0.79,1.94,1.06,1.85,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
acbb6a5b,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats,RB Leipzig,29,24.2,55.3,34,374,"3,060",34.0,81,58,139,76,5,5,53,3,71.3,67.6,54.4,122.0,759,1700,2.38,1.71,4.09,2.24,3.94,2.10,1.60,3.70,1.99,3.59,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
c539e393,/en/squads/c539e393/2019-2020/Schalke-04-Stats,Schalke 04,29,24.6,49.0,34,374,"3,060",34.0,35,25,60,33,2,2,64,2,37.8,36.2,25.5,61.7,603,1201,1.03,0.74,1.76,0.97,1.71,1.11,0.75,1.86,1.07,1.82,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
7a41008f,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats,Union Berlin,26,27.7,41.9,34,374,"3,060",34.0,38,27,65,34,4,5,71,5,41.4,37.6,28.0,65.7,387,944,1.12,0.79,1.91,1.00,1.79,1.22,0.82,2.04,1.11,1.93,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
62add3bf,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats,Werder Bremen,30,26.7,48.8,34,374,"3,060",34.0,40,30,70,37,3,6,80,4,39.4,34.7,25.8,60.5,509,1309,1.18,0.88,2.06,1.09,1.97,1.16,0.76,1.92,1.02,1.78,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
4eaa11d7,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats,Wolfsburg,26,26.0,48.4,34,374,"3,060",34.0,48,33,81,44,4,4,71,4,52.8,49.7,37.9,87.6,620,1247,1.41,0.97,2.38,1.29,2.26,1.55,1.11,2.67,1.46,2.58,20,2019-2020,5f036bdc-0b84-4150-aa57-52fb3ab22248
