rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,e334d850,/en/squads/e334d850/2017-2018/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,17,15,2,0,44,9,+35,47,2.76,17,11,3,3,43,30,+13,36,2.12,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
2,19c3f8c4,/en/squads/19c3f8c4/2017-2018/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,17,14,1,2,45,12,+33,43,2.53,17,11,3,3,44,21,+23,36,2.12,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
3,3986b791,/en/squads/3986b791/2017-2018/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,17,11,2,4,40,23,+17,35,2.06,17,11,3,3,32,15,+17,36,2.12,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
4,fb4ca611,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,17,11,3,3,37,17,+20,36,2.12,17,9,3,5,39,22,+17,30,1.76,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
5,2a428619,/en/squads/2a428619/2017-2018/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,17,9,7,1,32,21,+11,34,2.00,17,5,5,7,26,32,-6,20,1.18,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
6,209d7fa2,/en/squads/209d7fa2/2017-2018/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,17,7,6,4,35,20,+15,27,1.59,17,6,4,7,28,27,+1,22,1.29,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
7,4e7459b7,/en/squads/4e7459b7/2017-2018/ADO-Den-Haag-Stats,ADO Den Haag,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4e7459b7.png,17,7,4,6,26,27,-1,25,1.47,17,6,4,7,19,26,-7,22,1.29,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
8,193ff7aa,/en/squads/193ff7aa/2017-2018/Heerenveen-Stats,Heerenveen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.193ff7aa.png,17,6,5,6,21,24,-3,23,1.35,17,6,5,6,27,29,-2,23,1.35,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
9,e3db180b,/en/squads/e3db180b/2017-2018/Zwolle-Stats,Zwolle,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e3db180b.png,17,8,4,5,27,20,+7,28,1.65,17,4,4,9,15,34,-19,16,0.94,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
10,c882b88e,/en/squads/c882b88e/2017-2018/Heracles-Almelo-Stats,Heracles Almelo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c882b88e.png,17,9,4,4,29,25,+4,31,1.82,17,2,5,10,21,39,-18,11,0.65,23,2017-2018,0fc9f60a-bb15-4855-a3e2-2c9b05aec9e6
