rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,e334d850,/en/squads/e334d850/2017-2018/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,34,26,5,3,87,39,+48,83,2.44,"33,344",Hirving Lozano-17,Jeroen Zoet,→ Champions League via league finish,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
2,19c3f8c4,/en/squads/19c3f8c4/2017-2018/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,34,25,4,5,89,33,+56,79,2.32,"50,996",David Neres-14,André Onana,→ Champions League via league finish,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
3,3986b791,/en/squads/3986b791/2017-2018/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,34,22,5,7,72,38,+34,71,2.09,"14,531",Alireza Jahanbakhsh-21,Marco Bizot,→ Europa League via league finish,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
4,fb4ca611,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,34,20,6,8,76,39,+37,66,1.94,"45,588",Steven Berghuis-18,Brad Jones,→ Europa League via cup win1,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
5,2a428619,/en/squads/2a428619/2017-2018/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,34,14,12,8,58,53,+5,54,1.59,"20,755",Zakaria Labyad-12,David Jensen,→ European competition qualification play-offs — Semi-finals,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
6,209d7fa2,/en/squads/209d7fa2/2017-2018/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,34,13,10,11,63,47,+16,49,1.44,"17,716",Bryan Linssen-15,Remko Pasveer,"→ Europa League via playoff win, → European competition qualification play-offs — Semi-finals",23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
7,4e7459b7,/en/squads/4e7459b7/2017-2018/ADO-Den-Haag-Stats,ADO Den Haag,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4e7459b7.png,34,13,8,13,45,53,-8,47,1.38,"12,239",Bjørn Johnsen-19,Robert Zwinkels,→ European competition qualification play-offs — Semi-finals,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
8,193ff7aa,/en/squads/193ff7aa/2017-2018/Heerenveen-Stats,Heerenveen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.193ff7aa.png,34,12,10,12,48,53,-5,46,1.35,"21,536",Reza Ghoochannejad-8,Martin Hansen,→ European competition qualification play-offs — Semi-finals,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
9,e3db180b,/en/squads/e3db180b/2017-2018/Zwolle-Stats,Zwolle,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e3db180b.png,34,12,8,14,42,54,-12,44,1.29,"13,049",Mustafa Saymak-11,Diederik Boer,,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
10,c882b88e,/en/squads/c882b88e/2017-2018/Heracles-Almelo-Stats,Heracles Almelo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c882b88e.png,34,11,9,14,50,64,-14,42,1.24,"10,580","Reuven Niemeijer,Vincent Vermeij-8",Bram Castro,,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
11,740cb7d4,/en/squads/740cb7d4/2017-2018/Excelsior-Stats,Excelsior,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.740cb7d4.png,34,11,7,16,41,56,-15,40,1.18,"4,201",Mike van Duinen-8,Theo Zwarthoed,,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
12,bec05adb,/en/squads/bec05adb/2017-2018/Groningen-Stats,Groningen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bec05adb.png,34,8,14,12,50,50,0,38,1.12,"18,613",Tom van Weert-12,Sergio Padt,,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
13,f0479d7b,/en/squads/f0479d7b/2017-2018/Willem-II-Stats,Willem II,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f0479d7b.png,34,10,7,17,50,63,-13,37,1.09,"12,512",Fran Sol-16,Mattijs Branderhorst,,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
14,8ed04be8,/en/squads/8ed04be8/2017-2018/NAC-Breda-Stats,NAC Breda,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8ed04be8.png,34,9,7,18,41,57,-16,34,1.00,"18,404",Thierry Ambrose-10,Nigel Bertrams,,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
15,534ac6d0,/en/squads/534ac6d0/2017-2018/VVV-Venlo-Stats,VVV-Venlo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.534ac6d0.png,34,7,13,14,35,54,-19,34,1.00,"6,805",Clint Leemans-10,Lars Unnerstall,,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
16,45b403c3,/en/squads/45b403c3/2017-2018/Roda-JC-Kerkrade-Stats,Roda JC,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.45b403c3.png,34,8,6,20,42,69,-27,30,0.88,"12,613","Simon Gustafson,Dani Schahin-10",Hidde Jurjus,→ Second round,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
17,146a68ce,/en/squads/146a68ce/2017-2018/Sparta-Rotterdam-Stats,Sparta R'dam,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.146a68ce.png,34,7,6,21,34,75,-41,27,0.79,"10,182",Robert Mühren-7,Roy Kortsmit,→ Second round,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
18,a1f721d3,/en/squads/a1f721d3/2017-2018/Twente-Stats,Twente,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a1f721d3.png,34,5,9,20,37,63,-26,24,0.71,"25,035",Oussama Assaidi-6,Joel Drommel,Relegated,23,2017-2018,f81dfe7d-d678-444f-b946-7dd81a09a634
