rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,19c3f8c4,/en/squads/19c3f8c4/2021-2022/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,17,14,1,2,62,8,+54,43,2.53,57.1,11.3,+45.8,+2.70,17,12,4,1,36,11,+25,40,2.35,37.2,17.5,+19.7,+1.16,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
2,e334d850,/en/squads/e334d850/2021-2022/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,17,14,0,3,49,22,+27,42,2.47,35.9,17.8,+18.1,+1.06,17,12,3,2,37,20,+17,39,2.29,38.9,20.3,+18.7,+1.10,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
3,fb4ca611,/en/squads/fb4ca611/2021-2022/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,17,11,3,3,39,17,+22,36,2.12,39.5,15.0,+24.5,+1.44,17,11,2,4,37,17,+20,35,2.06,32.9,19.3,+13.6,+0.80,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
4,a1f721d3,/en/squads/a1f721d3/2021-2022/Twente-Stats,Twente,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a1f721d3.png,17,10,5,2,28,13,+15,35,2.06,32.0,14.5,+17.5,+1.03,17,10,3,4,27,24,+3,33,1.94,21.7,25.5,-3.8,-0.22,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
5,3986b791,/en/squads/3986b791/2021-2022/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,17,11,3,3,36,20,+16,36,2.12,31.3,17.7,+13.5,+0.80,17,7,4,6,28,24,+4,25,1.47,26.4,24.2,+2.2,+0.13,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
6,209d7fa2,/en/squads/209d7fa2/2021-2022/Vitesse-Stats,Vitesse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.209d7fa2.png,17,6,3,8,20,29,-9,21,1.24,28.9,24.7,+4.1,+0.24,17,9,3,5,22,22,0,30,1.76,19.9,23.7,-3.7,-0.22,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
7,2a428619,/en/squads/2a428619/2021-2022/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,17,8,6,3,32,20,+12,30,1.76,38.9,19.6,+19.3,+1.14,17,4,5,8,19,26,-7,17,1.00,22.7,24.3,-1.7,-0.10,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
8,193ff7aa,/en/squads/193ff7aa/2021-2022/Heerenveen-Stats,Heerenveen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.193ff7aa.png,17,6,3,8,23,26,-3,21,1.24,24.0,23.3,+0.7,+0.04,17,5,5,7,14,24,-10,20,1.18,20.6,28.0,-7.4,-0.44,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
9,5c9e307a,/en/squads/5c9e307a/2021-2022/Cambuur-Stats,Cambuur,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5c9e307a.png,17,5,3,9,29,35,-6,18,1.06,23.4,30.5,-7.2,-0.42,17,6,3,8,24,35,-11,21,1.24,17.4,35.7,-18.3,-1.07,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
10,bb14adb3,/en/squads/bb14adb3/2021-2022/RKC-Waalwijk-Stats,RKC Waalwijk,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.bb14adb3.png,17,6,3,8,17,25,-8,21,1.24,20.7,30.2,-9.4,-0.56,17,3,8,6,23,26,-3,17,1.00,17.5,35.8,-18.3,-1.08,23,2021-2022,6a87f5d1-0858-4426-8df4-2f14ee4f3b37
