rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,e334d850,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats,PSV Eindhoven,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e334d850.png,34,25,4,5,103,39,+64,79,2.32,83.0,32.6,+50.4,+1.48,"34,083",Luuk de Jong-14,Walter Benítez,→ Champions League via league finish,23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
2,19c3f8c4,/en/squads/19c3f8c4/2024-2025/Ajax-Stats,Ajax,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19c3f8c4.png,34,24,6,4,67,32,+35,78,2.29,64.7,31.5,+33.2,+0.98,"54,130",Wout Weghorst-10,Remko Pasveer,→ Champions League via league finish,23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
3,squads,/en/squads/fb4ca611/Feyenoord-Stats,Feyenoord,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb4ca611.png,34,20,8,6,76,38,+38,68,2.00,61.4,35.2,+26.2,+0.77,"47,235",Igor Paixão-16,Timon Wellenreuther,→ Champions League via league finish,23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
4,2a428619,/en/squads/2a428619/2024-2025/Utrecht-Stats,Utrecht,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a428619.png,34,18,10,6,62,45,+17,64,1.88,49.3,43.7,+5.6,+0.17,"20,658",Paxten Aaronson-8,Vasilios Barkas,→ Europa League via league finish,23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
5,3986b791,/en/squads/3986b791/2024-2025/AZ-Alkmaar-Stats,AZ Alkmaar,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3986b791.png,34,16,9,9,58,37,+21,57,1.68,54.6,34.2,+20.4,+0.60,"19,458",Troy Parrott-14,Rome-Jayden Owusu-Oduro,"→ Conference League via playoff win, → European competition qualification play-offs — Semi-finals",23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
6,squads,/en/squads/a1f721d3/Twente-Stats,Twente,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a1f721d3.png,34,15,9,10,62,49,+13,54,1.59,54.9,43.9,+11.1,+0.33,"31,250",Sem Steijn-24,Lars Unnerstall,→ European competition qualification play-offs — Semi-finals,23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
7,squads,/en/squads/e33d6108/Go-Ahead-Eagles-Stats,Go Ahead Eag,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e33d6108.png,34,14,9,11,57,55,+2,51,1.50,54.4,45.6,+8.8,+0.26,"9,837",Jakob Breum-10,Luca Plogmann,"→ Europa League via cup win, → European competition qualification play-offs — Semi-finals",23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
8,squads,/en/squads/fc629994/NEC-Nijmegen-Stats,NEC Nijmegen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc629994.png,34,12,7,15,51,46,+5,43,1.26,44.7,43.9,+0.8,+0.02,"12,599",Vito van Crooy-9,Robin Roefs,→ European competition qualification play-offs — Semi-finals,23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
9,squads,/en/squads/193ff7aa/Heerenveen-Stats,Heerenveen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.193ff7aa.png,34,12,7,15,42,57,-15,43,1.26,43.3,48.5,-5.2,-0.15,"23,389",Ion Nicolaescu-8,Mickey van der Hart,,23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
10,squads,/en/squads/e3db180b/Zwolle-Stats,Zwolle,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e3db180b.png,34,10,11,13,43,51,-8,41,1.21,39.0,56.8,-17.8,-0.52,"13,763",Dylan Vente-13,Jasper Schendelaar,,23,2024-2025,580f1c6c-c72d-43b1-a9cc-d64f89278c17
