team_id,team_url,team,players_used_away,minutes_90s_away,tackles_away,tackles_won_away,tackles_def_3rd_away,tackles_mid_3rd_away,tackles_att_3rd_away,challenge_tackles_away,challenges_away,challenge_tackles_pct_away,challenges_lost_away,blocks_away,blocked_shots_away,blocked_passes_away,interceptions_away,tackles_interceptions_away,clearances_away,errors_away,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2021-2022/Ajax-Stats,vs Ajax,30,34.0,609,365,339,208,62,257,657,39.1,400,481,174,307,437,1046,937,15,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
3986b791,/en/squads/3986b791/2021-2022/AZ-Alkmaar-Stats,vs AZ Alkmaar,28,34.0,565,344,258,236,71,239,547,43.7,308,391,107,284,373,938,617,11,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
5c9e307a,/en/squads/5c9e307a/2021-2022/Cambuur-Stats,vs Cambuur,27,34.0,485,309,208,208,69,219,486,45.1,267,294,73,221,292,777,458,12,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
fb4ca611,/en/squads/fb4ca611/2021-2022/Feyenoord-Stats,vs Feyenoord,31,34.0,583,332,327,182,74,250,712,35.1,462,446,168,278,446,1029,854,15,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
bd08295c,/en/squads/bd08295c/2021-2022/Fortuna-Sittard-Stats,vs Fortuna Sittard,29,34.0,511,309,205,225,81,247,576,42.9,329,304,75,229,250,761,549,8,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
e33d6108,/en/squads/e33d6108/2021-2022/Go-Ahead-Eagles-Stats,vs Go Ahead Eag,26,34.0,585,342,258,228,99,245,530,46.2,285,393,81,312,333,918,550,10,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
bec05adb,/en/squads/bec05adb/2021-2022/Groningen-Stats,vs Groningen,28,34.0,498,298,237,194,67,235,486,48.4,251,292,91,201,282,780,717,10,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
193ff7aa,/en/squads/193ff7aa/2021-2022/Heerenveen-Stats,vs Heerenveen,32,34.0,550,321,254,208,88,253,552,45.8,299,326,87,239,360,910,649,9,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
c882b88e,/en/squads/c882b88e/2021-2022/Heracles-Almelo-Stats,vs Heracles Almelo,31,34.0,632,363,265,275,92,288,671,42.9,383,401,129,272,332,964,628,12,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
fc629994,/en/squads/fc629994/2021-2022/NEC-Nijmegen-Stats,vs NEC Nijmegen,25,34.0,688,405,283,295,110,302,681,44.3,379,392,121,271,381,1069,510,22,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
e334d850,/en/squads/e334d850/2021-2022/PSV-Eindhoven-Stats,vs PSV Eindhoven,30,34.0,695,418,372,256,67,348,770,45.2,422,488,165,323,503,1198,734,11,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
bb14adb3,/en/squads/bb14adb3/2021-2022/RKC-Waalwijk-Stats,vs RKC Waalwijk,26,34.0,599,352,268,241,90,283,571,49.6,288,379,99,280,369,968,557,13,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
146a68ce,/en/squads/146a68ce/2021-2022/Sparta-Rotterdam-Stats,vs Sparta R'dam,32,34.0,473,274,219,192,62,226,453,49.9,227,315,84,231,359,832,588,6,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
a1f721d3,/en/squads/a1f721d3/2021-2022/Twente-Stats,vs Twente,28,34.0,554,337,291,202,61,296,593,49.9,297,352,107,245,426,980,607,18,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
2a428619,/en/squads/2a428619/2021-2022/Utrecht-Stats,vs Utrecht,36,34.0,632,350,291,264,77,314,599,52.4,285,449,131,318,378,1010,778,8,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
209d7fa2,/en/squads/209d7fa2/2021-2022/Vitesse-Stats,vs Vitesse,29,34.0,598,349,280,238,80,264,565,46.7,301,395,117,278,383,981,700,14,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
f0479d7b,/en/squads/f0479d7b/2021-2022/Willem-II-Stats,vs Willem II,33,34.0,586,344,278,254,54,278,627,44.3,349,331,86,245,323,909,658,11,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
e3db180b,/en/squads/e3db180b/2021-2022/Zwolle-Stats,vs Zwolle,32,34.0,624,338,308,254,62,288,582,49.5,294,412,112,300,374,998,699,9,23,2021-2022,deaaa4b5-8c1c-4ad8-9806-dc2751ba7510
