team_id,team_url,team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2022-2023/Ajax-Stats,Ajax,30,34.0,1120,32.94,840,110,45,83,35,7,148,4.35,116,6,6,13,6,1,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
3986b791,/en/squads/3986b791/2022-2023/AZ-Alkmaar-Stats,AZ Alkmaar,29,34.0,918,27.00,717,57,56,38,28,22,114,3.35,88,4,7,7,3,5,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
5c9e307a,/en/squads/5c9e307a/2022-2023/Cambuur-Stats,Cambuur,31,34.0,669,19.68,517,56,25,30,25,16,45,1.32,36,2,1,2,1,3,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
01888db1,/en/squads/01888db1/2022-2023/Emmen-Stats,Emmen,30,34.0,633,18.62,465,40,36,42,36,14,55,1.62,38,4,3,5,5,0,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
740cb7d4,/en/squads/740cb7d4/2022-2023/Excelsior-Stats,Excelsior,28,34.0,578,17.00,403,65,27,42,35,6,51,1.50,33,8,1,5,3,1,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
fb4ca611,/en/squads/fb4ca611/2022-2023/Feyenoord-Stats,Feyenoord,30,34.0,1221,35.91,926,105,59,61,50,20,133,3.91,105,3,8,9,6,2,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
bd08295c,/en/squads/bd08295c/2022-2023/Fortuna-Sittard-Stats,Fortuna Sittard,28,34.0,666,19.59,450,81,40,45,43,7,66,1.94,33,6,8,9,10,0,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
e33d6108,/en/squads/e33d6108/2022-2023/Go-Ahead-Eagles-Stats,Go Ahead Eag,27,34.0,756,22.24,549,72,32,59,33,11,77,2.26,53,4,2,12,5,1,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
bec05adb,/en/squads/bec05adb/2022-2023/Groningen-Stats,Groningen,36,34.0,647,19.03,486,37,45,36,29,14,50,1.47,38,1,3,6,2,0,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
193ff7aa,/en/squads/193ff7aa/2022-2023/Heerenveen-Stats,Heerenveen,26,34.0,792,23.29,593,61,42,48,36,12,74,2.18,51,6,6,9,2,0,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
fc629994,/en/squads/fc629994/2022-2023/NEC-Nijmegen-Stats,NEC Nijmegen,22,34.0,824,24.24,564,77,69,47,61,6,76,2.24,56,3,6,4,7,0,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
e334d850,/en/squads/e334d850/2022-2023/PSV-Eindhoven-Stats,PSV Eindhoven,32,34.0,1091,32.09,801,103,58,81,38,10,147,4.32,101,8,11,19,6,2,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
bb14adb3,/en/squads/bb14adb3/2022-2023/RKC-Waalwijk-Stats,RKC Waalwijk,27,34.0,671,19.74,514,43,43,31,27,13,88,2.59,69,4,6,5,4,0,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
146a68ce,/en/squads/146a68ce/2022-2023/Sparta-Rotterdam-Stats,Sparta R'dam,30,34.0,747,21.97,527,76,41,43,47,13,110,3.24,68,10,14,10,7,1,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
a1f721d3,/en/squads/a1f721d3/2022-2023/Twente-Stats,Twente,26,34.0,1054,31.00,822,79,41,62,42,8,112,3.29,83,11,3,9,6,0,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
2a428619,/en/squads/2a428619/2022-2023/Utrecht-Stats,Utrecht,33,34.0,747,21.97,552,79,33,51,27,5,89,2.62,58,10,6,10,3,2,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
209d7fa2,/en/squads/209d7fa2/2022-2023/Vitesse-Stats,Vitesse,30,34.0,870,25.59,582,102,46,78,50,12,71,2.09,44,5,6,9,5,2,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
8783f4ee,/en/squads/8783f4ee/2022-2023/Volendam-Stats,Volendam,31,34.0,719,21.15,497,78,55,43,30,16,73,2.15,41,12,8,4,6,2,23,2022-2023,4b2134f9-df27-4667-80f3-eb30d606c72a
