team_id,team_url,team,players_used_away,minutes_90s_away,gk_goals_against_away,gk_pens_allowed_away,gk_free_kick_goals_against_away,gk_corner_kick_goals_against_away,gk_own_goals_against_away,gk_psxg_away,gk_psnpxg_per_shot_on_target_against_away,gk_psxg_net_away,gk_psxg_net_per90_away,gk_passes_completed_launched_away,gk_passes_launched_away,gk_passes_pct_launched_away,gk_passes_away,gk_passes_throws_away,gk_pct_passes_launched_away,gk_passes_length_avg_away,gk_goal_kicks_away,gk_pct_goal_kicks_launched_away,gk_goal_kick_length_avg_away,gk_crosses_away,gk_crosses_stopped_away,gk_crosses_stopped_pct_away,gk_def_actions_outside_pen_area_away,gk_def_actions_outside_pen_area_per90_away,gk_avg_distance_def_actions_away,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2023-2024/Ajax-Stats,vs Ajax,3,34.0,74,5,0,5,2,72.8,0.32,+0.8,+0.02,162,493,32.9,918,157,39.4,35.7,259,50.6,42.3,470,29,6.2,37,1.09,13.4,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
2b41acb5,/en/squads/2b41acb5/2023-2024/Almere-City-Stats,vs Almere City,2,34.0,33,3,0,3,1,33.8,0.28,+1.8,+0.05,301,820,36.7,1241,147,54.6,41.5,278,51.1,41.2,442,29,6.6,34,1.00,14.5,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
3986b791,/en/squads/3986b791/2023-2024/AZ-Alkmaar-Stats,vs AZ Alkmaar,3,34.0,70,2,1,8,2,63.4,0.35,-4.6,-0.14,248,651,38.1,1179,134,41.6,36.8,289,55.4,44.5,441,33,7.5,33,0.97,13.3,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
740cb7d4,/en/squads/740cb7d4/2023-2024/Excelsior-Stats,vs Excelsior,1,34.0,50,1,1,9,2,45.7,0.33,-2.3,-0.07,173,455,38.0,931,160,37.4,35.5,230,46.5,39.2,453,44,9.7,51,1.50,14.8,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
fb4ca611,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats,vs Feyenoord,2,34.0,92,4,1,14,2,85.8,0.32,-4.2,-0.12,250,752,33.2,1168,172,47.2,38.7,364,55.2,44.2,521,23,4.4,25,0.74,12.7,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
bd08295c,/en/squads/bd08295c/2023-2024/Fortuna-Sittard-Stats,vs Fortuna Sittard,4,34.0,37,3,0,6,1,42.0,0.24,+6.0,+0.18,188,596,31.5,953,173,44.2,38.0,321,54.5,43.7,539,30,5.6,41,1.21,14.7,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
e33d6108,/en/squads/e33d6108/2023-2024/Go-Ahead-Eagles-Stats,vs Go Ahead Eag,1,34.0,47,4,2,5,0,52.0,0.25,+5.0,+0.15,217,599,36.2,1181,182,39.8,36.2,271,47.6,39.9,480,36,7.5,35,1.03,13.6,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
193ff7aa,/en/squads/193ff7aa/2023-2024/Heerenveen-Stats,vs Heerenveen,2,34.0,53,7,0,5,1,49.3,0.27,-2.7,-0.08,223,581,38.4,1000,110,44.9,38.1,286,46.2,39.4,495,23,4.6,31,0.91,15.2,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
c882b88e,/en/squads/c882b88e/2023-2024/Heracles-Almelo-Stats,vs Heracles Almelo,1,34.0,41,5,0,6,0,40.6,0.29,-0.4,-0.01,163,443,36.8,866,139,34.3,33.9,245,59.6,46.9,477,45,9.4,48,1.41,15.7,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
fc629994,/en/squads/fc629994/2023-2024/NEC-Nijmegen-Stats,vs NEC Nijmegen,2,34.0,68,6,3,5,1,66.4,0.32,-0.6,-0.02,221,544,40.6,1075,146,40.1,36.1,239,47.3,39.6,455,28,6.2,30,0.88,14.0,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
e334d850,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats,vs PSV Eindhoven,3,34.0,111,7,0,14,3,100.0,0.32,-8.0,-0.24,310,874,35.5,1129,149,53.4,40.5,399,67.9,49.5,637,32,5.0,33,0.97,13.7,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
bb14adb3,/en/squads/bb14adb3/2023-2024/RKC-Waalwijk-Stats,vs RKC Waalwijk,3,34.0,38,5,0,2,1,40.8,0.25,+3.8,+0.11,228,606,37.6,1077,166,44.8,37.2,248,49.6,39.9,459,39,8.5,64,1.88,16.4,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
146a68ce,/en/squads/146a68ce/2023-2024/Sparta-Rotterdam-Stats,vs Sparta R'dam,1,34.0,51,5,0,6,2,52.2,0.28,+3.2,+0.10,213,572,37.2,953,168,47.5,39.5,237,50.2,40.0,530,33,6.2,34,1.00,13.8,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
a1f721d3,/en/squads/a1f721d3/2023-2024/Twente-Stats,vs Twente,2,34.0,69,3,1,11,2,57.5,0.33,-9.5,-0.28,260,722,36.0,1166,150,46.5,38.0,313,57.5,44.9,592,37,6.3,47,1.38,13.8,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
2a428619,/en/squads/2a428619/2023-2024/Utrecht-Stats,vs Utrecht,2,34.0,49,1,0,8,1,44.7,0.29,-3.3,-0.10,229,676,33.9,1273,173,40.8,35.9,290,53.8,43.4,626,50,8.0,38,1.12,13.4,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
209d7fa2,/en/squads/209d7fa2/2023-2024/Vitesse-Stats,vs Vitesse,1,34.0,30,1,0,2,1,37.9,0.26,+8.9,+0.26,158,545,29.0,946,139,44.1,37.7,267,47.9,40.5,457,29,6.3,32,0.94,14.1,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
8783f4ee,/en/squads/8783f4ee/2023-2024/Volendam-Stats,vs Volendam,3,34.0,34,1,1,6,1,35.3,0.30,+2.3,+0.07,171,464,36.9,1038,142,33.5,34.1,266,43.6,37.9,430,36,8.4,56,1.65,16.6,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
e3db180b,/en/squads/e3db180b/2023-2024/Zwolle-Stats,vs Zwolle,2,34.0,45,2,1,3,0,45.0,0.27,0.0,0.00,203,580,35.0,1071,163,42.4,37.2,243,51.9,43.3,430,23,5.3,33,0.97,14.0,23,2023-2024,66f48f1c-4912-4dec-a3de-af53527a673d
