team_id,team_url,team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,competition_id,season_id,id
4e7459b7,/en/squads/4e7459b7/2018-2019/ADO-Den-Haag-Stats,ADO Den Haag,3,34.0,63,7,1,5,1,61.3,0.30,-0.7,-0.02,332,796,41.7,965,187,53.5,41.5,343,81.6,55.2,569,31,5.4,32,0.94,13.8,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
19c3f8c4,/en/squads/19c3f8c4/2018-2019/Ajax-Stats,Ajax,2,34.0,32,1,1,3,2,30.1,0.24,+0.1,0.00,91,265,34.3,785,135,23.2,27.9,198,41.9,40.4,320,20,6.3,41,1.21,15.6,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
3986b791,/en/squads/3986b791/2018-2019/AZ-Alkmaar-Stats,AZ Alkmaar,1,34.0,43,2,0,7,4,43.7,0.29,+4.7,+0.14,149,470,31.7,902,184,38.5,34.9,223,55.2,46.0,416,18,4.3,58,1.71,16.5,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
c6f58d53,/en/squads/c6f58d53/2018-2019/De-Graafschap-Stats,De Graafschap,3,34.0,75,4,2,7,2,68.6,0.29,-4.4,-0.13,315,848,37.1,956,106,58.8,42.5,334,85.6,58.6,444,9,2.0,41,1.21,16.9,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
01888db1,/en/squads/01888db1/2018-2019/Emmen-Stats,Emmen,2,34.0,72,3,3,8,3,59.3,0.32,-9.7,-0.28,274,707,38.8,864,170,52.5,40.3,307,82.4,57.4,527,36,6.8,41,1.21,15.1,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
740cb7d4,/en/squads/740cb7d4/2018-2019/Excelsior-Stats,Excelsior,2,34.0,79,3,1,7,3,67.2,0.29,-8.8,-0.26,221,588,37.6,839,175,37.7,35.9,389,69.9,49.4,678,26,3.8,21,0.62,10.1,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
fb4ca611,/en/squads/fb4ca611/2018-2019/Feyenoord-Stats,Feyenoord,3,34.0,41,2,4,2,2,41.5,0.26,+2.5,+0.07,158,417,37.9,843,191,31.8,32.6,253,58.9,46.9,425,18,4.2,25,0.74,12.1,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
bd08295c,/en/squads/bd08295c/2018-2019/Fortuna-Sittard-Stats,Fortuna Sittard,1,34.0,80,8,1,5,2,64.5,0.28,-13.5,-0.40,273,731,37.3,854,170,56.6,41.9,289,85.8,58.1,590,33,5.6,59,1.74,14.5,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
bec05adb,/en/squads/bec05adb/2018-2019/Groningen-Stats,Groningen,1,34.0,41,2,1,4,0,41.7,0.30,+0.7,+0.02,267,791,33.8,982,144,57.0,42.0,292,79.1,58.1,441,21,4.8,83,2.44,17.2,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
193ff7aa,/en/squads/193ff7aa/2018-2019/Heerenveen-Stats,Heerenveen,1,34.0,73,5,3,12,2,63.1,0.30,-7.9,-0.23,220,620,35.5,879,161,45.3,37.8,312,71.2,53.8,497,20,4.0,18,0.53,11.8,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
c882b88e,/en/squads/c882b88e/2018-2019/Heracles-Almelo-Stats,Heracles Almelo,2,34.0,68,12,0,12,3,67.9,0.27,+2.9,+0.09,204,562,36.3,935,177,40.6,43.9,295,61.7,47.5,522,21,4.0,31,0.91,12.2,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
8ed04be8,/en/squads/8ed04be8/2018-2019/NAC-Breda-Stats,NAC Breda,4,34.0,74,5,3,8,4,59.5,0.30,-10.5,-0.31,276,639,43.2,765,108,50.5,32.2,314,80.6,54.7,575,13,2.3,19,0.56,15.7,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
e334d850,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats,PSV Eindhoven,1,34.0,26,2,0,4,1,24.3,0.26,-0.7,-0.02,196,360,54.4,556,124,38.1,34.4,223,66.4,52.7,333,20,6.0,24,0.71,14.1,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
2a428619,/en/squads/2a428619/2018-2019/Utrecht-Stats,Utrecht,2,34.0,51,5,2,10,0,46.6,0.28,-4.4,-0.13,244,549,44.4,673,140,47.3,37.7,286,80.8,53.6,434,18,4.1,29,0.85,14.0,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
209d7fa2,/en/squads/209d7fa2/2018-2019/Vitesse-Stats,Vitesse,2,34.0,51,6,3,5,1,47.1,0.29,-2.9,-0.09,236,693,34.1,1075,169,50.1,45.2,233,66.1,49.6,509,18,3.5,26,0.76,10.8,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
534ac6d0,/en/squads/534ac6d0/2018-2019/VVV-Venlo-Stats,VVV-Venlo,2,34.0,63,8,1,3,2,56.7,0.26,-4.3,-0.13,348,789,44.1,844,123,59.2,42.5,331,87.3,55.8,564,23,4.1,28,0.82,12.8,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
f0479d7b,/en/squads/f0479d7b/2018-2019/Willem-II-Stats,Willem II,3,34.0,72,7,1,10,2,57.8,0.29,-12.2,-0.36,282,841,33.5,957,150,59.1,42.3,294,93.5,62.1,521,28,5.4,60,1.76,16.8,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
e3db180b,/en/squads/e3db180b/2018-2019/Zwolle-Stats,Zwolle,2,34.0,57,4,2,14,1,49.0,0.30,-7.0,-0.21,181,511,35.4,1077,193,34.5,32.9,257,54.1,45.2,458,22,4.8,24,0.71,11.9,23,2018-2019,315e25f3-e761-4392-863e-f1d976342d93
