team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2022-2023/Ajax-Stats,Ajax,30,34.0,46,1,0,313,353,74,756,259,348,3,1,0,1981,409,376,52.1,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
3986b791,/en/squads/3986b791/2022-2023/AZ-Alkmaar-Stats,AZ Alkmaar,29,34.0,51,1,0,342,298,57,572,315,320,3,5,0,1944,482,487,49.7,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
5c9e307a,/en/squads/5c9e307a/2022-2023/Cambuur-Stats,Cambuur,31,34.0,49,4,1,360,314,46,657,293,353,2,7,3,1750,449,553,44.8,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
01888db1,/en/squads/01888db1/2022-2023/Emmen-Stats,Emmen,30,34.0,43,2,2,323,363,44,589,311,362,1,2,1,1919,456,515,47.0,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
740cb7d4,/en/squads/740cb7d4/2022-2023/Excelsior-Stats,Excelsior,28,34.0,49,1,1,334,288,38,557,370,384,2,1,2,1885,480,538,47.2,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
fb4ca611,/en/squads/fb4ca611/2022-2023/Feyenoord-Stats,Feyenoord,30,34.0,47,0,0,301,303,40,771,289,340,3,1,2,2100,415,351,54.2,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
bd08295c,/en/squads/bd08295c/2022-2023/Fortuna-Sittard-Stats,Fortuna Sittard,28,34.0,63,3,2,323,315,71,631,370,355,7,3,2,1881,496,425,53.9,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
e33d6108,/en/squads/e33d6108/2022-2023/Go-Ahead-Eagles-Stats,Go Ahead Eag,27,34.0,51,2,0,368,334,37,620,332,331,3,2,2,1889,495,572,46.4,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
bec05adb,/en/squads/bec05adb/2022-2023/Groningen-Stats,Groningen,36,34.0,51,5,1,325,279,50,524,312,384,1,7,0,1869,451,508,47.0,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
193ff7aa,/en/squads/193ff7aa/2022-2023/Heerenveen-Stats,Heerenveen,26,34.0,51,1,0,325,324,46,633,362,317,3,5,1,1960,493,438,53.0,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
fc629994,/en/squads/fc629994/2022-2023/NEC-Nijmegen-Stats,NEC Nijmegen,22,34.0,48,3,0,358,453,36,623,256,290,4,4,1,1817,426,414,50.7,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
e334d850,/en/squads/e334d850/2022-2023/PSV-Eindhoven-Stats,PSV Eindhoven,32,34.0,47,3,1,327,305,52,727,304,354,6,2,2,2194,560,464,54.7,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
bb14adb3,/en/squads/bb14adb3/2022-2023/RKC-Waalwijk-Stats,RKC Waalwijk,27,34.0,57,2,0,342,277,55,476,312,333,3,8,1,1840,334,373,47.2,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
146a68ce,/en/squads/146a68ce/2022-2023/Sparta-Rotterdam-Stats,Sparta R'dam,30,34.0,42,3,1,324,299,44,624,315,290,4,3,1,1780,713,564,55.8,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
a1f721d3,/en/squads/a1f721d3/2022-2023/Twente-Stats,Twente,26,34.0,45,1,0,359,321,48,755,318,373,1,2,1,2140,491,553,47.0,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
2a428619,/en/squads/2a428619/2022-2023/Utrecht-Stats,Utrecht,33,34.0,52,1,0,312,292,36,694,340,350,4,1,0,1934,572,493,53.7,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
209d7fa2,/en/squads/209d7fa2/2022-2023/Vitesse-Stats,Vitesse,30,34.0,51,5,1,370,319,55,656,315,321,1,2,1,2050,501,541,48.1,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
8783f4ee,/en/squads/8783f4ee/2022-2023/Volendam-Stats,Volendam,31,34.0,41,3,0,340,271,64,561,336,381,0,4,4,1993,520,578,47.4,23,2022-2023,fae41d4b-1f7b-4195-9c25-5bf2e3d80c13
