team_id,team_url,team,players_used_away,minutes_90s_away,passes_completed_away,passes_away,passes_pct_away,passes_total_distance_away,passes_progressive_distance_away,passes_completed_short_away,passes_short_away,passes_pct_short_away,passes_completed_medium_away,passes_medium_away,passes_pct_medium_away,passes_completed_long_away,passes_long_away,passes_pct_long_away,assists_away,xg_assist_away,pass_xa_away,xg_assist_net_away,assisted_shots_away,passes_into_final_third_away,passes_into_penalty_area_away,crosses_into_penalty_area_away,progressive_passes_away,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2023-2024/Ajax-Stats,vs Ajax,35,34.0,10929,14185,77.0,198622,77292,4765,5473,87.1,4614,5475,84.3,1248,2406,51.9,44,39.2,36.2,+4.8,327,871,260,74,1070,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
2b41acb5,/en/squads/2b41acb5/2023-2024/Almere-City-Stats,vs Almere City,29,34.0,12341,17017,72.5,232912,94873,5103,6284,81.2,5374,6573,81.8,1563,3207,48.7,47,43.9,40.8,+3.1,384,957,275,63,1192,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
3986b791,/en/squads/3986b791/2023-2024/AZ-Alkmaar-Stats,vs AZ Alkmaar,33,34.0,12163,15506,78.4,230490,83312,4876,5608,86.9,5589,6439,86.8,1439,2673,53.8,22,27.1,29.7,-5.1,290,884,241,73,1146,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
740cb7d4,/en/squads/740cb7d4/2023-2024/Excelsior-Stats,vs Excelsior,27,34.0,14154,18022,78.5,259356,94591,5917,6885,85.9,6292,7322,85.9,1600,2822,56.7,53,43.6,50.2,+9.4,403,1367,390,92,1695,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
fb4ca611,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats,vs Feyenoord,25,34.0,9199,12711,72.4,179493,72013,3678,4374,84.1,4122,4999,82.5,1238,2681,46.2,22,20.4,17.3,+1.6,185,696,127,35,742,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
bd08295c,/en/squads/bd08295c/2023-2024/Fortuna-Sittard-Stats,vs Fortuna Sittard,32,34.0,14294,18040,79.2,259886,92785,6070,6948,87.4,6356,7361,86.3,1519,2803,54.2,35,30.3,36.7,+4.7,309,1304,258,49,1486,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
e33d6108,/en/squads/e33d6108/2023-2024/Go-Ahead-Eagles-Stats,vs Go Ahead Eag,23,34.0,14408,18163,79.3,269741,95328,5724,6570,87.1,6761,7770,87.0,1615,3002,53.8,36,43.3,47.5,-7.3,455,1106,370,126,1498,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
193ff7aa,/en/squads/193ff7aa/2023-2024/Heerenveen-Stats,vs Heerenveen,26,34.0,13386,16789,79.7,248331,90190,5524,6316,87.5,5927,6888,86.0,1588,2725,58.3,43,38.0,38.7,+5.0,325,1183,300,85,1403,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
c882b88e,/en/squads/c882b88e/2023-2024/Heracles-Almelo-Stats,vs Heracles Almelo,27,34.0,13805,17214,80.2,253380,94236,5857,6599,88.8,6073,7026,86.4,1553,2724,57.0,58,52.7,54.7,+5.3,471,1248,378,93,1584,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
fc629994,/en/squads/fc629994/2023-2024/NEC-Nijmegen-Stats,vs NEC Nijmegen,28,34.0,13799,17325,79.6,250265,90131,6035,6817,88.5,5897,6877,85.7,1527,2719,56.2,36,45.2,52.0,-9.2,431,1242,380,90,1616,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
e334d850,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats,vs PSV Eindhoven,29,34.0,8459,11891,71.1,161223,70546,3614,4387,82.4,3513,4373,80.3,1127,2431,46.4,12,18.0,19.9,-6.0,194,583,161,39,767,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
bb14adb3,/en/squads/bb14adb3/2023-2024/RKC-Waalwijk-Stats,vs RKC Waalwijk,26,34.0,14032,17659,79.5,251363,94533,6207,6999,88.7,6108,7132,85.6,1387,2690,51.6,37,39.5,51.3,-2.5,407,1208,381,92,1649,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
146a68ce,/en/squads/146a68ce/2023-2024/Sparta-Rotterdam-Stats,vs Sparta R'dam,26,34.0,13829,17369,79.6,250546,92181,6035,6857,88.0,5933,6868,86.4,1509,2741,55.1,34,37.6,49.7,-3.6,425,1361,378,102,1679,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
a1f721d3,/en/squads/a1f721d3/2023-2024/Twente-Stats,vs Twente,26,34.0,11017,14612,75.4,203503,79194,4827,5608,86.1,4624,5543,83.4,1305,2633,49.6,20,25.0,29.7,-5.0,258,882,206,58,1000,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
2a428619,/en/squads/2a428619/2023-2024/Utrecht-Stats,vs Utrecht,35,34.0,13070,16811,77.7,241711,87761,5517,6332,87.1,5789,6789,85.3,1495,2880,51.9,32,34.6,31.9,-2.6,325,1024,257,70,1232,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
209d7fa2,/en/squads/209d7fa2/2023-2024/Vitesse-Stats,vs Vitesse,31,34.0,12024,15666,76.8,220391,84809,4972,5760,86.3,5334,6320,84.4,1345,2645,50.9,58,48.9,49.6,+9.1,430,1060,342,73,1368,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
8783f4ee,/en/squads/8783f4ee/2023-2024/Volendam-Stats,vs Volendam,37,34.0,14980,18576,80.6,275141,101118,6321,7152,88.4,6685,7703,86.8,1668,2834,58.9,71,60.5,60.3,+10.5,518,1436,432,94,1840,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
e3db180b,/en/squads/e3db180b/2023-2024/Zwolle-Stats,vs Zwolle,29,34.0,13001,16730,77.7,243672,91366,5312,6133,86.6,5756,6760,85.1,1590,2922,54.4,48,43.9,43.4,+4.1,407,1138,333,91,1485,23,2023-2024,89c09e4c-5a2c-4911-a572-a2d8c867501a
