team_id,team_url,team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,competition_id,season_id,id
4e7459b7,/en/squads/4e7459b7/2019-2020/ADO-Den-Haag-Stats,ADO Den Haag,34,26.0,7272,10179,71.4,149193,62490,2728,3333,81.8,3060,3802,80.5,1277,2442,52.3,14,19.5,19.3,-5.5,162,611,123,44,740,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
19c3f8c4,/en/squads/19c3f8c4/2019-2020/Ajax-Stats,Ajax,29,25.0,13602,16370,83.1,216046,78193,7045,7849,89.8,4755,5436,87.5,1107,1801,61.5,54,60.1,68.4,-6.1,432,1171,471,73,1754,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
3986b791,/en/squads/3986b791/2019-2020/AZ-Alkmaar-Stats,AZ Alkmaar,24,25.0,13645,16198,84.2,249387,82281,5666,6294,90.0,6403,7076,90.5,1372,2218,61.9,36,38.9,37.2,-2.9,310,979,300,26,1494,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
01888db1,/en/squads/01888db1/2019-2020/Emmen-Stats,Emmen,29,26.0,10846,13723,79.0,205419,76697,4715,5351,88.1,4407,5133,85.9,1532,2604,58.8,22,26.2,23.1,-4.2,256,828,202,47,991,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
fb4ca611,/en/squads/fb4ca611/2019-2020/Feyenoord-Stats,Feyenoord,30,25.0,11529,14191,81.2,207667,71284,5057,5712,88.5,4632,5309,87.2,1430,2288,62.5,33,35.9,37.7,-2.9,288,839,240,42,1157,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
bd08295c,/en/squads/bd08295c/2019-2020/Fortuna-Sittard-Stats,Fortuna Sittard,27,26.0,8390,11406,73.6,150791,62288,3867,4509,85.8,3246,4048,80.2,995,2168,45.9,15,19.6,16.8,-4.6,213,691,150,40,818,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
bec05adb,/en/squads/bec05adb/2019-2020/Groningen-Stats,Groningen,25,26.0,9237,12323,75.0,187098,68408,3288,3905,84.2,4459,5286,84.4,1331,2577,51.6,17,22.7,21.6,-5.7,231,767,170,50,928,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
193ff7aa,/en/squads/193ff7aa/2019-2020/Heerenveen-Stats,Heerenveen,24,26.0,10610,13506,78.6,190059,66915,4707,5417,86.9,4239,5032,84.2,1236,2228,55.5,30,28.3,25.4,+1.7,325,838,190,40,1083,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
c882b88e,/en/squads/c882b88e/2019-2020/Heracles-Almelo-Stats,Heracles Almelo,23,26.0,9299,12254,75.9,174151,65236,3978,4617,86.2,3815,4612,82.7,1238,2291,54.0,28,26.6,24.3,+1.4,238,717,174,42,951,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
e334d850,/en/squads/e334d850/2019-2020/PSV-Eindhoven-Stats,PSV Eindhoven,29,26.0,12070,14878,81.1,198288,71887,5831,6582,88.6,4763,5550,85.8,965,1730,55.8,40,35.2,36.9,+4.8,337,922,243,34,1237,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
bb14adb3,/en/squads/bb14adb3/2019-2020/RKC-Waalwijk-Stats,RKC Waalwijk,28,26.0,10169,13138,77.4,197471,76891,4042,4740,85.3,4511,5263,85.7,1393,2544,54.8,20,19.6,20.4,+0.4,222,790,189,58,1026,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
146a68ce,/en/squads/146a68ce/2019-2020/Sparta-Rotterdam-Stats,Sparta R'dam,23,26.0,7260,10182,71.3,145380,65750,2847,3523,80.8,3119,3964,78.7,1146,2198,52.1,31,26.7,23.0,+4.3,266,727,167,38,929,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
a1f721d3,/en/squads/a1f721d3/2019-2020/Twente-Stats,Twente,25,26.0,10940,13823,79.1,188978,70660,5006,5739,87.2,4554,5281,86.2,1011,1973,51.2,21,21.1,21.3,-0.1,183,693,163,27,1001,23,2019-2020,9a002db1-c19b-4a81-9ca9-5c1f09abdeef
