team_id,team_url,team,players_used_away,minutes_90s_away,passes_away,passes_live_away,passes_dead_away,passes_free_kicks_away,through_balls_away,passes_switches_away,crosses_away,throw_ins_away,corner_kicks_away,corner_kicks_in_away,corner_kicks_out_away,corner_kicks_straight_away,passes_completed_away,passes_offsides_away,passes_blocked_away,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2022-2023/Ajax-Stats,vs Ajax,30,34.0,11696,10192,1458,364,20,76,411,551,106,51,40,0,8432,46,269,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
3986b791,/en/squads/3986b791/2022-2023/AZ-Alkmaar-Stats,vs AZ Alkmaar,29,34.0,16005,14448,1514,371,31,112,559,632,126,64,49,0,12501,43,253,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
5c9e307a,/en/squads/5c9e307a/2022-2023/Cambuur-Stats,vs Cambuur,31,34.0,16595,14831,1704,385,47,142,712,782,212,93,60,2,12945,60,274,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
01888db1,/en/squads/01888db1/2022-2023/Emmen-Stats,vs Emmen,30,34.0,17361,15736,1572,349,50,105,715,685,214,112,66,1,13584,53,307,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
740cb7d4,/en/squads/740cb7d4/2022-2023/Excelsior-Stats,vs Excelsior,28,34.0,19325,17679,1605,344,43,143,748,746,226,114,68,1,15512,41,337,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
fb4ca611,/en/squads/fb4ca611/2022-2023/Feyenoord-Stats,vs Feyenoord,30,34.0,13999,12350,1587,331,38,95,463,606,133,55,56,3,10325,62,285,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
bd08295c,/en/squads/bd08295c/2022-2023/Fortuna-Sittard-Stats,vs Fortuna Sittard,28,34.0,17941,16240,1657,377,37,114,817,718,242,95,87,1,14189,44,346,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
e33d6108,/en/squads/e33d6108/2022-2023/Go-Ahead-Eagles-Stats,vs Go Ahead Eag,27,34.0,17336,15599,1689,383,55,117,681,744,186,74,58,1,13484,48,337,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
bec05adb,/en/squads/bec05adb/2022-2023/Groningen-Stats,vs Groningen,36,34.0,16842,15123,1647,350,40,150,662,766,212,96,75,2,13059,72,318,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
193ff7aa,/en/squads/193ff7aa/2022-2023/Heerenveen-Stats,vs Heerenveen,26,34.0,16956,15315,1595,350,55,139,625,722,182,80,70,1,13267,46,255,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
fc629994,/en/squads/fc629994/2022-2023/NEC-Nijmegen-Stats,vs NEC Nijmegen,22,34.0,15852,14319,1483,375,45,125,627,599,185,99,51,2,12522,50,266,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
e334d850,/en/squads/e334d850/2022-2023/PSV-Eindhoven-Stats,vs PSV Eindhoven,32,34.0,15276,13663,1584,356,33,94,474,636,126,66,44,2,11655,29,330,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
bb14adb3,/en/squads/bb14adb3/2022-2023/RKC-Waalwijk-Stats,vs RKC Waalwijk,27,34.0,18226,16616,1566,366,35,137,710,680,211,89,83,3,14782,44,337,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
146a68ce,/en/squads/146a68ce/2022-2023/Sparta-Rotterdam-Stats,vs Sparta R'dam,30,34.0,17313,15808,1482,341,34,103,709,602,182,83,63,0,13801,23,279,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
a1f721d3,/en/squads/a1f721d3/2022-2023/Twente-Stats,vs Twente,26,34.0,13498,11740,1690,382,51,83,459,740,149,62,59,0,9692,68,321,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
2a428619,/en/squads/2a428619/2022-2023/Utrecht-Stats,vs Utrecht,33,34.0,17297,15753,1501,322,38,133,669,700,152,76,53,1,13456,43,305,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
209d7fa2,/en/squads/209d7fa2/2022-2023/Vitesse-Stats,vs Vitesse,30,34.0,16516,14802,1662,400,37,128,662,716,164,74,53,1,12597,52,289,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
8783f4ee,/en/squads/8783f4ee/2022-2023/Volendam-Stats,vs Volendam,31,34.0,19158,17346,1743,375,63,148,723,809,236,105,85,0,15140,69,325,23,2022-2023,e2974f8c-b16a-44d8-964e-2d5647700705
