team_id,team_url,team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2021-2022/Ajax-Stats,Ajax,30,34.0,23106,21479,1556,365,57,146,813,725,246,82,70,0,19110,71,353,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
3986b791,/en/squads/3986b791/2021-2022/AZ-Alkmaar-Stats,AZ Alkmaar,28,34.0,20010,18390,1545,340,52,174,658,701,184,68,60,6,16048,75,317,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
5c9e307a,/en/squads/5c9e307a/2021-2022/Cambuur-Stats,Cambuur,27,34.0,15236,13489,1698,421,28,141,401,713,118,73,20,1,11540,49,235,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
fb4ca611,/en/squads/fb4ca611/2021-2022/Feyenoord-Stats,Feyenoord,31,34.0,20058,18393,1596,342,59,104,704,761,233,97,79,0,16169,69,327,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
bd08295c,/en/squads/bd08295c/2021-2022/Fortuna-Sittard-Stats,Fortuna Sittard,29,34.0,13809,12169,1593,357,24,114,527,690,134,46,81,0,9858,47,264,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
e33d6108,/en/squads/e33d6108/2021-2022/Go-Ahead-Eagles-Stats,Go Ahead Eag,26,34.0,15556,13814,1686,369,36,88,512,780,129,56,48,2,11455,56,337,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
bec05adb,/en/squads/bec05adb/2021-2022/Groningen-Stats,Groningen,28,34.0,14950,13277,1622,427,42,169,639,705,139,83,38,2,11020,51,229,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
193ff7aa,/en/squads/193ff7aa/2021-2022/Heerenveen-Stats,Heerenveen,32,34.0,15850,14144,1651,337,43,108,546,732,167,73,80,1,11987,55,262,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
c882b88e,/en/squads/c882b88e/2021-2022/Heracles-Almelo-Stats,Heracles Almelo,31,34.0,15461,13795,1605,327,21,187,643,788,156,73,65,0,11667,61,321,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
fc629994,/en/squads/fc629994/2021-2022/NEC-Nijmegen-Stats,NEC Nijmegen,25,34.0,16225,14510,1663,404,44,86,489,692,142,60,69,1,12559,52,293,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
e334d850,/en/squads/e334d850/2021-2022/PSV-Eindhoven-Stats,PSV Eindhoven,30,34.0,21049,19285,1710,353,78,166,600,840,239,75,122,1,17087,54,350,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
bb14adb3,/en/squads/bb14adb3/2021-2022/RKC-Waalwijk-Stats,RKC Waalwijk,26,34.0,14514,12821,1638,383,46,140,546,714,147,77,51,1,10483,55,311,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
146a68ce,/en/squads/146a68ce/2021-2022/Sparta-Rotterdam-Stats,Sparta R'dam,32,34.0,13979,12287,1643,378,24,84,499,765,115,79,30,0,9710,49,267,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
a1f721d3,/en/squads/a1f721d3/2021-2022/Twente-Stats,Twente,28,34.0,16699,14988,1672,429,49,121,527,825,135,95,15,3,12410,39,266,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
2a428619,/en/squads/2a428619/2021-2022/Utrecht-Stats,Utrecht,36,34.0,16024,14207,1773,406,31,93,730,847,199,63,113,0,11806,44,366,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
209d7fa2,/en/squads/209d7fa2/2021-2022/Vitesse-Stats,Vitesse,29,34.0,16473,14684,1731,410,58,130,652,793,171,52,93,0,12157,58,306,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
f0479d7b,/en/squads/f0479d7b/2021-2022/Willem-II-Stats,Willem II,33,34.0,15073,13338,1680,358,21,93,656,790,159,74,45,4,10940,55,282,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
e3db180b,/en/squads/e3db180b/2021-2022/Zwolle-Stats,Zwolle,32,34.0,16061,14256,1742,400,30,103,655,829,159,72,64,1,11629,63,339,23,2021-2022,a6abf8e1-5ce2-4f94-aaa5-246d8b4bce39
