team_id,team_url,team,players_used_away,avg_age_away,games_away,minutes_away,minutes_per_game_away,minutes_pct_away,minutes_90s_away,games_starts_away,minutes_per_start_away,games_complete_away,games_subs_away,minutes_per_sub_away,unused_subs_away,points_per_game_away,on_goals_for_away,on_goals_against_away,plus_minus_away,plus_minus_per90_away,on_xg_for_away,on_xg_against_away,xg_plus_minus_away,xg_plus_minus_per90_away,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2024-2025/Ajax-Stats,vs Ajax,37,25.1,34,"3,060",90,100,34.0,374,79,218,152,18,224,0.53,32,67,-35,-1.03,31.5,64.7,-33.2,-0.98,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/2b41acb5/Almere-City-Stats,vs Almere City,33,25.1,34,"3,060",90,100,34.0,374,82,226,145,22,226,2.06,64,23,+41,+1.21,52.3,34.1,+18.2,+0.54,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
3986b791,/en/squads/3986b791/2024-2025/AZ-Alkmaar-Stats,vs AZ Alkmaar,30,25.6,34,"3,060",90,100,34.0,374,81,217,152,17,211,1.06,37,58,-21,-0.62,34.2,54.6,-20.4,-0.60,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/fb4ca611/Feyenoord-Stats,vs Feyenoord,40,25.2,34,"3,060",90,100,34.0,374,81,218,154,20,216,0.76,38,76,-38,-1.12,35.2,61.4,-26.2,-0.77,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/bd08295c/Fortuna-Sittard-Stats,vs Fortuna Sittard,30,24.9,34,"3,060",90,100,34.0,374,81,225,147,19,235,1.56,54,37,+17,+0.50,49.7,41.3,+8.4,+0.25,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/e33d6108/Go-Ahead-Eagles-Stats,vs Go Ahead Eag,28,25.1,34,"3,060",90,100,34.0,374,84,222,149,20,221,1.24,55,57,-2,-0.06,45.6,54.4,-8.8,-0.26,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/bec05adb/Groningen-Stats,vs Groningen,29,25.1,34,"3,060",90,100,34.0,374,82,218,156,19,221,1.59,53,40,+13,+0.38,47.2,37.6,+9.6,+0.28,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/193ff7aa/Heerenveen-Stats,vs Heerenveen,30,25.2,34,"3,060",90,100,34.0,374,82,218,154,22,218,1.53,57,42,+15,+0.44,48.5,43.3,+5.2,+0.15,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/c882b88e/Heracles-Almelo-Stats,vs Heracles Almelo,24,25.1,34,"3,060",90,100,34.0,374,83,220,154,22,216,1.56,63,42,+21,+0.62,59.7,41.8,+17.9,+0.53,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/8ed04be8/NAC-Breda-Stats,vs NAC Breda,30,25.1,34,"3,060",90,100,34.0,374,82,221,154,21,223,1.76,58,34,+24,+0.71,57.2,38.8,+18.4,+0.54,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/fc629994/NEC-Nijmegen-Stats,vs NEC Nijmegen,25,25.2,34,"3,060",90,100,34.0,374,81,223,147,19,225,1.53,46,51,-5,-0.15,43.9,44.7,-0.8,-0.02,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
e334d850,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats,vs PSV Eindhoven,32,25.0,34,"3,060",90,100,34.0,374,81,224,146,20,226,0.56,39,103,-64,-1.88,32.6,83.0,-50.4,-1.48,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/bb14adb3/RKC-Waalwijk-Stats,vs RKC Waalwijk,29,25.1,34,"3,060",90,100,34.0,374,80,217,156,22,222,2.06,74,44,+30,+0.88,69.3,41.3,+28.0,+0.82,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/146a68ce/Sparta-Rotterdam-Stats,vs Sparta R'dam,29,25.2,34,"3,060",90,100,34.0,374,83,222,148,22,227,1.50,43,39,+4,+0.12,45.1,42.8,+2.3,+0.07,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/a1f721d3/Twente-Stats,vs Twente,29,25.1,34,"3,060",90,100,34.0,374,81,226,148,18,232,1.15,49,62,-13,-0.38,43.9,54.9,-11.1,-0.33,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
2a428619,/en/squads/2a428619/2024-2025/Utrecht-Stats,vs Utrecht,27,25.1,34,"3,060",90,100,34.0,374,82,231,141,19,234,0.82,45,62,-17,-0.50,43.7,49.3,-5.6,-0.17,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/f0479d7b/Willem-II-Stats,vs Willem II,26,25.1,34,"3,060",90,100,34.0,374,83,222,152,21,225,2.00,56,34,+22,+0.65,57.1,26.5,+30.6,+0.90,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
squads,/en/squads/e3db180b/Zwolle-Stats,vs Zwolle,26,25.1,34,"3,060",90,100,34.0,374,83,225,148,22,228,1.47,51,43,+8,+0.24,56.8,39.0,+17.8,+0.52,23,2024-2025,adf2442d-2de0-48ab-9297-5d5492ced76d
