team_id,team_url,team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,competition_id,season_id,id
4e7459b7,/en/squads/4e7459b7/2018-2019/ADO-Den-Haag-Stats,ADO Den Haag,25,27.4,34,"3,060",90,100,34.0,374,85,,98,18,251,1.32,58,63,-5,-0.15,46.9,66.9,-20.0,-0.59,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
19c3f8c4,/en/squads/19c3f8c4/2018-2019/Ajax-Stats,Ajax,29,24.5,34,"3,060",90,100,34.0,374,84,,100,23,211,2.53,119,32,+87,+2.56,94.3,35.5,+58.8,+1.73,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
3986b791,/en/squads/3986b791/2018-2019/AZ-Alkmaar-Stats,AZ Alkmaar,24,24.1,34,"3,060",90,100,34.0,374,86,,79,18,212,1.71,64,43,+21,+0.62,63.8,45.2,+18.6,+0.55,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
c6f58d53,/en/squads/c6f58d53/2018-2019/De-Graafschap-Stats,De Graafschap,26,25.3,34,"3,060",90,100,34.0,374,84,,99,22,249,0.85,38,75,-37,-1.09,39.0,68.2,-29.2,-0.86,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
01888db1,/en/squads/01888db1/2018-2019/Emmen-Stats,Emmen,28,25.0,34,"3,060",90,100,34.0,374,85,,98,19,244,1.12,41,72,-31,-0.91,42.9,61.3,-18.5,-0.54,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
740cb7d4,/en/squads/740cb7d4/2018-2019/Excelsior-Stats,Excelsior,24,26.4,34,"3,060",90,100,34.0,374,85,,96,17,221,0.97,46,79,-33,-0.97,39.6,68.2,-28.6,-0.84,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
fb4ca611,/en/squads/fb4ca611/2018-2019/Feyenoord-Stats,Feyenoord,28,26.2,34,"3,060",90,100,34.0,374,85,,85,19,276,1.91,75,41,+34,+1.00,70.3,43.7,+26.6,+0.78,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
bd08295c,/en/squads/bd08295c/2018-2019/Fortuna-Sittard-Stats,Fortuna Sittard,28,23.9,34,"3,060",90,100,34.0,374,84,,96,20,241,1.00,50,80,-30,-0.88,44.3,67.9,-23.6,-0.69,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
bec05adb,/en/squads/bec05adb/2018-2019/Groningen-Stats,Groningen,27,22.8,34,"3,060",90,100,34.0,374,85,,98,18,221,1.32,39,41,-2,-0.06,43.1,44.8,-1.7,-0.05,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
193ff7aa,/en/squads/193ff7aa/2018-2019/Heerenveen-Stats,Heerenveen,24,23.5,34,"3,060",90,100,34.0,374,85,,94,19,226,1.21,64,73,-9,-0.26,51.4,64.3,-12.9,-0.38,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
c882b88e,/en/squads/c882b88e/2018-2019/Heracles-Almelo-Stats,Heracles Almelo,25,25.5,34,"3,060",90,100,34.0,374,84,,96,20,205,1.41,61,68,-7,-0.21,55.8,64.5,-8.7,-0.26,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
8ed04be8,/en/squads/8ed04be8/2018-2019/NAC-Breda-Stats,NAC Breda,34,24.7,34,"3,060",90,100,34.0,374,84,,94,23,229,0.68,29,74,-45,-1.32,38.2,62.7,-24.5,-0.72,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
e334d850,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats,PSV Eindhoven,26,24.2,34,"3,060",90,100,34.0,374,86,,91,16,286,2.44,98,26,+72,+2.12,90.4,25.8,+64.6,+1.90,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
2a428619,/en/squads/2a428619/2018-2019/Utrecht-Stats,Utrecht,27,25.3,34,"3,060",90,100,34.0,374,85,,93,18,178,1.56,60,51,+9,+0.26,53.5,51.7,+1.8,+0.05,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
209d7fa2,/en/squads/209d7fa2/2018-2019/Vitesse-Stats,Vitesse,26,25.7,34,"3,060",90,100,34.0,374,85,,87,18,172,1.56,70,51,+19,+0.56,58.3,45.9,+12.4,+0.36,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
534ac6d0,/en/squads/534ac6d0/2018-2019/VVV-Venlo-Stats,VVV-Venlo,24,26.9,34,"3,060",90,100,34.0,374,84,,92,21,263,1.21,47,63,-16,-0.47,49.2,53.4,-4.2,-0.12,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
f0479d7b,/en/squads/f0479d7b/2018-2019/Willem-II-Stats,Willem II,28,24.0,34,"3,060",90,100,34.0,374,85,,85,19,207,1.29,58,72,-14,-0.41,48.7,54.3,-5.6,-0.16,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
e3db180b,/en/squads/e3db180b/2018-2019/Zwolle-Stats,Zwolle,26,24.3,34,"3,060",90,100,34.0,374,85,,88,21,221,1.15,44,57,-13,-0.38,43.0,48.4,-5.4,-0.16,23,2018-2019,3d067115-4b90-4686-8283-e360b1a8228f
