team_id,team_url,team,players_used_away,possession_away,minutes_90s_away,touches_away,touches_def_pen_area_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,touches_att_pen_area_away,touches_live_ball_away,take_ons_away,take_ons_won_away,take_ons_won_pct_away,take_ons_tackled_away,take_ons_tackled_pct_away,carries_away,carries_distance_away,carries_progressive_distance_away,progressive_carries_away,carries_into_final_third_away,carries_into_penalty_area_away,miscontrols_away,dispossessed_away,passes_received_away,progressive_passes_received_away,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2024-2025/Ajax-Stats,vs Ajax,37,42.4,34.0,18868,2706,7173,8092,3796,548,18868,445,182,40.9,238,53.5,10168,53174,25779,469,399,117,455,231,11792,945,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
squads,/en/squads/2b41acb5/Almere-City-Stats,vs Almere City,33,57.1,34.0,22400,2359,7427,9684,5474,890,22400,521,236,45.3,248,47.6,11991,63880,33230,675,466,205,586,276,14394,1492,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
3986b791,/en/squads/3986b791/2024-2025/AZ-Alkmaar-Stats,vs AZ Alkmaar,30,47.3,34.0,20052,2619,7458,8887,3881,611,20049,621,276,44.4,300,48.3,11123,56284,27958,514,335,123,518,318,12606,1146,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
squads,/en/squads/fb4ca611/Feyenoord-Stats,vs Feyenoord,40,42.7,34.0,17630,2857,7582,6983,3267,540,17627,446,177,39.7,237,53.1,8978,47468,23288,443,313,121,511,275,10342,878,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
squads,/en/squads/bd08295c/Fortuna-Sittard-Stats,vs Fortuna Sittard,30,55.6,34.0,21323,1996,5847,9677,5968,861,21318,598,272,45.5,298,49.8,11730,62738,33420,672,556,147,603,259,13660,1459,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
squads,/en/squads/e33d6108/Go-Ahead-Eagles-Stats,vs Go Ahead Eag,28,48.6,34.0,20058,2326,6338,8258,5639,901,20054,429,195,45.5,206,48.0,10526,57018,29248,665,476,194,526,246,12663,1411,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
squads,/en/squads/bec05adb/Groningen-Stats,vs Groningen,29,53.1,34.0,21391,2368,7659,9367,4545,724,21385,566,215,38.0,316,55.8,11855,58611,28108,521,377,135,513,287,13397,1269,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
squads,/en/squads/193ff7aa/Heerenveen-Stats,vs Heerenveen,30,46.8,34.0,19829,2463,7292,8446,4306,706,19825,657,298,45.4,316,48.1,10826,54065,24849,472,332,142,585,301,12031,1125,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
squads,/en/squads/c882b88e/Heracles-Almelo-Stats,vs Heracles Almelo,24,54.6,34.0,21116,2093,6803,9331,5201,862,21110,578,266,46.0,269,46.5,11240,61721,31417,560,407,151,569,339,13477,1437,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
squads,/en/squads/8ed04be8/NAC-Breda-Stats,vs NAC Breda,30,55.0,34.0,21925,2173,6318,10096,5727,925,21918,584,261,44.7,298,51.0,12768,70969,37473,741,520,187,545,306,14243,1483,23,2024-2025,9128cf02-5c1f-4b66-bdc4-41f8336c07e0
