team_id,team_url,team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2021-2022/Ajax-Stats,Ajax,30,66.0,34.0,27061,1796,6161,12075,9022,1584,27052,657,400,60.9,257,39.1,16669,83688,43595,811,569,244,632,352,18912,2577,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
3986b791,/en/squads/3986b791/2021-2022/AZ-Alkmaar-Stats,AZ Alkmaar,28,55.8,34.0,23895,2112,7069,11306,5711,822,23888,548,308,56.2,239,43.6,13468,67706,33682,600,488,135,666,326,15924,1655,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
5c9e307a,/en/squads/5c9e307a/2021-2022/Cambuur-Stats,Cambuur,27,48.3,34.0,19259,2954,7785,8114,3555,502,19254,486,267,54.9,219,45.1,10152,57672,30125,508,388,111,587,266,11323,972,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
fb4ca611,/en/squads/fb4ca611/2021-2022/Feyenoord-Stats,Feyenoord,31,58.5,34.0,23997,1816,5983,11420,6823,1161,23993,712,462,64.9,250,35.1,14667,76898,40046,837,545,251,668,333,16031,1814,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
bd08295c,/en/squads/bd08295c/2021-2022/Fortuna-Sittard-Stats,Fortuna Sittard,29,43.4,34.0,17965,2628,7180,7537,3450,529,17961,576,329,57.1,247,42.9,8976,47299,22982,399,334,113,619,264,9754,877,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
e33d6108,/en/squads/e33d6108/2021-2022/Go-Ahead-Eagles-Stats,Go Ahead Eag,26,47.2,34.0,19791,2767,7641,8256,4071,629,19789,530,285,53.8,245,46.2,9842,52007,25183,449,311,93,616,340,11321,1108,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
bec05adb,/en/squads/bec05adb/2021-2022/Groningen-Stats,Groningen,28,48.9,34.0,18853,2778,7597,7754,3685,583,18852,486,251,51.6,235,48.4,10072,56256,28721,526,351,92,619,263,10868,1005,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
193ff7aa,/en/squads/193ff7aa/2021-2022/Heerenveen-Stats,Heerenveen,32,47.6,34.0,19782,2643,7633,8324,4016,666,19779,552,299,54.2,253,45.8,10438,57605,29375,558,399,138,585,297,11888,1122,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
c882b88e,/en/squads/c882b88e/2021-2022/Heracles-Almelo-Stats,Heracles Almelo,31,46.8,34.0,19692,2150,6794,8672,4489,664,19690,671,383,57.1,288,42.9,10454,63586,32465,657,467,140,676,344,11553,1166,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
fc629994,/en/squads/fc629994/2021-2022/NEC-Nijmegen-Stats,NEC Nijmegen,25,47.3,34.0,20496,2554,7816,8932,3983,616,20493,681,379,55.7,302,44.3,11123,57596,27934,559,402,148,664,386,12431,1026,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
e334d850,/en/squads/e334d850/2021-2022/PSV-Eindhoven-Stats,PSV Eindhoven,30,57.7,34.0,25264,1574,6046,12088,7365,1130,25263,770,422,54.8,348,45.2,14774,71191,37414,780,585,247,697,347,16980,1780,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
bb14adb3,/en/squads/bb14adb3/2021-2022/RKC-Waalwijk-Stats,RKC Waalwijk,26,43.5,34.0,18721,2595,7250,7665,3994,580,18719,572,288,50.3,283,49.5,9759,47629,22626,416,300,111,635,316,10387,1108,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
146a68ce,/en/squads/146a68ce/2021-2022/Sparta-Rotterdam-Stats,Sparta R'dam,32,42.0,34.0,18063,2250,6317,8193,3725,505,18061,454,227,50.0,226,49.8,8734,42442,18729,318,250,88,563,247,9616,992,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
a1f721d3,/en/squads/a1f721d3/2021-2022/Twente-Stats,Twente,28,51.2,34.0,20830,2078,6451,9573,5005,742,20824,593,297,50.1,296,49.9,11014,56498,27909,512,404,141,630,258,12301,1254,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
2a428619,/en/squads/2a428619/2021-2022/Utrecht-Stats,Utrecht,36,48.4,34.0,20228,2189,6460,8985,4998,854,20222,600,285,47.5,314,52.3,10328,52642,25696,525,388,130,632,318,11701,1420,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
209d7fa2,/en/squads/209d7fa2/2021-2022/Vitesse-Stats,Vitesse,29,52.1,34.0,20581,2110,6653,9296,4857,755,20577,566,301,53.2,264,46.6,10425,55743,28624,529,375,126,662,334,12052,1245,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
f0479d7b,/en/squads/f0479d7b/2021-2022/Willem-II-Stats,Willem II,33,45.1,34.0,19084,2152,6198,8345,4743,510,19084,627,349,55.7,278,44.3,9704,56720,27230,571,423,114,622,308,10822,1093,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
e3db180b,/en/squads/e3db180b/2021-2022/Zwolle-Stats,Zwolle,32,50.3,34.0,20317,2363,6664,8996,4894,677,20313,582,294,50.5,288,49.5,10575,59841,29792,622,416,137,698,336,11477,1276,23,2021-2022,44d72ab1-33a0-4359-aca1-3f61a212d6e1
