team_id,team_url,team,players_used_away,minutes_90s_away,goals_away,shots_away,shots_on_target_away,shots_on_target_pct_away,shots_per90_away,shots_on_target_per90_away,goals_per_shot_away,goals_per_shot_on_target_away,average_shot_distance_away,pens_made_away,pens_att_away,competition_id,season_id,id
4e7459b7,/en/squads/4e7459b7/2017-2018/ADO-Den-Haag-Stats,vs ADO Den Haag,27,34.0,53,0,0,,0.00,0.00,,,,5,6,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
19c3f8c4,/en/squads/19c3f8c4/2017-2018/Ajax-Stats,vs Ajax,30,34.0,32,0,0,,0.00,0.00,,,,2,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
3986b791,/en/squads/3986b791/2017-2018/AZ-Alkmaar-Stats,vs AZ Alkmaar,26,34.0,38,0,0,,0.00,0.00,,,,5,8,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
740cb7d4,/en/squads/740cb7d4/2017-2018/Excelsior-Stats,vs Excelsior,25,34.0,51,0,0,,0.00,0.00,,,,7,7,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
fb4ca611,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats,vs Feyenoord,26,34.0,38,0,0,,0.00,0.00,,,,4,5,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
bec05adb,/en/squads/bec05adb/2017-2018/Groningen-Stats,vs Groningen,24,34.0,49,0,0,,0.00,0.00,,,,4,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
193ff7aa,/en/squads/193ff7aa/2017-2018/Heerenveen-Stats,vs Heerenveen,23,34.0,51,0,0,,0.00,0.00,,,,3,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
c882b88e,/en/squads/c882b88e/2017-2018/Heracles-Almelo-Stats,vs Heracles Almelo,25,34.0,63,0,0,,0.00,0.00,,,,4,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
8ed04be8,/en/squads/8ed04be8/2017-2018/NAC-Breda-Stats,vs NAC Breda,26,34.0,54,0,0,,0.00,0.00,,,,3,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
e334d850,/en/squads/e334d850/2017-2018/PSV-Eindhoven-Stats,vs PSV Eindhoven,26,34.0,38,0,0,,0.00,0.00,,,,9,10,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
45b403c3,/en/squads/45b403c3/2017-2018/Roda-JC-Kerkrade-Stats,vs Roda JC,25,34.0,67,0,0,,0.00,0.00,,,,2,3,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
146a68ce,/en/squads/146a68ce/2017-2018/Sparta-Rotterdam-Stats,vs Sparta R'dam,32,34.0,70,0,0,,0.00,0.00,,,,0,3,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
a1f721d3,/en/squads/a1f721d3/2017-2018/Twente-Stats,vs Twente,30,34.0,60,0,0,,0.00,0.00,,,,4,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
2a428619,/en/squads/2a428619/2017-2018/Utrecht-Stats,vs Utrecht,26,34.0,52,0,0,,0.00,0.00,,,,4,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
209d7fa2,/en/squads/209d7fa2/2017-2018/Vitesse-Stats,vs Vitesse,27,34.0,45,0,0,,0.00,0.00,,,,1,2,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
534ac6d0,/en/squads/534ac6d0/2017-2018/VVV-Venlo-Stats,vs VVV-Venlo,24,34.0,52,0,0,,0.00,0.00,,,,2,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
f0479d7b,/en/squads/f0479d7b/2017-2018/Willem-II-Stats,vs Willem II,26,34.0,62,0,0,,0.00,0.00,,,,9,9,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
e3db180b,/en/squads/e3db180b/2017-2018/Zwolle-Stats,vs Zwolle,29,34.0,53,0,0,,0.00,0.00,,,,3,4,23,2017-2018,193f390f-f805-4538-92ec-4d3f874f165d
