team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,competition_id,season_id,id
4e7459b7,/en/squads/4e7459b7/2016-2017/ADO-Den-Haag-Stats,ADO Den Haag,29,34.0,37,0,144,,0.00,4.24,,0.23,,4,5,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
19c3f8c4,/en/squads/19c3f8c4/2016-2017/Ajax-Stats,Ajax,29,34.0,77,0,254,,0.00,7.47,,0.28,,6,10,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
3986b791,/en/squads/3986b791/2016-2017/AZ-Alkmaar-Stats,AZ Alkmaar,28,34.0,51,0,173,,0.00,5.09,,0.28,,3,5,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
740cb7d4,/en/squads/740cb7d4/2016-2017/Excelsior-Stats,Excelsior,25,34.0,42,0,127,,0.00,3.74,,0.30,,4,4,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
fb4ca611,/en/squads/fb4ca611/2016-2017/Feyenoord-Stats,Feyenoord,25,34.0,85,0,240,,0.00,7.06,,0.35,,2,3,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
e33d6108,/en/squads/e33d6108/2016-2017/Go-Ahead-Eagles-Stats,Go Ahead Eag,31,34.0,32,0,121,,0.00,3.56,,0.23,,4,5,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
bec05adb,/en/squads/bec05adb/2016-2017/Groningen-Stats,Groningen,25,34.0,53,0,178,,0.00,5.24,,0.28,,3,3,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
193ff7aa,/en/squads/193ff7aa/2016-2017/Heerenveen-Stats,Heerenveen,23,34.0,52,0,172,,0.00,5.06,,0.28,,3,4,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
c882b88e,/en/squads/c882b88e/2016-2017/Heracles-Almelo-Stats,Heracles Almelo,27,34.0,53,0,175,,0.00,5.15,,0.27,,6,10,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
fc629994,/en/squads/fc629994/2016-2017/NEC-Nijmegen-Stats,NEC Nijmegen,27,34.0,30,0,126,,0.00,3.71,,0.22,,2,3,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
e334d850,/en/squads/e334d850/2016-2017/PSV-Eindhoven-Stats,PSV Eindhoven,23,34.0,66,0,253,,0.00,7.44,,0.25,,4,5,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
45b403c3,/en/squads/45b403c3/2016-2017/Roda-JC-Kerkrade-Stats,Roda JC,30,34.0,26,0,112,,0.00,3.29,,0.23,,0,0,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
146a68ce,/en/squads/146a68ce/2016-2017/Sparta-Rotterdam-Stats,Sparta R'dam,29,34.0,40,0,134,,0.00,3.94,,0.28,,2,3,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
a1f721d3,/en/squads/a1f721d3/2016-2017/Twente-Stats,Twente,25,34.0,46,0,161,,0.00,4.74,,0.25,,6,6,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
2a428619,/en/squads/2a428619/2016-2017/Utrecht-Stats,Utrecht,29,34.0,49,0,152,,0.00,4.47,,0.30,,4,4,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
209d7fa2,/en/squads/209d7fa2/2016-2017/Vitesse-Stats,Vitesse,27,34.0,51,0,165,,0.00,4.85,,0.28,,5,5,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
f0479d7b,/en/squads/f0479d7b/2016-2017/Willem-II-Stats,Willem II,25,34.0,29,0,111,,0.00,3.26,,0.25,,1,1,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
e3db180b,/en/squads/e3db180b/2016-2017/Zwolle-Stats,Zwolle,27,34.0,39,0,147,,0.00,4.32,,0.26,,1,1,23,2016-2017,ddae8727-6cf6-4961-b890-7d00523db545
