team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
4e7459b7,/en/squads/4e7459b7/2018-2019/ADO-Den-Haag-Stats,ADO Den Haag,25,34.0,57,404,132,32.7,11.88,3.88,0.13,0.39,17.8,19,6,7,46.9,41.6,0.11,+10.1,+9.4,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
19c3f8c4,/en/squads/19c3f8c4/2018-2019/Ajax-Stats,Ajax,29,34.0,109,677,272,40.2,19.91,8.00,0.14,0.36,17.5,38,12,13,94.3,84.4,0.13,+14.7,+12.6,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
3986b791,/en/squads/3986b791/2018-2019/AZ-Alkmaar-Stats,AZ Alkmaar,24,34.0,61,529,198,37.4,15.56,5.82,0.11,0.29,18.7,17,4,4,63.8,60.7,0.12,-2.8,-3.7,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
c6f58d53,/en/squads/c6f58d53/2018-2019/De-Graafschap-Stats,De Graafschap,26,34.0,35,375,124,33.1,11.03,3.65,0.09,0.27,18.5,29,1,2,39.0,37.4,0.10,-4.0,-3.4,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
01888db1,/en/squads/01888db1/2018-2019/Emmen-Stats,Emmen,28,34.0,39,440,161,36.6,12.94,4.74,0.08,0.23,19.2,25,2,2,42.9,41.4,0.10,-3.9,-4.4,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
740cb7d4,/en/squads/740cb7d4/2018-2019/Excelsior-Stats,Excelsior,24,34.0,44,363,115,31.7,10.68,3.38,0.11,0.36,18.3,22,3,3,39.6,37.3,0.10,+4.4,+3.7,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
fb4ca611,/en/squads/fb4ca611/2018-2019/Feyenoord-Stats,Feyenoord,28,34.0,73,613,239,39.0,18.03,7.03,0.11,0.29,17.9,21,3,5,70.3,67.3,0.11,+2.7,+2.7,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
bd08295c,/en/squads/bd08295c/2018-2019/Fortuna-Sittard-Stats,Fortuna Sittard,28,34.0,49,429,147,34.3,12.62,4.32,0.10,0.31,19.2,20,4,5,44.3,40.4,0.10,+4.7,+4.6,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
bec05adb,/en/squads/bec05adb/2018-2019/Groningen-Stats,Groningen,27,34.0,37,420,143,34.0,12.35,4.21,0.08,0.22,18.4,17,5,6,43.1,38.6,0.09,-6.1,-6.6,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
193ff7aa,/en/squads/193ff7aa/2018-2019/Heerenveen-Stats,Heerenveen,24,34.0,64,400,169,42.3,11.76,4.97,0.14,0.34,18.5,15,7,7,51.4,45.9,0.12,+12.6,+11.1,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
c882b88e,/en/squads/c882b88e/2018-2019/Heracles-Almelo-Stats,Heracles Almelo,25,34.0,60,440,158,35.9,12.94,4.65,0.13,0.35,19.0,31,4,6,55.8,51.0,0.12,+4.2,+5.0,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
8ed04be8,/en/squads/8ed04be8/2018-2019/NAC-Breda-Stats,NAC Breda,34,34.0,29,359,109,30.4,10.56,3.21,0.08,0.25,17.0,9,2,3,38.2,36.0,0.10,-9.2,-9.0,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
e334d850,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats,PSV Eindhoven,26,34.0,95,608,240,39.5,17.88,7.06,0.14,0.36,15.4,17,8,9,90.4,83.7,0.14,+4.6,+3.3,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
2a428619,/en/squads/2a428619/2018-2019/Utrecht-Stats,Utrecht,27,34.0,58,481,150,31.2,14.15,4.41,0.11,0.34,18.2,21,7,7,53.5,48.0,0.10,+4.5,+3.0,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
209d7fa2,/en/squads/209d7fa2/2018-2019/Vitesse-Stats,Vitesse,26,34.0,69,529,189,35.7,15.56,5.56,0.12,0.35,17.1,16,3,7,58.3,52.8,0.10,+10.7,+13.2,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
534ac6d0,/en/squads/534ac6d0/2018-2019/VVV-Venlo-Stats,VVV-Venlo,24,34.0,47,416,129,31.0,12.24,3.79,0.10,0.33,18.3,16,5,5,49.2,45.5,0.11,-2.2,-3.5,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
f0479d7b,/en/squads/f0479d7b/2018-2019/Willem-II-Stats,Willem II,28,34.0,57,358,135,37.7,10.53,3.97,0.14,0.37,17.5,10,7,8,48.7,42.4,0.12,+8.3,+7.6,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
e3db180b,/en/squads/e3db180b/2018-2019/Zwolle-Stats,Zwolle,26,34.0,43,484,159,32.9,14.24,4.68,0.08,0.25,19.4,18,3,4,43.0,40.3,0.08,0.0,-0.3,23,2018-2019,1e7806e1-66b6-4333-9815-d5c05d1d351d
