team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,xg_away,npxg_away,xg_assist_away,npxg_xg_assist_away,progressive_carries_away,progressive_passes_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,xg_per90_away,xg_assist_per90_away,xg_xg_assist_per90_away,npxg_per90_away,npxg_xg_assist_per90_away,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2023-2024/Ajax-Stats,vs Ajax,35,25.2,40.4,34,374,"3,060",34.0,60,44,104,58,2,3,54,0,52.5,50.2,39.2,89.4,530,1070,1.76,1.29,3.06,1.71,3.00,1.55,1.15,2.70,1.48,2.63,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
2b41acb5,/en/squads/2b41acb5/2023-2024/Almere-City-Stats,vs Almere City,29,25.0,56.0,34,374,"3,060",34.0,58,47,105,55,3,4,50,3,55.9,52.8,43.9,96.7,556,1192,1.71,1.38,3.09,1.62,3.00,1.64,1.29,2.93,1.55,2.85,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
3986b791,/en/squads/3986b791/2023-2024/AZ-Alkmaar-Stats,vs AZ Alkmaar,33,25.0,45.5,34,374,"3,060",34.0,38,22,60,34,4,4,53,0,39.7,36.6,27.1,63.7,478,1146,1.12,0.65,1.76,1.00,1.65,1.17,0.80,1.97,1.08,1.87,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
740cb7d4,/en/squads/740cb7d4/2023-2024/Excelsior-Stats,vs Excelsior,27,25.3,54.4,34,374,"3,060",34.0,72,53,125,70,2,2,51,2,58.2,56.7,43.6,100.3,731,1695,2.12,1.56,3.68,2.06,3.62,1.71,1.28,2.99,1.67,2.95,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
fb4ca611,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats,vs Feyenoord,25,25.0,38.2,34,374,"3,060",34.0,26,22,48,25,1,1,66,3,26.2,25.4,20.4,45.8,351,742,0.76,0.65,1.41,0.74,1.38,0.77,0.60,1.37,0.75,1.35,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
bd08295c,/en/squads/bd08295c/2023-2024/Fortuna-Sittard-Stats,vs Fortuna Sittard,32,24.9,56.8,34,374,"3,060",34.0,54,35,89,52,2,2,49,4,43.4,41.8,30.3,72.1,590,1486,1.59,1.03,2.62,1.53,2.56,1.28,0.89,2.17,1.23,2.12,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
e33d6108,/en/squads/e33d6108/2023-2024/Go-Ahead-Eagles-Stats,vs Go Ahead Eag,23,25.1,55.1,34,374,"3,060",34.0,45,36,81,43,2,2,39,2,55.6,54.0,43.3,97.3,735,1498,1.32,1.06,2.38,1.26,2.32,1.64,1.27,2.91,1.59,2.86,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
193ff7aa,/en/squads/193ff7aa/2023-2024/Heerenveen-Stats,vs Heerenveen,26,25.2,50.3,34,374,"3,060",34.0,68,43,111,64,4,4,45,3,53.4,50.3,38.0,88.4,619,1403,2.00,1.26,3.26,1.88,3.15,1.57,1.12,2.69,1.48,2.60,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
c882b88e,/en/squads/c882b88e/2023-2024/Heracles-Almelo-Stats,vs Heracles Almelo,27,24.9,53.7,34,374,"3,060",34.0,73,58,131,68,5,5,49,3,68.1,64.3,52.7,117.0,693,1584,2.15,1.71,3.85,2.00,3.71,2.00,1.55,3.55,1.89,3.44,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
fc629994,/en/squads/fc629994/2023-2024/NEC-Nijmegen-Stats,vs NEC Nijmegen,28,25.0,51.6,34,374,"3,060",34.0,51,36,87,46,5,6,64,3,60.0,55.4,45.2,100.5,748,1616,1.50,1.06,2.56,1.35,2.41,1.77,1.33,3.09,1.63,2.96,23,2023-2024,6ebcbcec-29a1-4118-8672-bb94bcd3a083
