team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,competition_id,season_id,id
4e7459b7,/en/squads/4e7459b7/2017-2018/ADO-Den-Haag-Stats,ADO Den Haag,27,26.6,46.5,34,374,"3,060",34.0,45,33,78,42,3,3,53,,1.32,0.97,2.29,1.24,2.21,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
19c3f8c4,/en/squads/19c3f8c4/2017-2018/Ajax-Stats,Ajax,30,23.1,62.8,34,374,"3,060",34.0,87,63,150,81,6,9,58,,2.56,1.85,4.41,2.38,4.24,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
3986b791,/en/squads/3986b791/2017-2018/AZ-Alkmaar-Stats,AZ Alkmaar,26,23.6,60.0,34,374,"3,060",34.0,67,51,118,61,6,8,51,,1.97,1.50,3.47,1.79,3.29,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
740cb7d4,/en/squads/740cb7d4/2017-2018/Excelsior-Stats,Excelsior,25,26.2,44.9,34,374,"3,060",34.0,39,26,65,33,6,7,66,,1.15,0.76,1.91,0.97,1.74,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
fb4ca611,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats,Feyenoord,26,25.8,59.9,34,374,"3,060",34.0,74,63,137,73,1,3,44,,2.18,1.85,4.03,2.15,4.00,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
bec05adb,/en/squads/bec05adb/2017-2018/Groningen-Stats,Groningen,24,23.2,47.6,34,374,"3,060",34.0,46,30,76,39,7,9,59,,1.35,0.88,2.24,1.15,2.03,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
193ff7aa,/en/squads/193ff7aa/2017-2018/Heerenveen-Stats,Heerenveen,23,24.2,53.6,34,374,"3,060",34.0,47,33,80,46,1,3,52,,1.38,0.97,2.35,1.35,2.32,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
c882b88e,/en/squads/c882b88e/2017-2018/Heracles-Almelo-Stats,Heracles Almelo,25,25.6,49.8,34,374,"3,060",34.0,49,33,82,44,5,6,45,,1.44,0.97,2.41,1.29,2.26,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
8ed04be8,/en/squads/8ed04be8/2017-2018/NAC-Breda-Stats,NAC Breda,26,22.4,47.3,34,374,"3,060",34.0,40,19,59,35,5,6,67,,1.18,0.56,1.74,1.03,1.59,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
e334d850,/en/squads/e334d850/2017-2018/PSV-Eindhoven-Stats,PSV Eindhoven,26,24.0,50.4,34,374,"3,060",34.0,82,55,137,72,10,10,45,,2.41,1.62,4.03,2.12,3.74,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
45b403c3,/en/squads/45b403c3/2017-2018/Roda-JC-Kerkrade-Stats,Roda JC,25,25.2,44.0,34,374,"3,060",34.0,41,33,74,38,3,4,43,,1.21,0.97,2.18,1.12,2.09,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
146a68ce,/en/squads/146a68ce/2017-2018/Sparta-Rotterdam-Stats,Sparta R'dam,32,24.6,44.2,34,374,"3,060",34.0,33,24,57,31,2,2,51,,0.97,0.71,1.68,0.91,1.62,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
a1f721d3,/en/squads/a1f721d3/2017-2018/Twente-Stats,Twente,30,24.0,45.1,34,374,"3,060",34.0,36,25,61,34,2,2,68,,1.06,0.74,1.79,1.00,1.74,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
2a428619,/en/squads/2a428619/2017-2018/Utrecht-Stats,Utrecht,26,25.7,51.6,34,374,"3,060",34.0,58,41,99,57,1,1,57,,1.71,1.21,2.91,1.68,2.88,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
209d7fa2,/en/squads/209d7fa2/2017-2018/Vitesse-Stats,Vitesse,27,25.4,52.9,34,374,"3,060",34.0,58,44,102,56,2,3,50,,1.71,1.29,3.00,1.65,2.94,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
534ac6d0,/en/squads/534ac6d0/2017-2018/VVV-Venlo-Stats,VVV-Venlo,24,25.9,42.7,34,374,"3,060",34.0,34,22,56,30,4,6,51,,1.00,0.65,1.65,0.88,1.53,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
f0479d7b,/en/squads/f0479d7b/2017-2018/Willem-II-Stats,Willem II,26,24.6,45.2,34,374,"3,060",34.0,50,32,82,47,3,3,55,,1.47,0.94,2.41,1.38,2.32,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
e3db180b,/en/squads/e3db180b/2017-2018/Zwolle-Stats,Zwolle,29,25.7,53.3,34,374,"3,060",34.0,41,26,67,36,5,6,56,,1.21,0.76,1.97,1.06,1.82,23,2017-2018,a15f7f9f-5291-4dcd-8f54-aee109c92b30
