team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2021-2022/Ajax-Stats,Ajax,30,26.2,66.0,34,374,"3,060",34.0,94,71,165,88,6,9,35,1,94.3,87.4,70.2,157.6,811,2602,2.76,2.09,4.85,2.59,4.68,2.77,2.07,4.84,2.57,4.64,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
3986b791,/en/squads/3986b791/2021-2022/AZ-Alkmaar-Stats,AZ Alkmaar,28,24.4,55.8,34,374,"3,060",34.0,62,49,111,56,6,7,52,1,57.7,52.2,41.7,93.9,600,1674,1.82,1.44,3.26,1.65,3.09,1.70,1.23,2.92,1.54,2.76,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
5c9e307a,/en/squads/5c9e307a/2021-2022/Cambuur-Stats,Cambuur,27,26.1,48.3,34,374,"3,060",34.0,51,38,89,47,4,5,54,3,40.8,36.9,30.3,67.2,508,984,1.50,1.12,2.62,1.38,2.50,1.20,0.89,2.09,1.08,1.98,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
fb4ca611,/en/squads/fb4ca611/2021-2022/Feyenoord-Stats,Feyenoord,31,24.9,58.5,34,374,"3,060",34.0,75,57,132,72,3,4,41,0,72.4,69.3,54.1,123.4,837,1830,2.21,1.68,3.88,2.12,3.79,2.13,1.59,3.72,2.04,3.63,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
bd08295c,/en/squads/bd08295c/2021-2022/Fortuna-Sittard-Stats,Fortuna Sittard,29,26.3,43.4,34,374,"3,060",34.0,35,24,59,32,3,3,62,1,35.5,33.1,26.0,59.1,399,889,1.03,0.71,1.74,0.94,1.65,1.04,0.76,1.81,0.97,1.74,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
e33d6108,/en/squads/e33d6108/2021-2022/Go-Ahead-Eagles-Stats,Go Ahead Eag,26,24.8,47.2,34,374,"3,060",34.0,36,27,63,34,2,2,39,5,36.4,34.9,26.5,61.3,449,1124,1.06,0.79,1.85,1.00,1.79,1.07,0.78,1.85,1.03,1.80,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
bec05adb,/en/squads/bec05adb/2021-2022/Groningen-Stats,Groningen,28,24.4,48.9,34,374,"3,060",34.0,39,27,66,38,1,1,55,4,39.1,38.3,26.1,64.4,526,1014,1.15,0.79,1.94,1.12,1.91,1.15,0.77,1.92,1.13,1.89,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
193ff7aa,/en/squads/193ff7aa/2021-2022/Heerenveen-Stats,Heerenveen,32,24.9,47.6,34,374,"3,060",34.0,34,26,60,31,3,3,42,2,44.7,42.1,33.8,75.9,558,1131,1.00,0.76,1.76,0.91,1.68,1.31,0.99,2.31,1.24,2.23,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
c882b88e,/en/squads/c882b88e/2021-2022/Heracles-Almelo-Stats,Heracles Almelo,31,23.9,46.8,34,374,"3,060",34.0,32,18,50,31,1,2,55,3,41.5,40.0,29.8,69.8,657,1178,0.94,0.53,1.47,0.91,1.44,1.22,0.88,2.10,1.18,2.05,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
fc629994,/en/squads/fc629994/2021-2022/NEC-Nijmegen-Stats,NEC Nijmegen,25,24.5,47.3,34,374,"3,060",34.0,38,19,57,36,2,3,50,3,43.8,41.5,28.7,70.2,559,1044,1.12,0.56,1.68,1.06,1.62,1.29,0.84,2.13,1.22,2.06,23,2021-2022,97b896e7-69bf-4028-abb6-b4a6abc71354
