rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,206d90db,/en/squads/206d90db/2015-2016/Barcelona-Stats,Barcelona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.206d90db.png,19,16,1,2,67,14,+53,49,2.58,19,13,3,3,45,15,+30,42,2.21,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
2,53a2f082,/en/squads/53a2f082/2015-2016/Real-Madrid-Stats,Real Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.53a2f082.png,19,16,1,2,70,16,+54,49,2.58,19,12,5,2,40,18,+22,41,2.16,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
3,db3b9613,/en/squads/db3b9613/2015-2016/Atletico-Madrid-Stats,Atlético Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.db3b9613.png,19,15,3,1,33,7,+26,48,2.53,19,13,1,5,30,11,+19,40,2.11,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
4,2a8183b3,/en/squads/2a8183b3/2015-2016/Villarreal-Stats,Villarreal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a8183b3.png,19,12,4,3,26,12,+14,40,2.11,19,6,6,7,18,23,-5,24,1.26,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
5,2b390eca,/en/squads/2b390eca/2015-2016/Athletic-Club-Stats,Athletic Club,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2b390eca.png,19,11,4,4,35,17,+18,37,1.95,19,7,4,8,23,28,-5,25,1.32,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
6,f25da7fb,/en/squads/f25da7fb/2015-2016/Celta-Vigo-Stats,Celta Vigo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f25da7fb.png,19,9,6,4,29,25,+4,33,1.74,19,8,3,8,22,34,-12,27,1.42,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
7,ad2be733,/en/squads/ad2be733/2015-2016/Sevilla-Stats,Sevilla,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.ad2be733.png,19,14,1,4,38,21,+17,43,2.26,19,0,9,10,13,29,-16,9,0.47,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
8,1c896955,/en/squads/1c896955/2015-2016/Malaga-Stats,Málaga,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1c896955.png,19,8,6,5,26,15,+11,30,1.58,19,4,6,9,12,20,-8,18,0.95,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
9,e31d1cd9,/en/squads/e31d1cd9/2015-2016/Real-Sociedad-Stats,Real Sociedad,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e31d1cd9.png,19,7,5,7,22,20,+2,26,1.37,19,6,4,9,23,28,-5,22,1.16,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
10,fc536746,/en/squads/fc536746/2015-2016/Real-Betis-Stats,Betis,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc536746.png,19,6,6,7,17,23,-6,24,1.26,19,5,6,8,17,29,-12,21,1.11,12,2015-2016,3ff8355a-f1b9-451c-8fa3-b334e4592b0e
