rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,206d90db,/en/squads/206d90db/2015-2016/Barcelona-Stats,Barcelona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.206d90db.png,38,29,4,5,112,29,+83,91,2.39,"74,655",Luis Suárez-40,Claudio Bravo,→ Champions League via league finish,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
2,53a2f082,/en/squads/53a2f082/2015-2016/Real-Madrid-Stats,Real Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.53a2f082.png,38,28,6,4,110,34,+76,90,2.37,"71,265",Cristiano Ronaldo-35,Keylor Navas,→ Champions League via Champions League win,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
3,db3b9613,/en/squads/db3b9613/2015-2016/Atletico-Madrid-Stats,Atlético Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.db3b9613.png,38,28,4,6,63,18,+45,88,2.32,"46,902",Antoine Griezmann-22,Jan Oblak,→ Champions League via league finish,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
4,2a8183b3,/en/squads/2a8183b3/2015-2016/Villarreal-Stats,Villarreal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a8183b3.png,38,18,10,10,44,35,+9,64,1.68,"17,660",Cédric Bakambu-12,Alphonse Areola,→ Champions League via league finish,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
5,2b390eca,/en/squads/2b390eca/2015-2016/Athletic-Club-Stats,Athletic Club,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2b390eca.png,38,18,8,12,58,45,+13,62,1.63,"41,917",Aritz Aduriz-20,Gorka Iraizoz,→ Europa League via league finish,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
6,f25da7fb,/en/squads/f25da7fb/2015-2016/Celta-Vigo-Stats,Celta Vigo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f25da7fb.png,38,17,9,12,51,59,-8,60,1.58,"18,382",Iago Aspas-13,Sergio Álvarez,→ Europa League via league finish1,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
7,ad2be733,/en/squads/ad2be733/2015-2016/Sevilla-Stats,Sevilla,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.ad2be733.png,38,14,10,14,51,50,+1,52,1.37,"33,134",Kévin Gameiro-16,Sergio Rico,→ Champions League via Europa League win,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
8,1c896955,/en/squads/1c896955/2015-2016/Malaga-Stats,Málaga,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1c896955.png,38,12,12,14,38,35,+3,48,1.26,"21,401",Charles-12,Carlos Kameni,,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
9,e31d1cd9,/en/squads/e31d1cd9/2015-2016/Real-Sociedad-Stats,Real Sociedad,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e31d1cd9.png,38,13,9,16,45,48,-3,48,1.26,"20,603",Imanol Agirretxe-13,Gerónimo Rulli,,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
10,fc536746,/en/squads/fc536746/2015-2016/Real-Betis-Stats,Betis,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc536746.png,38,11,12,15,34,52,-18,45,1.18,"37,832",Rubén Castro-19,Antonio Adán,,12,2015-2016,8cf5eb8f-2daa-4c2d-b054-2f6c0d48e696
