rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,206d90db,/en/squads/206d90db/2022-2023/Barcelona-Stats,Barcelona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.206d90db.png,19,15,3,1,37,4,+33,48,2.53,43.1,13.3,+29.7,+1.56,19,13,1,5,33,16,+17,40,2.11,32.4,19.8,+12.6,+0.66,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
2,53a2f082,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats,Real Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.53a2f082.png,19,13,5,1,44,16,+28,44,2.32,42.8,17.4,+25.3,+1.33,19,11,1,7,31,20,+11,34,1.79,32.8,21.5,+11.2,+0.59,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
3,db3b9613,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats,Atlético Madrid,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.db3b9613.png,19,13,3,3,41,15,+26,42,2.21,34.3,17.4,+16.8,+0.89,19,10,5,4,29,18,+11,35,1.84,27.6,23.7,+3.9,+0.21,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
4,e31d1cd9,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats,Real Sociedad,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e31d1cd9.png,19,11,5,3,26,16,+10,38,2.00,28.6,14.3,+14.4,+0.76,19,10,3,6,25,19,+6,33,1.74,24.2,18.8,+5.4,+0.29,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
5,2a8183b3,/en/squads/2a8183b3/2022-2023/Villarreal-Stats,Villarreal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2a8183b3.png,19,12,3,4,36,18,+18,39,2.05,39.1,23.1,+16.0,+0.84,19,7,4,8,23,22,+1,25,1.32,22.5,26.7,-4.2,-0.22,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
6,fc536746,/en/squads/fc536746/2022-2023/Real-Betis-Stats,Betis,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fc536746.png,19,9,5,5,26,18,+8,32,1.68,27.0,22.2,+4.8,+0.25,19,8,4,7,20,23,-3,28,1.47,24.4,27.8,-3.5,-0.18,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
7,03c57e2b,/en/squads/03c57e2b/2022-2023/Osasuna-Stats,Osasuna,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.03c57e2b.png,19,11,1,7,24,21,+3,34,1.79,26.5,19.7,+6.9,+0.36,19,4,7,8,13,21,-8,19,1.00,13.3,26.0,-12.7,-0.67,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
8,2b390eca,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats,Athletic Club,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2b390eca.png,19,8,3,8,22,15,+7,27,1.42,26.2,15.0,+11.2,+0.59,19,6,6,7,25,28,-3,24,1.26,28.0,21.9,+6.2,+0.32,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
9,2aa12281,/en/squads/2aa12281/2022-2023/Mallorca-Stats,Mallorca,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2aa12281.png,19,10,5,4,22,12,+10,35,1.84,19.7,17.6,+2.1,+0.11,19,4,3,12,15,31,-16,15,0.79,15.4,28.8,-13.4,-0.70,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
10,9024a00a,/en/squads/9024a00a/2022-2023/Girona-Stats,Girona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.9024a00a.png,19,10,3,6,35,26,+9,33,1.74,29.2,23.8,+5.3,+0.28,19,3,7,9,23,29,-6,16,0.84,21.5,31.1,-9.6,-0.50,12,2022-2023,9a74f248-a5ab-48db-994c-ebe0ed34910c
