team_id,team_url,team,players_used_away,minutes_90s_away,tackles_away,tackles_won_away,tackles_def_3rd_away,tackles_mid_3rd_away,tackles_att_3rd_away,challenge_tackles_away,challenges_away,challenge_tackles_pct_away,challenges_lost_away,blocks_away,blocked_shots_away,blocked_passes_away,interceptions_away,tackles_interceptions_away,clearances_away,errors_away,competition_id,season_id,id
78ecf4bb,/en/squads/78ecf4bb/2022-2023/Almeria-Stats,vs Almería,29,38.0,591,369,274,233,84,310,606,51.2,296,373,108,265,249,840,553,14,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
2b390eca,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats,vs Athletic Club,26,38.0,656,416,374,212,70,305,652,46.8,347,449,147,302,384,1040,839,17,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
db3b9613,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats,vs Atlético Madrid,27,38.0,539,317,271,181,87,262,584,44.9,322,445,134,311,368,907,663,14,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
206d90db,/en/squads/206d90db/2022-2023/Barcelona-Stats,vs Barcelona,29,38.0,647,385,332,250,65,321,717,44.8,396,423,139,284,369,1016,746,17,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
fc536746,/en/squads/fc536746/2022-2023/Real-Betis-Stats,vs Betis,30,38.0,664,417,303,268,93,311,676,46.0,365,437,95,342,324,988,584,9,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
ee7c297c,/en/squads/ee7c297c/2022-2023/Cadiz-Stats,vs Cádiz,38,38.0,603,374,255,249,99,249,495,50.3,246,347,87,260,242,845,727,10,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
f25da7fb,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats,vs Celta Vigo,26,38.0,593,356,314,204,75,295,618,47.7,323,369,121,248,394,987,681,9,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
6c8b07df,/en/squads/6c8b07df/2022-2023/Elche-Stats,vs Elche,32,38.0,656,402,293,265,98,311,653,47.6,342,418,97,321,288,944,698,9,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
a8661628,/en/squads/a8661628/2022-2023/Espanyol-Stats,vs Espanyol,33,38.0,505,326,239,220,46,260,517,50.3,257,328,100,228,238,743,822,10,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
7848bd64,/en/squads/7848bd64/2022-2023/Getafe-Stats,vs Getafe,25,38.0,457,290,211,190,56,189,406,46.6,217,378,95,283,300,757,723,14,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
9024a00a,/en/squads/9024a00a/2022-2023/Girona-Stats,vs Girona,29,38.0,641,415,289,265,87,311,652,47.7,341,359,78,281,304,945,659,10,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
2aa12281,/en/squads/2aa12281/2022-2023/Mallorca-Stats,vs Mallorca,31,38.0,500,296,202,217,81,198,491,40.3,293,333,82,251,231,731,621,8,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
03c57e2b,/en/squads/03c57e2b/2022-2023/Osasuna-Stats,vs Osasuna,26,38.0,563,332,318,195,50,247,560,44.1,313,381,93,288,311,874,797,7,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
98e8af82,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats,vs Rayo Vallecano,28,38.0,664,391,317,278,69,290,586,49.5,296,416,133,283,345,1009,810,10,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
53a2f082,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats,vs Real Madrid,26,38.0,676,407,377,218,81,379,854,44.4,475,492,175,317,331,1007,678,8,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
e31d1cd9,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats,vs Real Sociedad,30,38.0,661,403,341,237,83,293,600,48.8,307,402,110,292,325,986,613,15,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
ad2be733,/en/squads/ad2be733/2022-2023/Sevilla-Stats,vs Sevilla,35,38.0,569,353,273,206,90,257,526,48.9,269,358,96,262,271,840,769,13,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
dcc91a7b,/en/squads/dcc91a7b/2022-2023/Valencia-Stats,vs Valencia,28,38.0,645,382,354,219,72,307,659,46.6,352,418,133,285,294,939,834,15,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
17859612,/en/squads/17859612/2022-2023/Valladolid-Stats,vs Valladolid,36,38.0,634,389,309,232,93,318,627,50.7,309,409,97,312,264,898,662,5,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
2a8183b3,/en/squads/2a8183b3/2022-2023/Villarreal-Stats,vs Villarreal,32,38.0,688,423,349,240,99,345,780,44.2,435,426,114,312,349,1037,618,16,12,2022-2023,bc5d7f8a-83bb-4964-bdc0-ff2740b02f9f
