team_id,team_url,team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2021-2022/Alaves-Stats,Alavés,33,38.0,628,16.53,392,88,38,46,53,11,48,1.26,27,6,4,5,6,0,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
2b390eca,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats,Athletic Club,26,38.0,821,21.61,581,94,46,42,47,11,72,1.89,52,9,1,2,5,3,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
db3b9613,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats,Atlético Madrid,26,38.0,828,21.79,593,86,56,41,40,12,111,2.92,86,6,5,8,3,3,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
206d90db,/en/squads/206d90db/2021-2022/Barcelona-Stats,Barcelona,38,38.0,942,24.79,728,62,68,34,41,9,123,3.24,95,5,7,8,6,2,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
fc536746,/en/squads/fc536746/2021-2022/Real-Betis-Stats,Betis,31,38.0,902,23.74,670,75,55,46,41,15,94,2.47,65,5,10,5,8,1,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
ee7c297c,/en/squads/ee7c297c/2021-2022/Cadiz-Stats,Cádiz,33,38.0,687,18.08,459,86,38,47,41,16,55,1.45,32,7,3,5,6,2,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
f25da7fb,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats,Celta Vigo,25,38.0,701,18.45,540,43,25,50,34,9,70,1.84,52,2,3,11,1,1,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
6c8b07df,/en/squads/6c8b07df/2021-2022/Elche-Stats,Elche,28,38.0,592,15.58,426,60,42,23,28,13,68,1.79,50,4,7,3,2,2,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
a8661628,/en/squads/a8661628/2021-2022/Espanyol-Stats,Espanyol,34,38.0,721,18.97,521,59,47,40,41,13,67,1.76,45,5,4,8,3,2,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
7848bd64,/en/squads/7848bd64/2021-2022/Getafe-Stats,Getafe,31,38.0,700,18.42,464,85,32,40,61,18,53,1.39,38,7,3,2,1,2,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
a0435291,/en/squads/a0435291/2021-2022/Granada-Stats,Granada,32,38.0,702,18.47,488,67,43,49,40,15,68,1.79,45,8,3,6,2,4,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
9800b6a1,/en/squads/9800b6a1/2021-2022/Levante-Stats,Levante,31,38.0,720,18.95,486,80,48,65,28,13,79,2.08,55,3,5,9,6,1,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
2aa12281,/en/squads/2aa12281/2021-2022/Mallorca-Stats,Mallorca,33,38.0,761,20.03,495,90,47,55,55,19,59,1.55,32,6,4,7,8,2,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
03c57e2b,/en/squads/03c57e2b/2021-2022/Osasuna-Stats,Osasuna,29,38.0,721,18.97,502,85,28,49,44,13,62,1.63,42,7,0,7,4,2,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
98e8af82,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats,Rayo Vallecano,28,38.0,862,22.68,603,98,37,54,52,18,63,1.66,36,5,7,8,5,2,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
53a2f082,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats,Real Madrid,31,38.0,1195,31.45,922,68,83,56,49,17,139,3.66,102,2,13,11,8,3,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
e31d1cd9,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats,Real Sociedad,32,38.0,773,20.34,530,70,56,57,46,14,69,1.82,38,3,6,12,10,0,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
ad2be733,/en/squads/ad2be733/2021-2022/Sevilla-Stats,Sevilla,33,38.0,784,20.63,578,78,35,35,43,15,95,2.50,63,9,8,7,5,3,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
dcc91a7b,/en/squads/dcc91a7b/2021-2022/Valencia-Stats,Valencia,34,38.0,718,18.89,479,93,45,26,64,11,83,2.18,53,8,7,3,11,1,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
2a8183b3,/en/squads/2a8183b3/2021-2022/Villarreal-Stats,Villarreal,29,38.0,800,21.05,593,73,57,38,28,11,112,2.95,73,12,11,10,5,1,12,2021-2022,ff05ddd9-17c1-4e00-b91c-a7966e878b84
