team_id,team_url,team,players_used_away,minutes_90s_away,gk_goals_against_away,gk_pens_allowed_away,gk_free_kick_goals_against_away,gk_corner_kick_goals_against_away,gk_own_goals_against_away,gk_psxg_away,gk_psnpxg_per_shot_on_target_against_away,gk_psxg_net_away,gk_psxg_net_per90_away,gk_passes_completed_launched_away,gk_passes_launched_away,gk_passes_pct_launched_away,gk_passes_away,gk_passes_throws_away,gk_pct_passes_launched_away,gk_passes_length_avg_away,gk_goal_kicks_away,gk_pct_goal_kicks_launched_away,gk_goal_kick_length_avg_away,gk_crosses_away,gk_crosses_stopped_away,gk_crosses_stopped_pct_away,gk_def_actions_outside_pen_area_away,gk_def_actions_outside_pen_area_per90_away,gk_avg_distance_def_actions_away,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2017-2018/Alaves-Stats,vs Alavés,2,38.0,40,1,1,4,0,37.9,0.27,-2.1,-0.06,224,589,38.0,917,156,43.2,37.6,256,75.4,53.7,431,22,5.1,32,0.84,14.9,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
2b390eca,/en/squads/2b390eca/2017-2018/Athletic-Club-Stats,vs Athletic Club,2,38.0,41,6,0,6,2,46.7,0.27,+7.7,+0.20,274,721,38.0,924,139,50.2,40.2,306,84.0,55.6,654,29,4.4,31,0.82,13.0,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
db3b9613,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats,vs Atlético Madrid,2,38.0,58,4,2,2,1,58.8,0.36,+1.8,+0.05,235,571,41.2,924,173,41.9,36.9,257,71.6,52.5,417,27,6.5,47,1.24,15.0,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
206d90db,/en/squads/206d90db/2017-2018/Barcelona-Stats,vs Barcelona,2,38.0,99,3,6,7,3,96.1,0.36,+0.1,0.00,236,640,36.9,859,136,49.7,40.5,280,76.1,53.8,323,11,3.4,36,0.95,14.5,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
fc536746,/en/squads/fc536746/2017-2018/Real-Betis-Stats,vs Betis,3,38.0,60,2,1,3,4,53.4,0.32,-2.6,-0.07,211,610,34.6,795,104,51.6,40.7,246,81.3,56.7,422,18,4.3,35,0.92,15.2,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
f25da7fb,/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats,vs Celta Vigo,3,38.0,59,2,3,4,2,55.3,0.33,-1.7,-0.05,239,717,33.3,869,127,55.6,41.7,285,82.1,56.5,473,23,4.9,37,0.97,15.1,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
bea5c710,/en/squads/bea5c710/2017-2018/Eibar-Stats,vs Eibar,3,38.0,44,2,2,7,1,37.6,0.27,-5.4,-0.14,295,873,33.8,1037,131,54.7,42.3,388,78.9,55.7,850,30,3.5,33,0.87,13.1,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
a8661628,/en/squads/a8661628/2017-2018/Espanyol-Stats,vs Espanyol,2,38.0,36,2,1,1,3,38.1,0.27,+5.1,+0.13,269,712,37.8,1025,149,49.4,39.7,273,75.5,55.2,592,49,8.3,42,1.11,13.5,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
7848bd64,/en/squads/7848bd64/2017-2018/Getafe-Stats,vs Getafe,2,38.0,42,5,1,6,1,42.9,0.26,+1.9,+0.05,248,584,42.5,883,152,44.2,38.4,258,75.2,53.2,463,20,4.3,57,1.50,17.3,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
9024a00a,/en/squads/9024a00a/2017-2018/Girona-Stats,vs Girona,2,38.0,50,6,2,8,0,52.0,0.30,+2.0,+0.05,208,659,31.6,907,150,49.6,38.4,260,80.4,54.4,644,30,4.7,35,0.92,14.3,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
2a60ed82,/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats,vs La Coruña,5,38.0,38,3,0,7,0,44.4,0.29,+6.4,+0.17,238,626,38.0,853,138,45.0,37.7,312,77.6,54.4,593,23,3.9,43,1.13,14.4,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
0049d422,/en/squads/0049d422/2017-2018/Las-Palmas-Stats,vs Las Palmas,2,38.0,24,6,0,2,0,36.3,0.23,+12.3,+0.32,275,694,39.6,822,116,53.3,41.0,307,83.4,56.3,475,19,4.0,36,0.95,14.6,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
7c6f2c78,/en/squads/7c6f2c78/2017-2018/Leganes-Stats,vs Leganés,3,38.0,34,2,0,4,2,36.6,0.27,+4.6,+0.12,187,541,34.6,970,185,37.3,35.4,318,56.3,47.3,547,22,4.0,42,1.11,14.6,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
9800b6a1,/en/squads/9800b6a1/2017-2018/Levante-Stats,vs Levante,3,38.0,44,5,5,3,1,43.8,0.32,+0.8,+0.02,240,570,42.1,770,166,42.2,36.4,325,75.4,53.4,565,26,4.6,23,0.61,13.4,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
1c896955,/en/squads/1c896955/2017-2018/Malaga-Stats,vs Málaga,2,38.0,24,4,0,3,1,31.3,0.22,+8.3,+0.22,234,609,38.4,869,153,45.2,38.0,297,72.7,53.6,596,31,5.2,23,0.61,11.2,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
53a2f082,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats,vs Real Madrid,3,38.0,94,8,2,15,3,89.4,0.30,-1.6,-0.04,330,757,43.6,905,157,51.0,40.8,374,78.9,56.0,704,18,2.6,36,0.95,12.7,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
e31d1cd9,/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats,vs Real Sociedad,3,38.0,66,4,1,11,2,56.2,0.32,-7.8,-0.20,271,707,38.3,829,131,52.7,40.8,344,78.5,55.8,641,25,3.9,25,0.66,13.6,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
ad2be733,/en/squads/ad2be733/2017-2018/Sevilla-Stats,vs Sevilla,2,38.0,49,4,0,3,1,56.7,0.30,+8.7,+0.23,246,741,33.2,941,126,52.1,40.3,332,75.6,54.3,508,29,5.7,40,1.05,13.8,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
dcc91a7b,/en/squads/dcc91a7b/2017-2018/Valencia-Stats,vs Valencia,2,38.0,65,8,1,7,2,60.0,0.29,-3.0,-0.08,238,677,35.2,844,144,51.8,40.2,294,81.6,56.3,486,29,6.0,30,0.79,14.2,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
2a8183b3,/en/squads/2a8183b3/2017-2018/Villarreal-Stats,vs Villarreal,3,38.0,57,4,0,4,1,54.4,0.30,-1.6,-0.04,218,595,36.6,872,155,47.2,38.8,273,67.0,51.5,409,18,4.4,40,1.05,15.7,12,2017-2018,b1fa34a8-1e24-414a-ac5c-ba813d2b0ae9
