team_id,team_url,team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,competition_id,season_id,id
squads,/en/squads/8d6fd021/Alaves-Stats,Alavés,3,38.0,48,11,2,4,2,46.0,0.29,0.0,0.00,361,877,41.2,869,82,71.5,47.7,307,83.4,58.6,552,36,6.5,31,0.82,12.7,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
2b390eca,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats,Athletic Club,3,38.0,29,3,2,4,1,31.5,0.25,+3.5,+0.09,190,540,35.2,948,157,39.9,34.4,229,70.7,52.7,449,41,9.1,48,1.26,15.5,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
db3b9613,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats,Atlético Madrid,2,38.0,30,5,1,3,2,25.7,0.19,-2.3,-0.06,110,286,38.5,683,194,24.3,30.2,323,37.2,34.9,511,30,5.9,28,0.74,14.0,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
206d90db,/en/squads/206d90db/2024-2025/Barcelona-Stats,Barcelona,3,38.0,39,4,0,3,0,35.1,0.30,-3.9,-0.10,62,172,36.0,1139,181,11.9,25.1,194,19.1,27.7,356,15,4.2,158,4.16,20.2,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/fc536746/Real-Betis-Stats,Betis,3,38.0,50,4,2,8,1,49.1,0.33,+0.1,0.00,115,376,30.6,1027,177,28.6,31.2,230,35.7,34.3,516,30,5.8,51,1.34,11.7,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/f25da7fb/Celta-Vigo-Stats,Celta Vigo,2,38.0,57,3,0,9,2,48.9,0.32,-6.1,-0.16,69,242,28.5,805,210,18.4,27.3,282,33.3,32.9,501,27,5.4,49,1.29,14.0,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/a8661628/Espanyol-Stats,Espanyol,1,38.0,51,4,2,6,1,57.7,0.28,+7.7,+0.20,194,526,36.9,930,197,41.9,34.8,326,41.7,34.9,670,64,9.6,35,0.92,12.0,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/7848bd64/Getafe-Stats,Getafe,1,38.0,39,8,0,5,0,42.0,0.29,+3.0,+0.08,300,799,37.5,711,68,73.4,48.8,312,88.8,60.1,479,25,5.2,39,1.03,14.7,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/9024a00a/Girona-Stats,Girona,3,38.0,60,3,1,7,1,53.0,0.30,-6.0,-0.16,107,328,32.6,1049,152,23.6,29.4,251,31.9,33.2,463,40,8.6,35,0.92,12.6,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/0049d422/Las-Palmas-Stats,Las Palmas,2,38.0,61,5,0,4,3,63.7,0.31,+5.7,+0.15,193,584,33.0,1203,195,39.5,32.5,318,34.3,33.3,561,22,3.9,36,0.95,15.6,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/7c6f2c78/Leganes-Stats,Leganés,2,38.0,56,7,1,10,3,59.1,0.31,+6.1,+0.16,237,885,26.8,868,132,64.4,47.2,363,89.8,64.7,709,56,7.9,53,1.39,14.5,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/2aa12281/Mallorca-Stats,Mallorca,2,38.0,44,3,0,4,1,47.4,0.28,+4.4,+0.11,239,614,38.9,925,144,49.0,36.4,355,45.4,38.1,638,23,3.6,27,0.71,12.9,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/03c57e2b/Osasuna-Stats,Osasuna,2,38.0,52,7,1,4,1,57.4,0.28,+6.4,+0.17,296,649,45.6,978,143,44.9,37.6,309,68.0,48.3,538,33,6.1,86,2.26,19.7,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/98e8af82/Rayo-Vallecano-Stats,Rayo Vallecano,2,38.0,45,6,0,6,1,45.7,0.26,+1.7,+0.04,203,640,31.7,1032,150,47.2,38.2,319,48.0,40.6,532,37,7.0,39,1.03,14.4,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
53a2f082,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats,Real Madrid,3,38.0,38,3,0,7,1,35.9,0.28,-1.1,-0.03,84,258,32.6,960,205,19.9,28.2,279,24.0,29.3,416,19,4.6,27,0.71,10.7,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/e31d1cd9/Real-Sociedad-Stats,Real Sociedad,2,38.0,46,5,0,5,0,41.5,0.26,-4.5,-0.12,187,493,37.9,1072,122,31.8,32.6,271,56.1,44.8,467,30,6.4,43,1.13,14.4,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/ad2be733/Sevilla-Stats,Sevilla,2,38.0,55,5,3,4,1,48.1,0.29,-5.9,-0.15,155,587,26.4,1061,146,43.4,34.3,264,47.7,39.4,513,27,5.3,43,1.13,16.5,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/dcc91a7b/Valencia-Stats,Valencia,2,38.0,54,6,0,4,3,50.5,0.30,-0.5,-0.01,156,521,29.9,925,159,39.4,40.5,286,54.9,43.2,523,36,6.9,54,1.42,25.7,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
squads,/en/squads/17859612/Valladolid-Stats,Valladolid,3,38.0,90,7,2,5,1,74.5,0.35,-14.5,-0.38,202,550,36.7,1042,167,35.6,33.8,360,49.7,41.0,580,39,6.7,38,1.00,10.4,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
2a8183b3,/en/squads/2a8183b3/2024-2025/Villarreal-Stats,Villarreal,2,38.0,51,7,2,6,1,44.4,0.25,-5.6,-0.15,122,339,36.0,834,207,29.4,28.2,296,31.8,30.8,579,34,5.9,36,0.95,11.9,12,2024-2025,97259548-4149-4807-a520-45025e4db40e
