team_id,team_url,team,players_used_away,gk_games_away,gk_games_starts_away,gk_minutes_away,minutes_90s_away,gk_goals_against_away,gk_goals_against_per90_away,gk_shots_on_target_against_away,gk_saves_away,gk_save_pct_away,gk_wins_away,gk_ties_away,gk_losses_away,gk_clean_sheets_away,gk_clean_sheets_pct_away,gk_pens_att_away,gk_pens_allowed_away,gk_pens_saved_away,gk_pens_missed_away,gk_pens_save_pct_away,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2017-2018/Alaves-Stats,vs Alavés,2,38,38,"3,420",38.0,40,1.05,136,95,71.3,21,2,15,13,34.2,3,1,1,1,50.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
2b390eca,/en/squads/2b390eca/2017-2018/Athletic-Club-Stats,vs Athletic Club,2,38,38,"3,420",38.0,41,1.08,150,109,76.7,15,13,10,12,31.6,8,6,2,0,25.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
db3b9613,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats,vs Atlético Madrid,2,38,38,"3,420",38.0,58,1.53,152,94,64.5,5,10,23,8,21.1,5,4,1,0,20.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
206d90db,/en/squads/206d90db/2017-2018/Barcelona-Stats,vs Barcelona,2,38,38,"3,420",38.0,99,2.61,269,171,64.3,1,9,28,1,2.6,5,3,2,0,40.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
fc536746,/en/squads/fc536746/2017-2018/Real-Betis-Stats,vs Betis,3,38,38,"3,420",38.0,60,1.58,163,106,64.4,14,6,18,11,28.9,3,2,1,0,33.3,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
f25da7fb,/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats,vs Celta Vigo,3,38,38,"3,420",38.0,59,1.55,160,102,64.4,15,10,13,8,21.1,3,2,1,0,33.3,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
bea5c710,/en/squads/bea5c710/2017-2018/Eibar-Stats,vs Eibar,3,38,38,"3,415",38.0,44,1.16,133,90,68.4,15,9,14,15,39.5,3,2,0,1,0.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
a8661628,/en/squads/a8661628/2017-2018/Espanyol-Stats,vs Espanyol,2,38,38,"3,420",38.0,36,0.95,131,97,74.0,13,13,12,15,39.5,3,2,1,0,33.3,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
7848bd64,/en/squads/7848bd64/2017-2018/Getafe-Stats,vs Getafe,2,38,38,"3,420",38.0,42,1.11,132,86,72.0,13,10,15,13,34.2,12,5,5,2,50.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
9024a00a,/en/squads/9024a00a/2017-2018/Girona-Stats,vs Girona,2,38,38,"3,420",38.0,50,1.32,156,105,71.8,15,9,14,10,26.3,8,6,1,1,14.3,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
2a60ed82,/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats,vs La Coruña,5,38,38,"3,420",38.0,38,1.00,138,98,74.6,21,11,6,14,36.8,5,3,2,0,40.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
0049d422,/en/squads/0049d422/2017-2018/Las-Palmas-Stats,vs Las Palmas,2,38,38,"3,416",38.0,24,0.63,127,101,85.8,26,7,5,20,52.6,8,6,2,0,25.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
7c6f2c78,/en/squads/7c6f2c78/2017-2018/Leganes-Stats,vs Leganés,3,38,38,"3,420",38.0,34,0.89,128,95,75.0,19,7,12,17,44.7,3,2,1,0,33.3,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
9800b6a1,/en/squads/9800b6a1/2017-2018/Levante-Stats,vs Levante,3,38,38,"3,420",38.0,44,1.16,123,81,68.3,14,13,11,13,34.2,5,5,0,0,0.0,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
1c896955,/en/squads/1c896955/2017-2018/Malaga-Stats,vs Málaga,2,38,38,"3,420",38.0,24,0.63,114,89,82.5,28,5,5,23,60.5,6,4,2,0,33.3,12,2017-2018,40cd8d4a-4648-4bc1-abd1-a4a0bbc8f000
