team_id,team_url,team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2016-2017/Alaves-Stats,Alavés,2,38,38,"3,420",38.0,43,1.13,156,119,75.0,14,13,11,12,31.6,6,4,2,0,33.3,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
2b390eca,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats,Athletic Club,2,38,38,"3,420",38.0,43,1.13,119,79,64.7,19,6,13,10,26.3,3,1,2,0,66.7,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
db3b9613,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats,Atlético Madrid,2,38,38,"3,420",38.0,27,0.71,111,87,78.4,23,9,6,20,52.6,4,3,1,0,25.0,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
206d90db,/en/squads/206d90db/2016-2017/Barcelona-Stats,Barcelona,3,38,38,"3,420",38.0,37,0.97,160,123,76.9,28,6,4,13,34.2,0,0,0,0,,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
fc536746,/en/squads/fc536746/2016-2017/Real-Betis-Stats,Betis,2,38,38,"3,420",38.0,64,1.68,187,128,67.9,10,9,19,10,26.3,5,4,1,0,20.0,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
f25da7fb,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats,Celta Vigo,3,38,38,"3,420",38.0,69,1.82,181,121,66.9,13,6,19,7,18.4,10,9,0,1,0.0,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
bea5c710,/en/squads/bea5c710/2016-2017/Eibar-Stats,Eibar,3,38,38,"3,413",38.0,51,1.34,152,107,69.7,15,9,14,10,26.3,6,5,1,0,16.7,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
a8661628,/en/squads/a8661628/2016-2017/Espanyol-Stats,Espanyol,2,38,38,"3,420",38.0,50,1.32,175,127,72.6,15,11,12,11,28.9,2,2,0,0,0.0,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
a0435291,/en/squads/a0435291/2016-2017/Granada-Stats,Granada,1,38,38,"3,420",38.0,82,2.16,242,163,66.9,4,8,26,3,7.9,4,2,1,1,33.3,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
2a60ed82,/en/squads/2a60ed82/2016-2017/Deportivo-La-Coruna-Stats,La Coruña,3,38,38,"3,420",38.0,61,1.61,168,110,65.5,8,12,18,9,23.7,3,3,0,0,0.0,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
0049d422,/en/squads/0049d422/2016-2017/Las-Palmas-Stats,Las Palmas,2,38,38,"3,420",38.0,74,1.95,165,102,61.8,10,9,19,5,13.2,11,11,0,0,0.0,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
7c6f2c78,/en/squads/7c6f2c78/2016-2017/Leganes-Stats,Leganés,5,38,38,"3,416",38.0,55,1.45,137,89,64.2,8,11,19,11,28.9,7,6,1,0,14.3,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
1c896955,/en/squads/1c896955/2016-2017/Malaga-Stats,Málaga,2,38,38,"3,420",38.0,55,1.45,143,95,65.7,12,10,16,8,21.1,7,6,1,0,14.3,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
03c57e2b,/en/squads/03c57e2b/2016-2017/Osasuna-Stats,Osasuna,4,38,38,"3,420",38.0,94,2.47,193,106,53.4,4,10,24,2,5.3,8,4,3,1,42.9,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
53a2f082,/en/squads/53a2f082/2016-2017/Real-Madrid-Stats,Real Madrid,2,38,38,"3,420",38.0,41,1.08,143,105,72.7,29,6,3,10,26.3,4,2,1,1,33.3,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
e31d1cd9,/en/squads/e31d1cd9/2016-2017/Real-Sociedad-Stats,Real Sociedad,1,38,38,"3,420",38.0,53,1.39,156,108,68.6,19,7,12,10,26.3,7,4,1,2,20.0,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
ad2be733,/en/squads/ad2be733/2016-2017/Sevilla-Stats,Sevilla,3,38,38,"3,417",38.0,48,1.26,161,118,72.7,21,9,8,13,34.2,5,4,1,0,20.0,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
bb9efd50,/en/squads/bb9efd50/2016-2017/Sporting-Gijon-Stats,Sporting Gijón,2,38,38,"3,420",38.0,72,1.89,195,132,66.7,7,10,21,7,18.4,9,7,2,0,22.2,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
dcc91a7b,/en/squads/dcc91a7b/2016-2017/Valencia-Stats,Valencia,3,38,38,"3,420",38.0,65,1.71,154,100,61.7,13,7,18,7,18.4,13,6,5,2,45.5,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
2a8183b3,/en/squads/2a8183b3/2016-2017/Villarreal-Stats,Villarreal,2,38,38,"3,420",38.0,33,0.87,148,121,81.1,19,10,9,16,42.1,6,5,1,0,16.7,12,2016-2017,93675db4-bc82-4cea-aef6-07fa78950944
