team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2016-2017/Alaves-Stats,vs Alavés,25,38.0,102,5,3,519,516,65,843,512,498,4,4,0,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
2b390eca,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats,vs Athletic Club,25,38.0,118,5,2,562,513,121,558,633,570,3,9,0,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
db3b9613,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats,vs Atlético Madrid,22,38.0,98,4,4,499,488,23,656,664,553,4,8,0,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
206d90db,/en/squads/206d90db/2016-2017/Barcelona-Stats,vs Barcelona,25,38.0,104,10,5,608,402,97,459,657,568,0,9,3,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
fc536746,/en/squads/fc536746/2016-2017/Real-Betis-Stats,vs Betis,27,38.0,100,4,1,595,536,84,675,504,501,5,2,0,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
f25da7fb,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats,vs Celta Vigo,27,38.0,91,4,2,532,496,45,655,566,547,10,7,1,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
bea5c710,/en/squads/bea5c710/2016-2017/Eibar-Stats,vs Eibar,24,38.0,97,10,4,416,497,133,664,597,499,6,8,3,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
a8661628,/en/squads/a8661628/2016-2017/Espanyol-Stats,vs Espanyol,27,38.0,87,4,2,510,549,75,804,576,520,2,5,1,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
a0435291,/en/squads/a0435291/2016-2017/Granada-Stats,vs Granada,35,38.0,71,5,2,469,541,143,701,526,575,5,1,0,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
2a60ed82,/en/squads/2a60ed82/2016-2017/Deportivo-La-Coruna-Stats,vs La Coruña,28,38.0,92,2,2,542,521,112,813,576,503,2,7,1,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
0049d422,/en/squads/0049d422/2016-2017/Las-Palmas-Stats,vs Las Palmas,29,38.0,106,6,4,656,451,132,695,650,563,7,6,1,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
7c6f2c78,/en/squads/7c6f2c78/2016-2017/Leganes-Stats,vs Leganés,31,38.0,77,2,0,511,628,91,683,564,536,8,4,0,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
1c896955,/en/squads/1c896955/2016-2017/Malaga-Stats,vs Málaga,29,38.0,107,8,5,556,537,111,720,626,549,6,5,1,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
03c57e2b,/en/squads/03c57e2b/2016-2017/Osasuna-Stats,vs Osasuna,35,38.0,81,2,1,438,559,114,764,548,571,8,6,3,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
53a2f082,/en/squads/53a2f082/2016-2017/Real-Madrid-Stats,vs Real Madrid,24,38.0,116,4,4,560,405,62,605,565,497,2,8,0,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
e31d1cd9,/en/squads/e31d1cd9/2016-2017/Real-Sociedad-Stats,vs Real Sociedad,27,38.0,113,4,3,619,502,85,561,664,527,5,8,3,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
ad2be733,/en/squads/ad2be733/2016-2017/Sevilla-Stats,vs Sevilla,28,38.0,115,6,4,550,561,51,562,668,524,5,5,2,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
bb9efd50,/en/squads/bb9efd50/2016-2017/Sporting-Gijon-Stats,vs Sporting Gijón,29,38.0,81,0,0,522,551,105,750,594,524,8,7,0,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
dcc91a7b,/en/squads/dcc91a7b/2016-2017/Valencia-Stats,vs Valencia,31,38.0,96,1,1,592,538,88,688,567,602,12,6,3,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
2a8183b3,/en/squads/2a8183b3/2016-2017/Villarreal-Stats,vs Villarreal,27,38.0,98,2,2,520,483,79,901,599,484,4,9,1,12,2016-2017,518f2886-f3dc-4077-9451-22647cc002b9
