team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,ball_recoveries_away,aerials_won_away,aerials_lost_away,aerials_won_pct_away,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2018-2019/Alaves-Stats,vs Alavés,26,38.0,93,2,0,525,528,91,800,364,330,3,3,0,2010,890,864,50.7,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
2b390eca,/en/squads/2b390eca/2018-2019/Athletic-Club-Stats,vs Athletic Club,27,38.0,106,2,2,522,554,79,654,355,402,4,7,2,1965,723,923,43.9,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
db3b9613,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats,vs Atlético Madrid,29,38.0,95,3,2,477,448,21,692,436,383,3,4,2,2037,586,675,46.5,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
206d90db,/en/squads/206d90db/2018-2019/Barcelona-Stats,vs Barcelona,30,38.0,102,5,3,572,379,68,578,545,435,1,9,2,1963,365,449,44.8,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
fc536746,/en/squads/fc536746/2018-2019/Real-Betis-Stats,vs Betis,25,38.0,123,7,4,585,418,101,594,424,392,4,7,1,1852,467,463,50.2,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
f25da7fb,/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats,vs Celta Vigo,28,38.0,89,2,1,515,436,78,745,361,379,7,7,1,1905,611,663,48.0,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
bea5c710,/en/squads/bea5c710/2018-2019/Eibar-Stats,vs Eibar,25,38.0,76,2,1,428,482,162,518,474,393,3,8,0,2105,1018,996,50.5,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
a8661628,/en/squads/a8661628/2018-2019/Espanyol-Stats,vs Espanyol,25,38.0,111,6,5,540,504,78,822,420,382,6,4,5,1978,582,591,49.6,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
7848bd64,/en/squads/7848bd64/2018-2019/Getafe-Stats,vs Getafe,26,38.0,109,5,3,529,588,117,594,342,389,4,6,1,2076,948,836,53.1,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
9024a00a,/en/squads/9024a00a/2018-2019/Girona-Stats,vs Girona,26,38.0,116,7,3,551,509,74,747,407,366,7,6,0,2036,756,749,50.2,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
c6c493e6,/en/squads/c6c493e6/2018-2019/Huesca-Stats,vs Huesca,30,38.0,86,4,3,466,553,109,692,374,399,8,7,0,2043,762,740,50.7,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
7c6f2c78,/en/squads/7c6f2c78/2018-2019/Leganes-Stats,vs Leganés,29,38.0,90,3,1,428,515,58,737,351,342,3,5,1,1896,721,914,44.1,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
9800b6a1,/en/squads/9800b6a1/2018-2019/Levante-Stats,vs Levante,26,38.0,92,7,3,511,474,72,747,397,480,7,7,3,2046,571,469,54.9,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
98e8af82,/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats,vs Rayo Vallecano,29,38.0,73,3,1,481,536,140,722,371,491,9,5,1,2047,587,535,52.3,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
53a2f082,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats,vs Real Madrid,27,38.0,93,3,3,568,417,91,533,449,397,5,9,2,1929,434,479,47.5,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
e31d1cd9,/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats,vs Real Sociedad,30,38.0,107,3,2,570,463,73,743,390,478,3,10,1,2060,651,699,48.2,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
ad2be733,/en/squads/ad2be733/2018-2019/Sevilla-Stats,vs Sevilla,27,38.0,99,3,2,494,513,93,662,444,396,4,6,2,1912,724,651,52.7,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
dcc91a7b,/en/squads/dcc91a7b/2018-2019/Valencia-Stats,vs Valencia,25,38.0,113,4,4,540,432,70,781,448,377,4,7,1,2026,621,596,51.0,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
17859612,/en/squads/17859612/2018-2019/Valladolid-Stats,vs Valladolid,28,38.0,106,5,5,561,490,65,801,395,347,6,7,1,2050,854,595,58.9,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
2a8183b3,/en/squads/2a8183b3/2018-2019/Villarreal-Stats,vs Villarreal,26,38.0,84,2,0,443,495,87,820,439,359,4,6,2,1948,629,613,50.6,12,2018-2019,0815eb25-ea7c-40c8-b245-59a06da3f237
