team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2019-2020/Alaves-Stats,Alavés,32,38.0,111,7,3,621,432,61,562,392,346,5,15,0,1766,905,712,56.0,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
2b390eca,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats,Athletic Club,26,38.0,90,2,0,522,436,84,754,373,324,4,7,2,1911,912,683,57.2,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
db3b9613,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats,Atlético Madrid,30,38.0,93,3,2,513,479,116,574,412,406,6,4,3,1950,827,723,53.4,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
206d90db,/en/squads/206d90db/2019-2020/Barcelona-Stats,Barcelona,28,38.0,92,6,3,416,529,83,417,342,323,3,7,0,1874,455,364,55.6,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
fc536746,/en/squads/fc536746/2019-2020/Real-Betis-Stats,Betis,27,38.0,108,9,3,473,577,84,624,302,299,6,11,1,1709,579,558,50.9,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
f25da7fb,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats,Celta Vigo,30,38.0,104,6,3,473,527,70,636,396,357,6,5,0,1905,650,659,49.7,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
bea5c710,/en/squads/bea5c710/2019-2020/Eibar-Stats,Eibar,26,38.0,92,3,2,538,411,73,870,430,338,5,6,1,2039,974,1091,47.2,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
a8661628,/en/squads/a8661628/2019-2020/Espanyol-Stats,Espanyol,31,38.0,107,9,6,581,469,65,710,360,364,1,7,2,1927,755,814,48.1,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
7848bd64,/en/squads/7848bd64/2019-2020/Getafe-Stats,Getafe,30,38.0,135,5,2,706,495,106,833,367,341,4,6,2,1947,914,1024,47.2,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
a0435291,/en/squads/a0435291/2019-2020/Granada-Stats,Granada,27,38.0,109,1,1,590,497,70,670,383,349,3,5,0,1764,748,849,46.8,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
7c6f2c78,/en/squads/7c6f2c78/2019-2020/Leganes-Stats,Leganés,29,38.0,127,4,2,591,500,75,771,418,357,4,7,1,1821,778,865,47.4,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
9800b6a1,/en/squads/9800b6a1/2019-2020/Levante-Stats,Levante,29,38.0,79,5,4,468,460,81,697,331,288,5,7,2,1913,504,555,47.6,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
2aa12281,/en/squads/2aa12281/2019-2020/Mallorca-Stats,Mallorca,32,38.0,93,5,4,509,526,58,682,376,338,8,16,1,1867,634,729,46.5,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
03c57e2b,/en/squads/03c57e2b/2019-2020/Osasuna-Stats,Osasuna,31,38.0,110,6,3,551,410,80,755,417,361,2,5,0,2056,874,869,50.1,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
53a2f082,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats,Real Madrid,26,38.0,82,4,3,487,474,84,776,381,355,11,2,0,2047,521,411,55.9,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
e31d1cd9,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats,Real Sociedad,27,38.0,79,2,2,501,489,78,719,320,321,2,9,1,1892,815,710,53.4,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
ad2be733,/en/squads/ad2be733/2019-2020/Sevilla-Stats,Sevilla,26,38.0,97,1,1,522,480,92,880,346,344,4,4,1,2069,746,695,51.8,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
dcc91a7b,/en/squads/dcc91a7b/2019-2020/Valencia-Stats,Valencia,28,38.0,80,8,3,416,543,100,677,360,311,6,9,1,1778,553,601,47.9,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
17859612,/en/squads/17859612/2019-2020/Valladolid-Stats,Valladolid,30,38.0,84,0,0,484,530,81,645,390,327,6,8,0,1964,618,764,44.7,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
2a8183b3,/en/squads/2a8183b3/2019-2020/Villarreal-Stats,Villarreal,25,38.0,78,1,0,483,422,71,619,339,323,10,9,2,1894,536,622,46.3,12,2019-2020,c3f6432d-46fb-4377-a38b-c4f23dc9102c
