team_id,team_url,team,players_used_away,minutes_90s_away,passes_completed_away,passes_away,passes_pct_away,passes_total_distance_away,passes_progressive_distance_away,passes_completed_short_away,passes_short_away,passes_pct_short_away,passes_completed_medium_away,passes_medium_away,passes_pct_medium_away,passes_completed_long_away,passes_long_away,passes_pct_long_away,assists_away,xg_assist_away,pass_xa_away,xg_assist_net_away,assisted_shots_away,passes_into_final_third_away,passes_into_penalty_area_away,crosses_into_penalty_area_away,progressive_passes_away,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2017-2018/Alaves-Stats,vs Alavés,30,38.0,16759,20975,79.9,311147,108909,7415,8450,87.8,6737,7898,85.3,2235,3701,60.4,28,38.8,37.7,-10.8,392,1459,345,106,1842,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
2b390eca,/en/squads/2b390eca/2017-2018/Athletic-Club-Stats,vs Athletic Club,26,38.0,13708,18019,76.1,251130,93926,6277,7277,86.3,5162,6313,81.8,1874,3382,55.4,33,37.1,30.1,-4.1,331,996,254,80,1311,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
db3b9613,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats,vs Atlético Madrid,26,38.0,16583,20707,80.1,294310,103147,7860,8856,88.8,6372,7510,84.8,1911,3252,58.8,17,27.6,28.0,-10.6,321,1362,303,85,1677,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
206d90db,/en/squads/206d90db/2017-2018/Barcelona-Stats,vs Barcelona,25,38.0,11775,15296,77.0,211715,82874,5689,6506,87.4,4190,5098,82.2,1544,2794,55.3,22,32.3,26.9,-10.3,340,918,233,65,1190,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
fc536746,/en/squads/fc536746/2017-2018/Real-Betis-Stats,vs Betis,29,38.0,12416,16312,76.1,225042,87704,5760,6619,87.0,4672,5666,82.5,1592,3021,52.7,45,35.9,33.3,+9.1,332,1057,314,106,1354,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
f25da7fb,/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats,vs Celta Vigo,23,38.0,12810,16893,75.8,228757,89598,6167,7099,86.9,4658,5797,80.4,1617,3120,51.8,48,41.5,38.2,+6.5,335,1118,314,79,1361,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
bea5c710,/en/squads/bea5c710/2017-2018/Eibar-Stats,vs Eibar,27,38.0,11768,16795,70.1,216530,92849,5394,6582,82.0,4405,5681,77.5,1591,3451,46.1,36,34.4,26.6,+1.6,242,803,204,68,1056,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
a8661628,/en/squads/a8661628/2017-2018/Espanyol-Stats,vs Espanyol,25,38.0,15453,19826,77.9,289560,101627,6700,7675,87.3,6260,7442,84.1,2105,3753,56.1,26,35.9,35.2,-9.9,343,1266,272,79,1615,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
7848bd64,/en/squads/7848bd64/2017-2018/Getafe-Stats,vs Getafe,32,38.0,15456,20094,76.9,283918,106393,7065,8195,86.2,5972,7265,82.2,2027,3614,56.1,28,29.9,28.6,-1.9,283,1289,270,75,1580,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
9024a00a,/en/squads/9024a00a/2017-2018/Girona-Stats,vs Girona,25,38.0,14053,18292,76.8,247960,94942,6491,7441,87.2,5632,6765,83.3,1510,3075,49.1,39,34.6,30.8,+4.4,299,1114,272,54,1436,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
2a60ed82,/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats,vs La Coruña,32,38.0,15475,19584,79.0,280079,105558,7187,8175,87.9,5796,6870,84.4,2019,3449,58.5,53,43.3,37.8,+9.7,406,1332,320,86,1709,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
0049d422,/en/squads/0049d422/2017-2018/Las-Palmas-Stats,vs Las Palmas,36,38.0,12571,16479,76.3,225562,93028,5998,6942,86.4,4622,5585,82.8,1558,2966,52.5,53,55.5,40.0,-2.5,415,1091,277,77,1410,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
7c6f2c78,/en/squads/7c6f2c78/2017-2018/Leganes-Stats,vs Leganés,28,38.0,15687,20217,77.6,292093,105585,6745,7802,86.5,6397,7656,83.6,2119,3694,57.4,28,31.5,30.8,-3.5,302,1219,276,89,1468,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
9800b6a1,/en/squads/9800b6a1/2017-2018/Levante-Stats,vs Levante,33,38.0,16099,20115,80.0,295798,107215,7111,8028,88.6,6437,7503,85.8,2084,3485,59.8,41,45.3,42.1,-4.3,410,1333,349,88,1661,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
1c896955,/en/squads/1c896955/2017-2018/Malaga-Stats,vs Málaga,37,38.0,15890,20218,78.6,297135,106437,6910,7997,86.4,6539,7682,85.1,2107,3572,59.0,44,43.1,36.4,+0.9,333,1389,299,76,1777,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
53a2f082,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats,vs Real Madrid,24,38.0,12894,16245,79.4,232813,94199,6185,6886,89.8,4693,5552,84.5,1626,2872,56.6,34,31.5,28.6,+2.5,282,1061,226,57,1229,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
e31d1cd9,/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats,vs Real Sociedad,27,38.0,12215,16097,75.9,222362,87842,5812,6667,87.2,4378,5374,81.5,1651,3075,53.7,41,35.5,30.2,+5.5,292,988,236,62,1244,12,2017-2018,38ac6579-d60b-495f-b0bc-96d5df8fe723
