team_id,team_url,team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,competition_id,season_id,id
78ecf4bb,/en/squads/78ecf4bb/2022-2023/Almeria-Stats,Almería,29,38.0,12151,15855,76.6,225475,89276,5232,6003,87.2,5084,6022,84.4,1512,2911,51.9,33,32.5,28.1,+0.5,316,846,218,81,1090,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
2b390eca,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats,Athletic Club,26,38.0,14440,18630,77.5,261620,96037,6451,7431,86.8,6030,7262,83.0,1634,2878,56.8,33,38.9,35.7,-5.9,413,1385,341,107,1816,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
db3b9613,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats,Atlético Madrid,27,38.0,16814,20488,82.1,277627,101839,8616,9432,91.3,6028,7038,85.6,1549,2765,56.0,51,48.0,40.0,+3.0,418,1200,335,68,1571,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
206d90db,/en/squads/206d90db/2022-2023/Barcelona-Stats,Barcelona,29,38.0,21298,24733,86.1,364375,115139,10267,11175,91.9,8599,9543,90.1,1990,2923,68.1,56,60.1,66.6,-4.1,449,1859,482,104,2182,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
fc536746,/en/squads/fc536746/2022-2023/Real-Betis-Stats,Betis,30,38.0,14678,18249,80.4,245275,92460,7288,8070,90.3,5334,6273,85.0,1432,2667,53.7,26,34.6,31.7,-8.6,310,988,270,54,1272,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
ee7c297c,/en/squads/ee7c297c/2022-2023/Cadiz-Stats,Cádiz,38,38.0,9940,13952,71.2,190101,78677,4341,5147,84.3,3874,4864,79.6,1452,3117,46.6,20,27.7,24.7,-7.7,269,830,192,93,969,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
f25da7fb,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats,Celta Vigo,26,38.0,14700,18499,79.5,267004,91075,6259,7148,87.6,6536,7569,86.4,1565,2844,55.0,31,30.8,31.6,+0.2,353,1143,274,77,1403,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
6c8b07df,/en/squads/6c8b07df/2022-2023/Elche-Stats,Elche,32,38.0,12051,15758,76.5,218542,87460,5427,6202,87.5,4762,5677,83.9,1477,2793,52.9,21,27.1,26.2,-6.1,313,941,211,82,1197,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
a8661628,/en/squads/a8661628/2022-2023/Espanyol-Stats,Espanyol,33,38.0,10827,14698,73.7,208293,86401,4483,5312,84.4,4607,5640,81.7,1483,2971,49.9,31,35.0,30.2,-4.0,319,906,233,83,1146,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
7848bd64,/en/squads/7848bd64/2022-2023/Getafe-Stats,Getafe,25,38.0,9690,14126,68.6,189556,83925,4104,5044,81.4,3760,4936,76.2,1502,3175,47.3,21,22.5,24.0,-1.5,248,844,214,94,1003,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
9024a00a,/en/squads/9024a00a/2022-2023/Girona-Stats,Girona,29,38.0,15146,18604,81.4,264810,95707,7006,7806,89.8,6295,7222,87.2,1449,2560,56.6,41,37.5,35.4,+3.5,366,1086,265,91,1378,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
2aa12281,/en/squads/2aa12281/2022-2023/Mallorca-Stats,Mallorca,31,38.0,10451,14261,73.3,199896,84037,4575,5313,86.1,4184,5157,81.1,1424,2932,48.6,27,26.5,23.1,+0.5,252,815,182,69,948,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
03c57e2b,/en/squads/03c57e2b/2022-2023/Osasuna-Stats,Osasuna,26,38.0,12725,16835,75.6,242236,95597,5565,6377,87.3,5130,6255,82.0,1759,3323,52.9,30,28.4,31.7,+1.6,322,1140,271,114,1356,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
98e8af82,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats,Rayo Vallecano,28,38.0,13497,17666,76.4,251321,91899,5811,6629,87.7,5654,6716,84.2,1717,3329,51.6,29,30.0,29.7,-1.0,386,1247,269,102,1390,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
53a2f082,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats,Real Madrid,26,38.0,22082,25012,88.3,357586,113878,11462,12245,93.6,8069,8810,91.6,1812,2595,69.8,56,56.8,56.6,-0.8,522,1880,384,50,2017,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
e31d1cd9,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats,Real Sociedad,30,38.0,15324,19134,80.1,269422,96159,6955,7910,87.9,6451,7502,86.0,1505,2659,56.6,36,39.7,36.4,-3.7,346,1145,290,65,1483,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
ad2be733,/en/squads/ad2be733/2022-2023/Sevilla-Stats,Sevilla,35,38.0,15379,19193,80.1,273953,95369,7106,7918,89.7,6324,7354,86.0,1599,2958,54.1,31,32.0,34.0,-1.0,341,1230,302,95,1513,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
dcc91a7b,/en/squads/dcc91a7b/2022-2023/Valencia-Stats,Valencia,28,38.0,13592,17492,77.7,240816,86465,6320,7184,88.0,5505,6588,83.6,1420,2753,51.6,23,32.5,35.8,-9.5,355,1155,302,111,1472,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
17859612,/en/squads/17859612/2022-2023/Valladolid-Stats,Valladolid,36,38.0,12627,16425,76.9,238766,87767,5273,6049,87.2,5251,6199,84.7,1734,3141,55.2,24,28.4,24.4,-4.4,324,969,223,92,1244,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
2a8183b3,/en/squads/2a8183b3/2022-2023/Villarreal-Stats,Villarreal,32,38.0,16634,19862,83.7,295552,101196,7381,8147,90.6,7101,7924,89.6,1743,2737,63.7,33,43.2,38.3,-10.2,374,1304,349,52,1622,12,2022-2023,89731741-808b-4958-bcab-4242e551307b
