team_id,team_url,team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2023-2024/Alaves-Stats,Alavés,30,38.0,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
78ecf4bb,/en/squads/78ecf4bb/2023-2024/Almeria-Stats,Almería,35,38.0,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
2b390eca,/en/squads/2b390eca/2023-2024/Athletic-Club-Stats,Athletic Club,27,38.0,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
db3b9613,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats,Atlético Madrid,27,38.0,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
206d90db,/en/squads/206d90db/2023-2024/Barcelona-Stats,Barcelona,29,38.0,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
fc536746,/en/squads/fc536746/2023-2024/Real-Betis-Stats,Betis,35,38.0,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
ee7c297c,/en/squads/ee7c297c/2023-2024/Cadiz-Stats,Cádiz,34,38.0,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
f25da7fb,/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats,Celta Vigo,31,38.0,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
7848bd64,/en/squads/7848bd64/2023-2024/Getafe-Stats,Getafe,33,38.0,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
9024a00a,/en/squads/9024a00a/2023-2024/Girona-Stats,Girona,25,38.0,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
a0435291,/en/squads/a0435291/2023-2024/Granada-Stats,Granada,40,38.0,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
0049d422,/en/squads/0049d422/2023-2024/Las-Palmas-Stats,Las Palmas,29,38.0,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
2aa12281,/en/squads/2aa12281/2023-2024/Mallorca-Stats,Mallorca,25,38.0,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
03c57e2b,/en/squads/03c57e2b/2023-2024/Osasuna-Stats,Osasuna,29,38.0,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
98e8af82,/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats,Rayo Vallecano,26,38.0,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
53a2f082,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats,Real Madrid,27,38.0,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
e31d1cd9,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats,Real Sociedad,31,38.0,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
ad2be733,/en/squads/ad2be733/2023-2024/Sevilla-Stats,Sevilla,35,38.0,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
dcc91a7b,/en/squads/dcc91a7b/2023-2024/Valencia-Stats,Valencia,29,38.0,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
2a8183b3,/en/squads/2a8183b3/2023-2024/Villarreal-Stats,Villarreal,32,38.0,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335,12,2023-2024,7d0e6bc4-e921-4b68-8c8c-31a2fa63c0ff
