team_id,team_url,team,players_used_away,avg_age_away,games_away,minutes_away,minutes_per_game_away,minutes_pct_away,minutes_90s_away,games_starts_away,minutes_per_start_away,games_complete_away,games_subs_away,minutes_per_sub_away,unused_subs_away,points_per_game_away,on_goals_for_away,on_goals_against_away,plus_minus_away,plus_minus_per90_away,competition_id,season_id,id
2b390eca,/en/squads/2b390eca/2015-2016/Athletic-Club-Stats,vs Athletic Club,25,26.3,38,"3,420",90,100,38.0,418,84,302,112,25,153,1.16,45,58,-13,-0.34,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
db3b9613,/en/squads/db3b9613/2015-2016/Atletico-Madrid-Stats,vs Atlético Madrid,25,26.7,38,"3,420",90,100,38.0,418,83,308,110,23,156,0.58,18,63,-45,-1.18,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
206d90db,/en/squads/206d90db/2015-2016/Barcelona-Stats,vs Barcelona,25,26.5,38,"3,420",90,100,38.0,418,85,302,108,23,159,0.50,29,112,-83,-2.18,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
fc536746,/en/squads/fc536746/2015-2016/Real-Betis-Stats,vs Betis,29,26.7,38,"3,420",90,100,38.0,418,83,303,111,22,154,1.50,52,34,+18,+0.47,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
f25da7fb,/en/squads/f25da7fb/2015-2016/Celta-Vigo-Stats,vs Celta Vigo,27,26.4,38,"3,420",90,100,38.0,418,85,300,112,23,154,1.18,59,51,+8,+0.21,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
bea5c710,/en/squads/bea5c710/2015-2016/Eibar-Stats,vs Eibar,28,26.5,38,"3,420",90,100,38.0,418,85,304,109,24,157,1.61,61,49,+12,+0.32,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
a8661628,/en/squads/a8661628/2015-2016/Espanyol-Stats,vs Espanyol,26,26.7,38,"3,420",90,100,38.0,418,84,304,109,24,157,1.68,74,40,+34,+0.89,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
7848bd64,/en/squads/7848bd64/2015-2016/Getafe-Stats,vs Getafe,27,26.5,38,"3,420",90,100,38.0,418,84,305,110,23,155,1.82,67,37,+30,+0.79,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
a0435291,/en/squads/a0435291/2015-2016/Granada-Stats,vs Granada,28,26.5,38,"3,420",90,100,38.0,418,84,302,108,23,158,1.74,69,46,+23,+0.61,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
2a60ed82,/en/squads/2a60ed82/2015-2016/Deportivo-La-Coruna-Stats,vs La Coruña,25,26.6,38,"3,420",90,100,38.0,418,84,303,111,22,155,1.42,61,45,+16,+0.42,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
0049d422,/en/squads/0049d422/2015-2016/Las-Palmas-Stats,vs Las Palmas,27,26.6,38,"3,420",90,100,38.0,418,84,305,110,23,156,1.63,53,45,+8,+0.21,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
9800b6a1,/en/squads/9800b6a1/2015-2016/Levante-Stats,vs Levante,27,26.4,38,"3,420",90,100,38.0,418,83,308,107,23,160,1.95,70,37,+33,+0.87,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
1c896955,/en/squads/1c896955/2015-2016/Malaga-Stats,vs Málaga,30,26.4,38,"3,420",90,100,38.0,418,84,307,107,22,157,1.42,35,38,-3,-0.08,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
98e8af82,/en/squads/98e8af82/2015-2016/Rayo-Vallecano-Stats,vs Rayo Vallecano,29,26.2,38,"3,420",90,100,38.0,418,82,300,111,24,154,1.71,73,52,+21,+0.55,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
53a2f082,/en/squads/53a2f082/2015-2016/Real-Madrid-Stats,vs Real Madrid,24,26.7,38,"3,420",90,100,38.0,418,84,303,110,25,157,0.47,34,110,-76,-2.00,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
e31d1cd9,/en/squads/e31d1cd9/2015-2016/Real-Sociedad-Stats,vs Real Sociedad,27,26.6,38,"3,420",90,100,38.0,418,85,303,112,23,154,1.50,48,45,+3,+0.08,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
ad2be733,/en/squads/ad2be733/2015-2016/Sevilla-Stats,vs Sevilla,33,26.6,38,"3,420",90,100,38.0,418,83,301,108,23,159,1.37,50,51,-1,-0.03,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
bb9efd50,/en/squads/bb9efd50/2015-2016/Sporting-Gijon-Stats,vs Sporting Gijón,28,26.6,38,"3,420",90,100,38.0,418,84,302,112,21,154,1.74,62,40,+22,+0.58,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
dcc91a7b,/en/squads/dcc91a7b/2015-2016/Valencia-Stats,vs Valencia,30,26.7,38,"3,420",90,100,38.0,418,83,312,104,20,161,1.55,48,46,+2,+0.05,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
2a8183b3,/en/squads/2a8183b3/2015-2016/Villarreal-Stats,vs Villarreal,26,26.6,38,"3,420",90,100,38.0,418,83,304,109,20,157,1.05,35,44,-9,-0.24,12,2015-2016,284687bd-8c24-4f39-92d3-7f6dddf21b9f
