team_id,team_url,team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,competition_id,season_id,id
2b390eca,/en/squads/2b390eca/2015-2016/Athletic-Club-Stats,Athletic Club,25,27.7,38,"3,420",90,100,38.0,418,84,299,114,22,152,1.63,58,45,+13,+0.34,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
db3b9613,/en/squads/db3b9613/2015-2016/Atletico-Madrid-Stats,Atlético Madrid,25,25.9,38,"3,420",90,100,38.0,418,83,308,107,26,159,2.32,63,18,+45,+1.18,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
206d90db,/en/squads/206d90db/2015-2016/Barcelona-Stats,Barcelona,25,28.0,38,"3,420",90,100,38.0,418,85,328,90,24,176,2.39,112,29,+83,+2.18,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
fc536746,/en/squads/fc536746/2015-2016/Real-Betis-Stats,Betis,29,27.4,38,"3,420",90,100,38.0,418,83,298,114,24,151,1.18,34,52,-18,-0.47,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
f25da7fb,/en/squads/f25da7fb/2015-2016/Celta-Vigo-Stats,Celta Vigo,27,26.1,38,"3,420",90,100,38.0,418,85,304,107,17,158,1.58,51,59,-8,-0.21,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
bea5c710,/en/squads/bea5c710/2015-2016/Eibar-Stats,Eibar,28,25.6,38,"3,420",90,100,38.0,419,85,304,111,19,155,1.13,49,61,-12,-0.32,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
a8661628,/en/squads/a8661628/2015-2016/Espanyol-Stats,Espanyol,26,24.9,38,"3,420",90,100,38.0,418,84,308,106,25,160,1.13,40,74,-34,-0.89,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
7848bd64,/en/squads/7848bd64/2015-2016/Getafe-Stats,Getafe,27,26.7,38,"3,420",90,100,38.0,418,84,299,114,21,152,0.95,37,67,-30,-0.79,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
a0435291,/en/squads/a0435291/2015-2016/Granada-Stats,Granada,28,25.9,38,"3,420",90,100,38.0,418,84,300,112,23,154,1.03,46,69,-23,-0.61,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
2a60ed82,/en/squads/2a60ed82/2015-2016/Deportivo-La-Coruna-Stats,La Coruña,25,28.2,38,"3,420",90,100,38.0,418,84,314,101,23,164,1.11,45,61,-16,-0.42,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
0049d422,/en/squads/0049d422/2015-2016/Las-Palmas-Stats,Las Palmas,27,27.6,38,"3,420",90,100,38.0,418,84,303,111,20,156,1.16,45,53,-8,-0.21,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
9800b6a1,/en/squads/9800b6a1/2015-2016/Levante-Stats,Levante,27,27.2,38,"3,420",90,100,38.0,418,83,299,114,23,151,0.84,37,70,-33,-0.87,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
1c896955,/en/squads/1c896955/2015-2016/Malaga-Stats,Málaga,30,28.0,38,"3,420",90,100,38.0,418,84,302,112,22,154,1.26,38,35,+3,+0.08,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
98e8af82,/en/squads/98e8af82/2015-2016/Rayo-Vallecano-Stats,Rayo Vallecano,29,28.5,38,"3,420",90,100,38.0,418,82,299,111,28,154,1.00,52,73,-21,-0.55,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
53a2f082,/en/squads/53a2f082/2015-2016/Real-Madrid-Stats,Real Madrid,24,26.5,38,"3,420",90,100,38.0,418,84,308,106,22,160,2.37,110,34,+76,+2.00,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
e31d1cd9,/en/squads/e31d1cd9/2015-2016/Real-Sociedad-Stats,Real Sociedad,27,25.3,38,"3,420",90,100,38.0,418,85,304,110,19,156,1.26,45,48,-3,-0.08,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
ad2be733,/en/squads/ad2be733/2015-2016/Sevilla-Stats,Sevilla,33,26.9,38,"3,420",90,100,38.0,418,83,299,113,25,152,1.37,51,50,+1,+0.03,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
bb9efd50,/en/squads/bb9efd50/2015-2016/Sporting-Gijon-Stats,Sporting Gijón,28,24.5,38,"3,420",90,100,38.0,418,84,300,113,22,153,1.03,40,62,-22,-0.58,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
dcc91a7b,/en/squads/dcc91a7b/2015-2016/Valencia-Stats,Valencia,30,24.7,38,"3,420",90,100,38.0,419,83,298,114,25,153,1.16,46,48,-2,-0.05,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
2a8183b3,/en/squads/2a8183b3/2015-2016/Villarreal-Stats,Villarreal,26,25.3,38,"3,420",90,100,38.0,418,83,305,110,25,157,1.68,44,35,+9,+0.24,12,2015-2016,1e139346-c9ee-43b9-9625-206dc6c516b9
