team_id,team_url,team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2021-2022/Alaves-Stats,Alavés,33,27.9,38,"3,420",90,100,38.0,418,82,247,167,20,277,0.82,31,65,-34,-0.89,37.3,57.0,-19.7,-0.52,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
2b390eca,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats,Athletic Club,26,26.9,38,"3,420",90,100,38.0,418,81,237,180,21,209,1.45,43,36,+7,+0.18,49.6,38.4,+11.3,+0.30,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
db3b9613,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats,Atlético Madrid,26,28.1,38,"3,420",90,100,38.0,418,79,244,170,26,159,1.87,65,43,+22,+0.58,54.4,33.4,+21.1,+0.56,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
206d90db,/en/squads/206d90db/2021-2022/Barcelona-Stats,Barcelona,38,26.2,38,"3,420",90,100,38.0,418,82,254,159,20,264,1.92,68,38,+30,+0.79,63.4,34.4,+29.0,+0.76,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
fc536746,/en/squads/fc536746/2021-2022/Real-Betis-Stats,Betis,31,28.9,38,"3,420",90,100,38.0,418,82,251,161,21,266,1.71,62,40,+22,+0.58,53.5,43.4,+10.1,+0.27,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
ee7c297c,/en/squads/ee7c297c/2021-2022/Cadiz-Stats,Cádiz,33,28.5,38,"3,420",90,100,38.0,418,81,246,172,22,270,1.03,35,51,-16,-0.42,39.5,48.3,-8.7,-0.23,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
f25da7fb,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats,Celta Vigo,25,28.4,38,"3,420",90,100,38.0,418,82,261,155,21,222,1.21,43,43,0,0.00,43.1,45.7,-2.6,-0.07,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
6c8b07df,/en/squads/6c8b07df/2021-2022/Elche-Stats,Elche,28,29.1,38,"3,420",90,100,38.0,418,80,236,179,22,255,1.11,40,52,-12,-0.32,33.7,59.1,-25.4,-0.67,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
a8661628,/en/squads/a8661628/2021-2022/Espanyol-Stats,Espanyol,34,27.7,38,"3,420",90,100,38.0,418,81,234,181,21,269,1.11,40,53,-13,-0.34,36.7,51.2,-14.5,-0.38,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
7848bd64,/en/squads/7848bd64/2021-2022/Getafe-Stats,Getafe,31,26.6,38,"3,420",90,100,38.0,418,83,259,153,19,251,1.03,33,41,-8,-0.21,29.3,38.6,-9.3,-0.25,12,2021-2022,5523ff7c-e945-4cec-a02f-f111867326cb
