team_id,team_url,team,players_used_away,possession_away,minutes_90s_away,touches_away,touches_def_pen_area_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,touches_att_pen_area_away,touches_live_ball_away,take_ons_away,take_ons_won_away,take_ons_won_pct_away,take_ons_tackled_away,take_ons_tackled_pct_away,carries_away,carries_distance_away,carries_progressive_distance_away,progressive_carries_away,carries_into_final_third_away,carries_into_penalty_area_away,miscontrols_away,dispossessed_away,passes_received_away,progressive_passes_received_away,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2018-2019/Alaves-Stats,vs Alavés,26,57.3,38.0,23524,2023,6609,11133,6010,864,23518,595,341,57.3,254,42.7,12837,71687,38638,714,535,173,587,392,14794,1825,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
2b390eca,/en/squads/2b390eca/2018-2019/Athletic-Club-Stats,vs Athletic Club,27,50.0,38.0,21677,2176,6972,9852,5095,657,21672,646,401,62.1,245,37.9,11399,64793,34279,677,536,124,525,398,13185,1309,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
db3b9613,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats,vs Atlético Madrid,29,50.8,38.0,23808,2256,7066,11384,5594,638,23803,701,381,54.4,319,45.5,12723,68078,34834,662,596,112,531,465,15622,1645,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
206d90db,/en/squads/206d90db/2018-2019/Barcelona-Stats,vs Barcelona,30,35.6,38.0,18710,2299,6567,8133,4232,651,18708,492,266,54.1,226,45.9,9990,55948,27555,558,431,149,488,311,11102,1081,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
fc536746,/en/squads/fc536746/2018-2019/Real-Betis-Stats,vs Betis,25,38.2,38.0,17994,2061,5784,7874,4579,698,17988,544,325,59.7,219,40.3,9473,53519,27264,577,460,176,483,396,10516,1139,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
f25da7fb,/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats,vs Celta Vigo,28,48.4,38.0,21502,1931,6001,10013,5698,818,21495,563,304,54.0,258,45.8,11699,65154,33864,721,507,179,497,376,13520,1488,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
bea5c710,/en/squads/bea5c710/2018-2019/Eibar-Stats,vs Eibar,25,46.0,38.0,20644,2765,8817,8410,3621,574,20640,564,323,57.3,240,42.6,9346,48705,23172,459,292,143,614,397,10819,1058,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
a8661628,/en/squads/a8661628/2018-2019/Espanyol-Stats,vs Espanyol,25,50.6,38.0,22224,2083,6393,10123,5959,842,22216,684,421,61.5,263,38.5,12180,70682,38150,799,670,201,511,392,14132,1572,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
7848bd64,/en/squads/7848bd64/2018-2019/Getafe-Stats,vs Getafe,26,59.3,38.0,23942,2119,7657,11542,4958,653,23935,617,362,58.7,255,41.3,12434,64651,32408,525,427,114,644,349,14591,1373,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
9024a00a,/en/squads/9024a00a/2018-2019/Girona-Stats,vs Girona,26,52.0,38.0,22861,2037,6445,10613,6045,878,22853,636,372,58.5,264,41.5,13030,73146,38763,809,633,221,529,349,14575,1602,12,2018-2019,ce694457-dae0-4336-9e43-6e90ab96caa3
